system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50420331989074XXX02,0.7600006103515625,"{shadow_count=2703.0, cloud_count=17568.0, water_count=52437.0, snow_count=1628.0, lake_SR={blue=0.031719177298472574, green=0.05716111333601015, red=0.029306945477429725, nir=0.01915927493944991, swir1=0.005432793638079656, swir2=0.0046776798825262774}}",0.349,79207.0,1989-03-15T18:02:35,74.75179802083333,60881.0,"{blue=33.49862960675639, green=28.40402235782886, red=12.97696864607887, nir=4.875039969579914, swir1=0.28326539060701217, swir2=0.07755620878288501, tir1=6.51418092063435}",49.370018005371094,"{lake_TIR=6.513579074976466, lake_BT=4.253759236637832, bkgd_BT=22.045399385340072, bkgd_TIR=8.59695328874331}","{blue=145033, green=145034, red=145014, nir=145005, swir1=145087, swir2=145093, tir1=124074}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420332001091XXX02,0.879998779296875,"{shadow_count=0.0, cloud_count=2370.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.355,9692.0,2001-04-01T18:13:24,91.75931175925926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.569679260253906,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9709, green=9708, red=9697, nir=9692, swir1=9726, swir2=9730, tir1=2484}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420332003225PAC02,0.6,"{shadow_count=0.0, cloud_count=0.0, water_count=14240.0, snow_count=0.0, lake_SR={blue=0.04832515449438184, green=0.058284676966289715, red=0.03016686095505636, nir=0.014391966292135717, swir1=0.004543595505618104, swir2=0.003872675561797954}}",0.297,37308.0,2003-08-13T18:10:15,225.7571234837963,24785.0,"{blue=44.09169650358949, green=32.67916570379293, red=14.778128016823363, nir=4.6603028402517035, swir1=0.19922233510905993, swir2=0.055476581893405874, tir1=8.29429424460475}",34.10451889038086,"{lake_TIR=8.29429424460475, lake_BT=19.23082432971503, bkgd_BT=42.74315951413845, bkgd_TIR=11.501825505683689}","{blue=62506, green=62506, red=62489, nir=62494, swir1=62773, swir2=62790, tir1=41477}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984109XXX08,1.120001220703125,"{shadow_count=0.0, cloud_count=387590.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.407,387590.0,1984-04-18T18:00:53,109.75061741898148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.803184509277344,"{lake_TIR=null, lake_BT=null, bkgd_BT=-25.952000456582656, bkgd_TIR=3.725919477882578}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984141PAC00,1.120001220703125,"{shadow_count=25505.0, cloud_count=356479.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.291,328554.0,1984-05-20T18:01:28,141.7510293634259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.700878143310547,"{lake_TIR=null, lake_BT=null, bkgd_BT=23.7080360965371, bkgd_TIR=8.808986275638725}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984157PAC13,0.9600006103515625,"{shadow_count=12.0, cloud_count=279.0, water_count=195354.0, snow_count=0.0, lake_SR={blue=0.042141246148019305, green=0.04584486777849388, red=0.027205595994962146, nir=0.021988838723548027, swir1=0.007200502677190086, swir2=0.005988081124522286}}",0.35,191987.0,1984-06-05T18:01:51,157.75128578703703,151860.0,"{blue=45.78849348277737, green=32.01451240258695, red=15.562599290752543, nir=6.478353998026923, swir1=0.3745047995070236, swir2=0.09679420968400157, tir1=7.727356919941961}",28.41488265991211,"{lake_TIR=7.727356919941961, lake_BT=14.950655114897215, bkgd_BT=33.57288846102628, bkgd_TIR=10.127850508258728}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984173XXX02,0.6399993896484375,"{shadow_count=271.0, cloud_count=575.0, water_count=194188.0, snow_count=0.0, lake_SR={blue=0.04026590778008987, green=0.04301936679918018, red=0.024416176591754525, nir=0.018461352400764235, swir1=0.005761721115619316, swir2=0.004213434918738043}}",0.314,192260.0,1984-06-21T18:02:06,173.75146704861112,180509.0,"{blue=43.67224724586808, green=29.71070526542566, red=13.857525646091197, nir=5.527458223254105, swir1=0.31168095455328065, swir2=0.07506358208080152, tir1=7.803419947669238}",28.478599548339844,"{lake_TIR=7.799178428942954, lake_BT=15.55359212965598, bkgd_BT=33.99474110063906, bkgd_TIR=10.18991757561824}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984189XXX20,0.95,"{shadow_count=82.0, cloud_count=226.0, water_count=194822.0, snow_count=0.0, lake_SR={blue=0.0407841424479798, green=0.04252763599593645, red=0.024045036494855062, nir=0.01826149459506933, swir1=0.00581035714652452, swir2=0.004759357259446241}}",0.296,192126.0,1984-07-07T18:02:17,189.75158611111112,180086.0,"{blue=43.31433720010292, green=29.179562230647836, red=13.520388821650487, nir=5.310610351312095, swir1=0.2925329369178823, swir2=0.07933487007481005, tir1=8.31173111791419}",29.56481170654297,"{lake_TIR=8.306485202408934, lake_BT=19.72055341485195, bkgd_BT=38.23244404254263, bkgd_TIR=10.783826431282078}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984221PAC00,0.879998779296875,"{shadow_count=131.0, cloud_count=237.0, water_count=195068.0, snow_count=0.0, lake_SR={blue=0.037957376914715305, green=0.039696787274183576, red=0.022014945044804994, nir=0.015537177804664465, swir1=0.005235120573337843, swir2=0.003997728484424945}}",0.29,191866.0,1984-08-08T18:03:16,221.7522740162037,189198.0,"{blue=40.33977480749709, green=26.755614964998223, red=12.259999322307658, nir=4.570687170948548, swir1=0.2485870964663145, swir2=0.06162619848905722, tir1=8.34717005946371}",33.935142517089844,"{lake_TIR=8.34717005946371, lake_BT=20.04887018308681, bkgd_BT=39.25315145678592, bkgd_TIR=10.929506952386285}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT50420341984301XXX10,0.4100006103515625,"{shadow_count=944.0, cloud_count=1743.0, water_count=194022.0, snow_count=10518.0, lake_SR={blue=0.0347300398923832, green=0.042803475894489025, red=0.022041907103318763, nir=0.015747110636937872, swir1=0.004000985455257415, swir2=0.002973718444300265}}",0.268,191120.0,1984-10-27T18:03:43,301.75258743055554,190420.0,"{blue=30.247492393006446, green=22.189087916013385, red=9.763046180876398, nir=3.5351087513221384, swir1=0.1501738022106693, swir2=0.03258459394585027, tir1=7.032314923952507}",55.33675765991211,"{lake_TIR=7.032314923952507, lake_BT=8.952624126282476, bkgd_BT=-1.725405704273897, bkgd_TIR=5.886811458407079}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
