system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70990231999190SGS00,2.2199996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.294,9359.0,1999-07-09T00:14:23,190.0099930902778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.91050720214844,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990231999206EDC01,1.1600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.311,8730.0,1999-07-25T00:14:26,206.01002586805555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.505462646484375,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990231999222EDC00,2.3399993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,9359.0,1999-08-10T00:14:30,222.01007612268518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.25436782836914,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990231999238EDC00,1.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.325,7681.0,1999-08-26T00:14:32,238.0100940162037,2.0,"{blue=48.70118176937103, green=27.150393426418304, red=15.514567375183105, nir=6.415747940540314, swir1=0.32531505078077316, swir2=0.08897634595632553, tir1=6.104881934821606, tir2=6.083366123959422}",44.91849899291992,"{lake_TIR=6.104881934821606, lake_BT=-0.1694488525390625, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990231999254EDC00,1.429998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.291,5870.0,1999-09-11T00:14:29,254.0100605902778,67.0,"{blue=29.900999364568225, green=16.20538241738704, red=8.574315725867429, nir=3.808949285478734, swir1=0.2320626068915894, swir2=0.05097540712623454, tir1=6.389249077594992, tir2=6.38072626720836}",50.26062774658203,"{lake_TIR=6.389249077594992, lake_BT=2.462126319088153, bkgd_BT=11.30324978298611, bkgd_TIR=7.394435750113593}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990231999302EDC02,0.770001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.281,9359.0,1999-10-29T00:14:29,302.0100659722222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",67.3718032836914,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000033EDC00,0.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.513,7462.0,2000-02-02T00:14:23,33.009998680555555,917.0,"{blue=67.9060013120021, green=34.754417481313226, red=19.889191586942683, nir=8.126435803288071, swir1=0.07129117388241683, swir2=0.013005191425720763, tir1=3.1015670979994723, tir2=3.226047392942686}",72.50970649719238,"{lake_TIR=3.1015670979994723, lake_BT=-34.35627608470854, bkgd_BT=-32.22726041353666, bkgd_TIR=3.251120557005589}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000081EDC00,0.4600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.439,9359.0,2000-03-21T00:14:12,81.00987246527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.296836853027344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000113SGS00,0.770001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.413,9359.0,2000-04-22T00:13:54,113.00965907407408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",43.20009994506836,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000145EDC00,1.4399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.391,9343.0,2000-05-24T00:13:34,145.0094266087963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.906982421875,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000209EDC00,3.5100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,5330.0,2000-07-27T00:12:48,209.0088936574074,57.0,"{blue=108.32945302494785, green=87.77654258514706, red=51.62500468471594, nir=15.629230574557656, swir1=1.3605444230008543, swir2=0.3569829671790725, tir1=9.355640350857325, tir2=9.357708176042427}",37.20620346069336,"{lake_TIR=9.355640350857325, lake_BT=26.70287711160225, bkgd_BT=26.726737920845924, bkgd_TIR=9.356778969628026}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000225EDC00,2.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.325,7016.0,2000-08-12T00:12:41,225.00881693287036,65.0,"{blue=106.89703352634723, green=78.37311831896122, red=34.738008132347694, nir=9.871823209982653, swir1=0.6641684921888205, swir2=0.17271952892725284, tir1=8.446720837629758, tir2=8.454451791082437}",41.13795471191406,"{lake_TIR=8.446720837629758, lake_BT=19.76700486403245, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000241EDC00,1.129998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,7912.0,2000-08-28T00:12:33,241.00871528935184,1.0,"{blue=33.515748500823975, green=19.162204563617706, red=10.541338920593262, nir=4.592913508415222, swir1=0.6408662497997284, swir2=0.08897634595632553, tir1=6.775748081505299, tir2=6.734448790550232}",45.937164306640625,"{lake_TIR=6.775748081505299, lake_BT=5.88104248046875, bkgd_BT=7.252444180575284, bkgd_TIR=6.932283515731494}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232000305EDC00,0.7100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.361,9359.0,2000-10-31T00:11:58,305.0083125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",68.35029983520508,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232001067EDC00,0.170001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.478,9359.0,2001-03-08T00:11:56,67.00829650462963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",60.71020317077637,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
LE70990232001099EDC00,0.379998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.449,9359.0,2001-04-09T00:11:40,99.00811328703703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.08594512939453,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9359, green=9359, red=9359, nir=9359, swir1=9359, swir2=9359, tir1=9359, tir2=9359}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[158.191146,52.4701],[158.14177,52.47101899999999],[158.144409,52.446676],[158.19082699999998,52.447926],[158.191146,52.4701]]]}"
