system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81070332013132LGN01,1.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.35057142857142853,110.0,2013-05-12T01:16:57,132.05344199074074,83.0,"{blue=79.44343092445149, green=51.21543352199292, red=20.476027637922083, nir=8.547751034946597, swir1=0.9590680644740855, swir2=0.22619212084696685, tir1=7.806424621924624, tir2=7.183612536692274}",26.323490142822266,"{lake_TIR=7.806424621924624, lake_BT=13.700278040874435, bkgd_BT=15.969482421875, bkgd_TIR=8.096640307422993}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013164LGN00,3.9300003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.279,230.0,2013-06-13T01:17:01,164.05349071759258,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",22.87908935546875,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013180LGN00,3.019999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.364,230.0,2013-06-29T01:16:59,180.05346819444443,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.39826202392578,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013196LGN00,3.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.333,230.0,2013-07-15T01:17:00,196.05348366898147,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.048248291015625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013212LGN00,5.230000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.293,230.0,2013-07-31T01:17:01,212.05349471064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.61678695678711,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013228LGN00,3.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.309,115.0,2013-08-16T01:17:02,228.05349702546297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.038951873779297,"{lake_TIR=null, lake_BT=null, bkgd_BT=19.12628165104663, bkgd_TIR=8.515520521481763}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013260LGN00,1.8399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.28718333333333335,101.0,2013-09-17T01:16:59,260.05346921296297,106.0,"{blue=45.39796872985251, green=27.203410164769387, red=11.273614030797035, nir=4.317984334527041, swir1=0.4055800096215329, swir2=0.08134922189506227, tir1=8.730659784816144, tir2=8.066433933151684}",40.15605545043945,"{lake_TIR=8.730659784816144, lake_BT=20.762692721384877, bkgd_BT=19.842488343954813, bkgd_TIR=8.606896478403925}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013276LGN00,1.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2852631578947369,230.0,2013-10-03T01:16:55,276.05341572916666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.499237060546875,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013308LGN00,1.25,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29415953947368423,71.0,2013-11-04T01:16:46,308.0533185648148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",56.051143646240234,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.45846890892666, bkgd_TIR=7.158126582431196}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LC81070332013324LGN00,1.0600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3049411764705882,230.0,2013-11-20T01:16:39,324.0532388541667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",60.35261917114258,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
