system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70440301999188EDC00,1.1899993896484375,"{shadow_count=968.0, cloud_count=0.0, water_count=10170.0, snow_count=0.0, lake_SR={blue=0.03580618485742337, green=0.0293143264503441, red=0.01420756145526068, nir=0.01437075712881057, swir1=0.009571120943952146, swir2=0.008385142576204296}}",0.289,19141.0,1999-07-07T18:37:15,188.77587341435185,8018.0,"{blue=44.468421075313756, green=26.165767952097298, red=11.641986699674039, nir=5.502460819076915, swir1=0.5732852421974148, swir2=0.1583705264596414, tir1=7.480985868630206, tir2=7.485883984172075}",27.631778717041016,"{lake_TIR=7.475334212173483, lake_BT=11.983228625402518, bkgd_BT=18.912321272350493, bkgd_TIR=8.339804617233487}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999204EDC01,1.620001220703125,"{shadow_count=4187.0, cloud_count=4723.0, water_count=6856.0, snow_count=0.0, lake_SR={blue=0.03707275379229847, green=0.02886443990665097, red=0.010172082847141118, nir=0.009415985997666096, swir1=0.0037791715285879885, swir2=0.0030412047841305327}}",0.329,17989.0,1999-07-23T18:37:17,204.7758998611111,8706.0,"{blue=42.545145034269716, green=24.19652524286513, red=9.996017508525398, nir=4.285774020766105, swir1=0.258536791066493, swir2=0.06067936289298132, tir1=7.941302879907956, tir2=7.939384411347787}",29.901107788085938,"{lake_TIR=7.941302879907956, lake_BT=15.734074784289167, bkgd_BT=25.934704457139002, bkgd_TIR=9.267101449989175}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999220EDC00,2.2800003051757813,"{shadow_count=5432.0, cloud_count=24476.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.305,21987.0,1999-08-08T18:37:23,220.7759651736111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.120574951171875,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.676321493612754, bkgd_TIR=7.095769364990898}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999236EDC01,2.4300003051757812,"{shadow_count=0.0, cloud_count=0.0, water_count=10377.0, snow_count=0.0, lake_SR={blue=0.027279791847354455, green=0.021210725643249377, red=0.006008730847065613, nir=0.006889380360412485, swir1=0.0025947480003855046, swir2=0.0022205454370240836}}",0.28,18937.0,1999-08-24T18:37:23,236.7759700462963,9959.0,"{blue=38.71999108098288, green=21.972308074204676, red=9.21170317263641, nir=4.001103831667392, swir1=0.22679362310434587, swir2=0.04942042793536572, tir1=7.8832801206126994, tir2=7.881182881775962}",37.178001403808594,"{lake_TIR=7.8832801206126994, lake_BT=15.26562848413358, bkgd_BT=19.866201820510263, bkgd_TIR=8.465483171446749}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999252EDC00,1.5899993896484375,"{shadow_count=0.0, cloud_count=29908.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.301,29908.0,1999-09-09T18:37:22,252.77595554398147,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.94978332519531,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999268EDC00,1.15,"{shadow_count=6374.0, cloud_count=19749.0, water_count=1390.0, snow_count=0.0, lake_SR={blue=0.03643510791366904, green=0.029809712230215942, red=0.0134120863309352, nir=0.012461151079136678, swir1=0.009438201438848926, swir2=0.008870215827338148}}",0.256,19880.0,1999-09-25T18:37:27,268.7760160648148,4064.0,"{blue=35.94432942710054, green=21.355418425112024, red=9.68748307556618, nir=4.185390379367851, swir1=0.38895327979552113, swir2=0.11074153715047956, tir1=7.423932877658888, tir2=7.4211707262782465}",47.23647689819336,"{lake_TIR=7.423932877658888, lake_BT=11.471201821575015, bkgd_BT=8.259706162408163, bkgd_TIR=7.05068436867277}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999284EDC01,1.929998779296875,"{shadow_count=0.0, cloud_count=29908.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.262,29908.0,1999-10-11T18:37:30,284.7760475925926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",52.752891540527344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999316EDC00,2.980000305175781,"{shadow_count=11052.0, cloud_count=1766.0, water_count=4593.0, snow_count=0.0, lake_SR={blue=0.02220435445242753, green=0.016778227737861987, red=0.007821467450467998, nir=0.00789943392118447, swir1=0.00381759198780743, swir2=0.003150446331373748}}",0.269,11583.0,1999-11-12T18:37:22,316.7759519560185,9788.0,"{blue=24.08653214350982, green=12.511474212091896, red=5.610155281554839, nir=2.10067594093988, swir1=0.09193353873152707, swir2=0.01912044260603679, tir1=6.735343954669373, tir2=6.744548192997145}",62.892417907714844,"{lake_TIR=6.732401913742022, lake_BT=5.573418379803093, bkgd_BT=7.792518277889688, bkgd_TIR=6.984867704166202}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999332EDC03,0.5899993896484375,"{shadow_count=18986.0, cloud_count=10694.0, water_count=3.0, snow_count=98.0, lake_SR={blue=0.0332, green=0.019233333333333335, red=0.0087, nir=0.011500000000000002, swir1=0.008233333333333334, swir2=0.006166666666666667}}",0.307,15323.0,1999-11-28T18:37:15,332.77587829861113,6398.0,"{blue=26.181739623079302, green=13.874118425839391, red=6.709881479794549, nir=2.6943586693774466, swir1=0.132097892719401, swir2=0.03177494031562586, tir1=6.468130161972363, tir2=6.4643544785797165}",66.5943660736084,"{lake_TIR=6.468130161972363, lake_BT=3.141176648868848, bkgd_BT=-0.8028566337821036, bkgd_TIR=6.043220063914808}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LE70440301999364EDC00,1.020001220703125,"{shadow_count=537.0, cloud_count=26230.0, water_count=900.0, snow_count=1369.0, lake_SR={blue=0.03917899999999967, green=0.027646444444444543, red=0.016756888888888877, nir=0.02272577777777788, swir1=0.01212088888888886, swir2=0.013258666666666623}}",0.303,26463.0,1999-12-30T18:37:16,364.775884375,216.0,"{blue=23.759864734278786, green=12.520173453622395, red=5.965278016196357, nir=2.6215933453705578, swir1=0.18039524086095668, swir2=0.053614361211657524, tir1=6.193709582021391, tir2=6.186540334882146}",69.2640609741211,"{lake_TIR=6.193709582021391, lake_BT=0.5871055037887009, bkgd_BT=-0.49402735783503604, bkgd_TIR=6.079079390718387}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
