system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40720861989100XXX02,1.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,41836.0,1989-04-10T21:33:01,100.89793587962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",59.161128997802734,"{lake_TIR=null, lake_BT=null, bkgd_BT=-4.948136763139204, bkgd_TIR=5.6226152215491645}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861989164XXX02,1.479998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,41836.0,1989-06-13T21:33:12,164.89805640046296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",71.39799118041992,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861989180XXX06,0.8399993896484375,"{shadow_count=182.0, cloud_count=182.0, water_count=14663.0, snow_count=8.0, lake_SR={blue=0.010795553433814147, green=0.01621075496146844, red=0.010272277160198786, nir=0.020098731501057746, swir1=0.004289654231740257, swir2=0.0025660028643524724}}",0.316,20689.0,1989-06-29T21:33:18,180.8981274189815,2731.0,"{blue=20.089952499427362, green=10.959809177832392, red=5.45797332447992, nir=2.2831087568137116, swir1=0.07155404521710966, swir2=0.013135699257227318, tir1=7.275775005872467}",71.7724380493164,"{lake_TIR=7.275775005872467, lake_BT=10.136610647821025, bkgd_BT=3.5328092757717955, bkgd_TIR=6.522148858822796}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861990359XXX03,1.379998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=10881.0, snow_count=0.0, lake_SR={blue=0.017173816744785672, green=0.0205921514566687, red=0.008890046870692093, nir=0.014784927855895854, swir1=0.0033996323867289827, swir2=0.001856915724657766}}",0.28,30112.0,1990-12-25T21:24:44,359.89218140046296,7618.0,"{blue=38.25129295816319, green=22.583874362398866, red=9.862865825311566, nir=5.03269395915252, swir1=0.17661608038501936, swir2=0.03141333813756806, tir1=8.324434729697401}",38.51197814941406,"{lake_TIR=8.324434729697401, lake_BT=18.69925863757225, bkgd_BT=18.88017288180424, bkgd_TIR=8.351225970977461}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861991010XXX03,1.529998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.278,29601.0,1991-01-10T21:24:16,10.891862604166667,4874.0,"{blue=42.54924580989238, green=27.12034028404112, red=12.213276128178011, nir=6.13354911741097, swir1=0.22996220481801727, swir2=0.04161086684619495, tir1=8.184314618728655}",40.82475280761719,"{lake_TIR=8.184314618728655, lake_BT=17.592495260446054, bkgd_BT=16.966208656108048, bkgd_TIR=8.113476342296906}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861992317XXX02,2.1399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.309,37786.0,1992-11-12T21:11:12,317.88278731481483,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.18438720703125,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.895573317768644, bkgd_TIR=7.7314034364144195}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861992333AAA02,3.080000305175781,"{shadow_count=11969.0, cloud_count=29448.0, water_count=0.0, snow_count=44.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.304,41675.0,1992-11-28T21:11:28,333.8829711689815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.84844207763672,"{lake_TIR=null, lake_BT=null, bkgd_BT=6.149775011786099, bkgd_TIR=6.821228307511272}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720861992365XXX02,1.2899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,32694.0,1992-12-30T21:12:12,365.88347983796297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.70790481567383,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.95733311567357, bkgd_TIR=7.494775425958097}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720871989100XXX02,1.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,41836.0,1989-04-10T21:33:25,100.89821,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",60.2982063293457,"{lake_TIR=null, lake_BT=null, bkgd_BT=-3.4554846978956655, bkgd_TIR=5.77509674706286}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT40720871989164XXX06,1.479998779296875,"{shadow_count=0.0, cloud_count=41836.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.303,41836.0,1989-06-13T21:33:35,164.89833217592593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",72.67589950561523,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
