system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70100611999190EDC00,2.919999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.273,2164.0,1999-07-09T15:19:29,190.6385318287037,2617.0,"{blue=32.30642483204341, green=20.841952493002182, red=8.553092733885343, nir=4.188431268345093, swir1=0.35451891031550414, swir2=0.09674272179763008, tir1=7.476145668807242, tir2=7.483277379388874}",37.899513244628906,"{lake_TIR=7.476145668807242, lake_BT=11.990728311972351, bkgd_BT=24.17014107337365, bkgd_TIR=9.02029296265567}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999206SGS02,3.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.274,2961.0,1999-07-25T15:19:32,206.63856822916668,1283.0,"{blue=37.88713329208148, green=27.465438131373652, red=11.850542280326481, nir=5.608937508829478, swir1=0.5207452789494885, swir2=0.14118818765098196, tir1=7.339997231065995, tir2=7.340395718557428}",36.66279983520508,"{lake_TIR=7.339997231065995, lake_BT=10.763246698297753, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999222EDC01,3.55,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,3052.0,1999-08-10T15:19:35,222.6386104513889,1397.0,"{blue=39.11632292033436, green=28.200237002087732, red=12.893565621645688, nir=6.082356368334872, swir1=0.6021959811726381, swir2=0.17042421504759156, tir1=7.424187994080095, tir2=7.427942711729276}",34.42415237426758,"{lake_TIR=7.424187994080095, lake_BT=11.473136120893823, bkgd_BT=25.822954320195894, bkgd_TIR=9.24793989667252}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999238EDC02,3.8800003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.282,5266.0,1999-08-26T15:19:38,238.63863483796297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.56320571899414,"{lake_TIR=null, lake_BT=null, bkgd_BT=26.001109783466045, bkgd_TIR=9.256662697029801}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999254EDC00,3.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.278,5973.0,1999-09-11T15:19:34,254.63859140046296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.710205078125,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999286EDC00,3.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2674705882352941,5442.0,1999-10-13T15:19:42,286.6386833680556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.18250274658203,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999302EDC00,3.6199996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26240625,2467.0,1999-10-29T15:19:35,302.63860203703706,799.0,"{blue=36.96208796602615, green=24.020103147390937, red=12.004831211438615, nir=5.5557901287108695, swir1=0.5097486051510511, swir2=0.13430244094215435, tir1=7.541156816570198, tir2=7.55244050905556}",27.381534576416016,"{lake_TIR=7.541156816570198, lake_BT=12.452288039187168, bkgd_BT=25.229941365630232, bkgd_TIR=9.168368710438394}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100611999318EDC00,3.769999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,5973.0,1999-11-14T15:19:35,318.6386062731481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.757774353027344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100612000049EDC00,3.5699996948242188,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25455698529411763,5935.0,2000-02-18T15:19:22,49.63845707175926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.79792785644531,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
LE70100612000097EDC00,4.119999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,2584.0,2000-04-06T15:19:07,97.6382842361111,1803.0,"{blue=41.83742726371477, green=28.05820257671661, red=11.580186489483944, nir=5.483715356883907, swir1=0.48083296284302696, swir2=0.1252533720183293, tir1=7.37178828137918, tir2=7.366021159660284}",30.666648864746094,"{lake_TIR=7.370179478689784, lake_BT=11.099909610435612, bkgd_BT=null, bkgd_TIR=null}","{blue=5973, green=5973, red=5973, nir=5973, swir1=5973, swir2=5973, tir1=5973, tir2=5973}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.89259399999999,-0.868819],[-78.891587,-0.849157],[-78.91478,-0.849214],[-78.915441,-0.867247],[-78.89259399999999,-0.868819]]]}"
