system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81240632013107LGN01,4.980000305175781,"{shadow_count=0.0, cloud_count=369166.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25949374999999997,369166.0,2013-04-17T03:13:51,107.13462675925926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.676685333251953,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013123LGN01,5.439999389648437,"{shadow_count=7928.0, cloud_count=348031.0, water_count=592.0, snow_count=0.0, lake_SR={blue=0.010518918918918912, green=0.011625675675675682, red=0.0016836148648648648, nir=0.019309121621621617, swir1=0.009404222972972973, swir2=0.006991216216216215}}",0.265,363491.0,2013-05-03T03:13:51,123.1346181712963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.81593704223633,"{lake_TIR=null, lake_BT=null, bkgd_BT=18.205875424985532, bkgd_TIR=8.389051461114237}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013139LGN01,4.810000610351563,"{shadow_count=22444.0, cloud_count=127450.0, water_count=103593.0, snow_count=0.0, lake_SR={blue=0.02776846891199259, green=0.025085067523866737, red=0.011826067398375991, nir=0.011471859102449114, swir1=0.006792018765746693, swir2=0.005048549612425575}}",0.2592455357142857,241904.0,2013-05-19T03:14:03,139.1347651273148,103550.0,"{blue=46.19625623812574, green=26.947188006758704, red=12.507332604897448, nir=4.71314979057178, swir1=0.46717678776554106, swir2=0.10333324551955135, tir1=8.54924246397359, tir2=7.547175544625537}",35.24327087402344,"{lake_TIR=8.54924246397359, lake_BT=19.41329853258635, bkgd_BT=19.650758504799022, bkgd_TIR=8.582160213684787}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013155LGN00,4.710000610351562,"{shadow_count=8527.0, cloud_count=7295.0, water_count=133598.0, snow_count=0.0, lake_SR={blue=0.019633125495890382, green=0.020554423718917924, red=0.012740308238147167, nir=0.02004622599140687, swir1=0.011655036752047253, swir2=0.008847107741133894}}",0.263,229337.0,2013-06-04T03:14:05,155.13478869212963,1.0,"{blue=41.75086202286184, green=24.33633671887219, red=11.930590038187802, nir=4.883125546388328, swir1=1.0193805401213467, swir2=0.21262037521228194, tir1=8.287898250389844, tir2=7.410288787679747}",37.31229019165039,"{lake_TIR=8.287898250389844, lake_BT=17.4390869140625, bkgd_BT=16.530860293725002, bkgd_TIR=8.169899257610437}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013171LGN00,4.060000610351563,"{shadow_count=21988.0, cloud_count=140422.0, water_count=68748.0, snow_count=0.0, lake_SR={blue=0.020518553267004448, green=0.025699245068947465, red=0.017655466340838984, nir=0.02852873247221711, swir1=0.021256318729272177, swir2=0.017297646476988476}}",0.25448809523809524,265061.0,2013-06-20T03:13:58,171.1347034837963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.53057098388672,"{lake_TIR=null, lake_BT=null, bkgd_BT=19.541638395338346, bkgd_TIR=8.567104663618972}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013187LGN00,4.160000610351562,"{shadow_count=51898.0, cloud_count=38047.0, water_count=64407.0, snow_count=194.0, lake_SR={blue=0.020245349108016442, green=0.019275415715682975, red=0.010768265871722046, nir=0.015740722281739467, swir1=0.009835295852935542, swir2=0.007985243839955048}}",0.265,253081.0,2013-07-06T03:14:02,187.13474658564814,48276.0,"{blue=39.65812138233478, green=22.137524684542583, red=10.369282529260982, nir=4.196914260785404, swir1=0.3769531095611643, swir2=0.08311300869976504, tir1=8.362546753695161, tir2=7.288449909398002}",38.57383346557617,"{lake_TIR=8.362546753695161, lake_BT=18.00281200871984, bkgd_BT=16.609441548976314, bkgd_TIR=8.180720935031486}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013203LGN00,4.080000305175782,"{shadow_count=3198.0, cloud_count=180257.0, water_count=73713.0, snow_count=0.0, lake_SR={blue=0.021342330389482876, green=0.02094812719601645, red=0.01045890955462412, nir=0.010311957185299977, swir1=0.007278456988591034, swir2=0.00559817399915887}}",0.25622307692307694,285431.0,2013-07-22T03:14:00,203.13472439814814,68930.0,"{blue=41.33412690565444, green=23.884181340040612, red=11.129349998999038, nir=3.92750543681094, swir1=0.42855089455378526, swir2=0.09999107613257513, tir1=8.61008099870442, tir2=7.734933344208409}",37.342777252197266,"{lake_TIR=8.61008099870442, lake_BT=19.866625892000517, bkgd_BT=20.67749714125071, bkgd_TIR=8.719547862732165}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013219LGN00,4.719999694824219,"{shadow_count=18500.0, cloud_count=286343.0, water_count=32083.0, snow_count=0.0, lake_SR={blue=0.028203441074712426, green=0.028067845899697606, red=0.015900897671664162, nir=0.023033198266995045, swir1=0.01498329644983328, swir2=0.012935592058099292}}",0.265,298685.0,2013-08-07T03:14:03,219.1347648263889,2734.0,"{blue=54.03279246898448, green=32.868466148789274, red=16.441730059088556, nir=7.024481836329306, swir1=0.7137393619818851, swir2=0.17180509393320753, tir1=8.273002387189036, tir2=7.400780953743624}",34.947139739990234,"{lake_TIR=8.273002387189036, lake_BT=17.325123840644576, bkgd_BT=15.757706951762355, bkgd_TIR=8.071446482990922}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013235LGN00,3.6300003051757814,"{shadow_count=0.0, cloud_count=0.0, water_count=135197.0, snow_count=0.0, lake_SR={blue=0.025509753174996472, green=0.023509102272979088, red=0.012752726022027212, nir=0.01615297084994498, swir1=0.007238182799914262, swir2=0.004882488516757072}}",0.26032051282051283,229615.0,2013-08-23T03:14:05,235.1347852314815,67461.0,"{blue=46.38827380271383, green=26.755833821050004, red=12.718129704088899, nir=5.033877036296066, swir1=0.38857993509643785, swir2=0.07918427434005455, tir1=8.962506216960426, tir2=8.18484477797037}",31.72519302368164,"{lake_TIR=8.962506216960426, lake_BT=22.46426684332545, bkgd_BT=22.354815029418408, bkgd_TIR=8.94992756708927}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
LC81240632013251LGN00,4.669999694824218,"{shadow_count=16028.0, cloud_count=185740.0, water_count=83384.0, snow_count=0.0, lake_SR={blue=0.0412910978125296, green=0.0373565216348458, red=0.0257500491701045, nir=0.030654702340976586, swir1=0.01743430154466069, swir2=0.01398238870766575}}",0.273,258399.0,2013-09-08T03:14:04,251.13477150462964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.252620697021484,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.994984249071987, bkgd_TIR=8.361870363643904}","{blue=369166, green=369166, red=369166, nir=369166, swir1=369166, swir2=369166, tir1=369166, tir2=369166}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[104.024949,-4.806593999999998],[103.849663,-4.81142],[103.85387400000002,-4.963829000000001],[104.02565400000002,-4.966497000000002],[104.024949,-4.806593999999998]]]}"
