system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40160521987343XXX03,2.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.245,202.0,1987-12-09T15:22:11,343.64041665509257,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.984169006347656,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521987359XXX03,3.0600006103515627,"{shadow_count=0.0, cloud_count=0.0, water_count=141.0, snow_count=0.0, lake_SR={blue=0.047263829787234035, green=0.054951773049645415, red=0.054586524822695055, nir=0.06013617021276596, swir1=0.04338156028368794, swir2=0.03562978723404253}}",0.24,51.0,1987-12-25T15:22:54,359.6409033101852,4.0,"{blue=33.79905366897583, green=18.837755769491196, red=10.6341233253479, nir=4.184153854846954, swir1=0.3492027372121811, swir2=0.06432085484266281, tir1=9.10111017152667}",48.59156799316406,"{lake_TIR=9.10111017152667, lake_BT=24.643447875976562, bkgd_BT=17.897099772394178, bkgd_TIR=8.223753359583347}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988010XXX03,3.519999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.239,213.0,1988-01-10T15:23:32,10.641344618055555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.866886138916016,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.858792861559888, bkgd_TIR=7.479941796746503}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988138XXX03,3.8699996948242186,"{shadow_count=0.0, cloud_count=213.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.279,213.0,1988-05-17T15:27:40,138.64422061342592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.22159194946289,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.642479482323232, bkgd_TIR=7.454991721971468}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988266XXX03,4.369999694824219,"{shadow_count=0.0, cloud_count=213.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.283,213.0,1988-09-22T15:30:44,266.64634530092593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.6384391784668,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.546144203684438, bkgd_TIR=7.683479732110273}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988282XXX03,4.5,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.282,213.0,1988-10-08T15:31:01,282.64654243055554,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.181827545166016,"{lake_TIR=null, lake_BT=null, bkgd_BT=-43.45732246766831, bkgd_TIR=2.505776367417441}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988330XXX01,3.0600006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,213.0,1988-11-25T15:31:55,330.6471728125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.26747131347656,"{lake_TIR=null, lake_BT=null, bkgd_BT=6.877435876219065, bkgd_TIR=6.897670334867583}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988346XXX02,3.0699996948242188,"{shadow_count=0.0, cloud_count=213.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.24587647058823528,213.0,1988-12-11T15:32:01,346.64724488425924,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.81141662597656,"{lake_TIR=null, lake_BT=null, bkgd_BT=12.191425844800705, bkgd_TIR=7.519887752709769}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521988362XXX03,2.730000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,213.0,1988-12-27T15:32:13,362.64737344907405,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.21664047241211,"{lake_TIR=null, lake_BT=null, bkgd_BT=5.731520737273784, bkgd_TIR=6.768392167372417}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
LT40160521989012XXX02,3.230000305175781,"{shadow_count=0.0, cloud_count=213.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,213.0,1989-01-12T15:32:38,12.647664039351852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.23481750488281,"{lake_TIR=null, lake_BT=null, bkgd_BT=10.592071533203125, bkgd_TIR=7.329141687601805}","{blue=213, green=213, red=213, nir=213, swir1=213, swir2=213, tir1=213}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-85.334163,10.833306],[-85.33852,10.833221],[-85.338487,10.82946],[-85.334049,10.829675],[-85.334163,10.833306]]]}"
