system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50720872003211HOA00,2.1,"{shadow_count=0.0, cloud_count=16.0, water_count=30.0, snow_count=342.0, lake_SR={blue=0.15392666666666663, green=0.13089333333333333, red=0.11855333333333332, nir=0.09153000000000001, swir1=0.02002, swir2=0.017329999999999998}}",0.363,489.0,2003-07-30T21:36:57,211.90066153935186,1.0,"{blue=72.7651959657669, green=42.05385971069336, red=32.23724567890167, nir=8.12626028060913, swir1=0.47248032689094543, swir2=0.11220473796129227, tir1=5.446425173431635}",69.00152969360352,"{lake_TIR=5.446425173431635, bkgd_BT=-13.265815212302012, lake_BT=-6.143768310546875, bkgd_TIR=4.7796613475027145}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872003227HOA00,0.9600006103515625,"{shadow_count=0.0, cloud_count=508.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.343,508.0,2003-08-15T21:37:12,227.9008355439815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",64.97297668457031,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872003243HOA00,1.9709991455078124,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.364,508.0,2003-08-31T21:37:30,243.9010448611111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",59.882843017578125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872003291HOA00,1.2,"{shadow_count=0.0, cloud_count=0.0, water_count=90.0, snow_count=366.0, lake_SR={blue=0.2663811111111111, green=0.26534777777777774, red=0.2309000000000001, nir=0.1051566666666666, swir1=0.005363333333333335, swir2=0.00496222222222222}}",0.346,473.0,2003-10-18T21:38:12,291.90152885416666,91.0,"{blue=127.80373466538859, green=106.29934404446529, red=79.00968402296633, nir=24.424150827166798, swir1=0.3190616179298569, swir2=0.08915377211767239, tir1=7.360175476296917}",43.01033020019531,"{lake_TIR=7.360175476296917, bkgd_BT=-1.9947867479153023, lake_BT=11.800021328768887, bkgd_TIR=5.8590776394205}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872003323HOA00,0.9899993896484375,"{shadow_count=0.0, cloud_count=4.0, water_count=101.0, snow_count=350.0, lake_SR={blue=0.28030792079207917, green=0.27823960396039593, red=0.24130099009901002, nir=0.0991297029702971, swir1=0.005157425742574257, swir2=0.004911881188118805}}",0.309,440.0,2003-11-19T21:38:38,323.90183138888887,153.0,"{blue=150.97963373489628, green=127.48754661223468, red=95.33982076909807, nir=27.690788467725117, swir1=0.396963883264392, swir2=0.1083487859543632, tir1=7.492006437962546}",36.105201721191406,"{lake_TIR=7.492006437962546, bkgd_BT=-1.108138541865155, lake_BT=12.933152541615605, bkgd_TIR=5.9492932619845}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872003339HOA00,2.2800003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,508.0,2003-12-05T21:38:45,339.9019180324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.251922607421875,"{lake_TIR=null, bkgd_BT=-11.4129638671875, lake_BT=null, bkgd_TIR=4.948059037327766}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004022HOA00,1.4600006103515626,"{shadow_count=318.0, cloud_count=78.0, water_count=0.0, snow_count=112.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.276,377.0,2004-01-22T21:39:04,22.902132314814814,46.0,"{blue=116.35072775249895, green=98.84805519684501, red=75.0175840103108, nir=23.018662333488464, swir1=0.33381120520441426, swir2=0.09510442906099817, tir1=7.829915389580571}",40.721534729003906,"{lake_TIR=7.829915389580571, bkgd_BT=-0.33323455053912704, lake_BT=15.778066220490828, bkgd_TIR=6.028996423441024}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004054HOA00,1.779998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.274,508.0,2004-02-23T21:39:13,54.90224302083333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.523948669433594,"{lake_TIR=null, bkgd_BT=-3.025314273212424, lake_BT=null, bkgd_TIR=5.755075483652816}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004182HOA00,0.7899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.304,508.0,2004-06-30T21:42:10,182.90428597222223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",71.986572265625,"{lake_TIR=null, bkgd_BT=-7.015645345052083, lake_BT=null, bkgd_TIR=5.362045721816165}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004262HOA00,1.0899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.383,508.0,2004-09-18T21:44:10,262.9056791203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",52.220943450927734,"{lake_TIR=null, bkgd_BT=-16.617246432354932, lake_BT=null, bkgd_TIR=4.483739115468921}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004278HOA00,1.1600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.375,508.0,2004-10-04T21:44:31,278.90592028935185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.375946044921875,"{lake_TIR=null, bkgd_BT=-16.935757362019615, lake_BT=null, bkgd_TIR=4.456267882901183}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004294HOA00,0.9,"{shadow_count=0.0, cloud_count=264.0, water_count=13.0, snow_count=149.0, lake_SR={blue=0.2607538461538461, green=0.2518692307692308, red=0.24146153846153848, nir=0.06962307692307693, swir1=0.008561538461538462, swir2=0.007592307692307691}}",0.328,496.0,2004-10-20T21:44:52,294.9061636111111,14.0,"{blue=133.92193308046885, green=111.36004853248596, red=90.62535579715457, nir=18.6385440826416, swir1=0.6873987769441945, swir2=0.19648483182702745, tir1=7.087869193138821}",41.11283874511719,"{lake_TIR=7.087869193138821, bkgd_BT=-2.4936125112134357, lake_BT=9.4134521484375, bkgd_TIR=5.808663522358984}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
LT50720872004310HOA00,2.0399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,508.0,2004-11-05T21:45:11,310.90637789351854,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.02169418334961,"{lake_TIR=null, bkgd_BT=-1.471961042999682, lake_BT=null, bkgd_TIR=5.912093078886155}","{blue=508, green=508, red=508, nir=508, swir1=508, swir2=508, tir1=508}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[175.560966,-39.27761],[175.560491,-39.283868],[175.568182,-39.28404400000001],[175.568632,-39.277777],[175.560966,-39.27761]]]}"
