system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE72140341999211EDC01,3.5100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3,18777.0,1999-07-30T12:09:36,211.50667068287038,1715.0,"{blue=50.52225316425802, green=29.19285454381659, red=13.876156834749716, nir=6.105005536760602, swir1=0.3988138074246944, swir2=0.09213794856603126, tir1=null, tir2=null}",28.265453338623047,"{lake_TIR=null, lake_BT=null, bkgd_BT=23.43167853698104, bkgd_TIR=8.914254459558205}","{blue=29623, green=29511, red=26721, nir=22383, swir1=10072, swir2=14663, tir1=3612, tir2=3612}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342000118EDC00,2.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.359,28870.0,2000-04-27T12:09:02,118.5062741550926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.519119262695312,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29623, green=29623, red=29623, nir=29623, swir1=20844, swir2=25324, tir1=14606, tir2=14606}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342000150EDC00,1.329998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,21347.0,2000-05-29T12:08:39,150.50601466435185,2275.0,"{blue=52.91784583741492, green=30.12972452535734, red=14.24557435633062, nir=5.951199555921031, swir1=0.37131240715379094, swir2=0.07821202130076443, tir1=8.059424650640441, tir2=8.061655764754574}",24.6883544921875,"{lake_TIR=8.059424650640441, lake_BT=16.772176889272835, bkgd_BT=22.73076163494887, bkgd_TIR=8.821889828890562}","{blue=29623, green=29623, red=29251, nir=25832, swir1=13627, swir2=18103, tir1=7275, tir2=7275}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342000310AGS00,2.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,15187.0,2000-11-05T12:07:03,310.504902662037,1751.0,"{blue=42.61202071572222, green=26.70011687544262, red=15.072202822469018, nir=3.8574235916205777, swir1=0.2898155408911407, swir2=0.06554631925433692, tir1=null, tir2=null}",56.23366165161133,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.056498209635418, bkgd_TIR=8.095118169983229}","{blue=29623, green=28011, red=23775, nir=19467, swir1=7108, swir2=11685, tir1=849, tir2=849}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342000342AGS00,1.3399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3,7099.0,2000-12-07T12:07:02,342.5048895138889,306.0,"{blue=42.31856627791536, green=28.41388473674363, red=17.503452447504777, nir=2.759058927204095, swir1=null, swir2=null, tir1=null, tir2=null}",63.29177665710449,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=21141, green=16844, red=12475, nir=8050, swir1=0, swir2=566, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342001024EDC00,1.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.293,29605.0,2001-01-24T12:07:14,24.50503028935185,5.0,"{blue=166.99181323051454, green=140.5826752781868, red=120.6983491897583, nir=26.63228315114975, swir1=null, swir2=null, tir1=null, tir2=null}",61.68117332458496,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29623, green=29623, red=29623, nir=29623, swir1=21740, swir2=26250, tir1=15530, tir2=15530}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342001088EDC00,1.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.292,17884.0,2001-03-29T12:06:52,88.50477453703704,2992.0,"{blue=44.63283699663246, green=29.34233963509454, red=13.031069726548731, nir=4.799600630122073, swir1=0.29983576141899415, swir2=0.06905812514501636, tir1=null, tir2=null}",40.59008026123047,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.12216059366862, bkgd_TIR=7.612467247785793}","{blue=29623, green=29617, red=27530, nir=23252, swir1=10925, swir2=15476, tir1=4557, tir2=4557}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342001280EDC00,2.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.294,29011.0,2001-10-07T12:04:58,280.5034555671296,2.0,"{blue=50.25866210460663, green=28.748031198978424, red=14.58208703994751, nir=7.055511713027954, swir1=0.5777560099959373, swir2=0.15482280030846596, tir1=8.117480374872684, tir2=8.11102357134223}",47.18768310546875,"{lake_TIR=8.117480374872684, lake_BT=17.237518310546875, bkgd_BT=15.526601155598959, bkgd_TIR=7.905039428422849}","{blue=29623, green=29623, red=29623, nir=29623, swir1=29623, swir2=29623, tir1=27866, tir2=27866}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342001344EDC00,1.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,18540.0,2001-12-10T12:05:20,344.50370630787035,774.0,"{blue=75.62808500703915, green=60.35814082299092, red=32.94978108516959, nir=2.5242649419979224, swir1=null, swir2=null, tir1=null, tir2=null}",63.773324966430664,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29623, green=27953, red=23730, nir=19411, swir1=7048, swir2=11601, tir1=859, tir2=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342002011EDC00,1.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,18930.0,2002-01-11T12:05:29,11.503813460648148,1010.0,"{blue=91.09780117214316, green=69.85635836065406, red=38.72563399041053, nir=3.531110099046537, swir1=null, swir2=null, tir1=null, tir2=null}",63.90799903869629,"{lake_TIR=null, lake_BT=null, bkgd_BT=10.399820963541666, bkgd_TIR=7.290078793962796}","{blue=29623, green=28676, red=24770, nir=20410, swir1=8074, swir2=12653, tir1=1663, tir2=1663}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342002059EDC00,0.8100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.324,27630.0,2002-02-28T12:05:40,59.50394519675926,355.0,"{blue=44.24042647119979, green=27.442918652380015, red=14.122413635253906, nir=5.756160501862915, swir1=0.36639272165898035, swir2=0.07923574620009174, tir1=7.372382293615115, tir2=7.377716263679005}",51.740997314453125,"{lake_TIR=7.372382293615115, lake_BT=11.118550136949889, bkgd_BT=8.532227424578478, bkgd_TIR=7.070246949286784}","{blue=29623, green=29623, red=29623, nir=29623, swir1=23123, swir2=27562, tir1=16900, tir2=16900}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342002091EDC00,1.0399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.351,17152.0,2002-04-01T12:05:28,91.50380746527777,980.0,"{blue=191.60000252723694, green=195.62129654288293, red=115.5240348397469, nir=7.558153718101735, swir1=null, swir2=null, tir1=null, tir2=null}",39.73781204223633,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29493, green=26624, red=22275, nir=18009, swir1=5572, swir2=10146, tir1=182, tir2=182}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342002107EDC00,1.9100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.345,21563.0,2002-04-17T12:05:28,107.5038053587963,1706.0,"{blue=117.68039729656675, green=103.3013389794656, red=54.44735223551009, nir=7.1132982312445066, swir1=0.5137929291137167, swir2=0.17496513133799588, tir1=null, tir2=null}",34.168212890625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29623, green=29623, red=28361, nir=24265, swir1=11987, swir2=16500, tir1=5622, tir2=5622}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342002283EDC00,2.5300003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,9348.0,2002-10-10T12:04:18,283.5029934837963,2146.0,"{blue=109.50605593823097, green=88.161023397509, red=43.737812663057866, nir=3.879648027887771, swir1=null, swir2=-0.1186932408465789, tir1=null, tir2=null}",48.131919860839844,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=24877, green=20526, red=16240, nir=11898, swir1=201, swir2=3943, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342002331EDC00,1.2100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.297,19687.0,2002-11-27T12:04:55,331.5034259027778,3559.0,"{blue=38.60852102156133, green=26.731793476176016, red=11.637223836443805, nir=3.349052251122178, swir1=0.3492686131202669, swir2=0.101079809444922, tir1=7.586777333835406, tir2=7.594808028545231}",61.720048904418945,"{lake_TIR=7.586777333835406, lake_BT=12.907415662493024, bkgd_BT=10.013141858733793, bkgd_TIR=7.24265200292836}","{blue=29623, green=29623, red=29617, nir=27797, swir1=15657, swir2=20120, tir1=9307, tir2=9307}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342003078EDC00,1.320001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,11238.0,2003-03-19T12:05:24,78.5037580324074,1958.0,"{blue=62.851344018352655, green=41.75637654578114, red=16.22734175468733, nir=1.6142485804772109, swir1=null, swir2=-0.02844983097165823, tir1=null, tir2=null}",44.75035858154297,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=28634, green=24696, red=20333, nir=16044, swir1=3569, swir2=8175, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342003302EDC01,2.1209991455078123,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.292,13427.0,2003-10-29T12:05:07,302.50356440972223,1697.0,"{blue=40.14995392407118, green=27.851772413193373, red=12.448793293239794, nir=4.704935919592222, swir1=0.34425328300317, swir2=0.08273766380409862, tir1=7.740168990556038, tir2=7.747770177098838}",54.101966857910156,"{lake_TIR=7.7373228917519254, lake_BT=14.157289050874256, bkgd_BT=13.166027389409887, bkgd_TIR=7.618171601577569}","{blue=17574, green=17472, red=17371, nir=16432, swir1=9297, swir2=12022, tir1=5545, tir2=5545}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342003318MPS00,2.2899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,16056.0,2003-11-14T12:05:17,318.50367186342595,144.0,"{blue=84.28528109523985, green=66.35353974128763, red=49.26517506440481, nir=4.678611586077346, swir1=null, swir2=null, tir1=null, tir2=null}",58.63474655151367,"{lake_TIR=null, lake_BT=null, bkgd_BT=-13.867043681528376, bkgd_TIR=4.753125204779636}","{blue=17560, green=17457, red=17359, nir=16209, swir1=9023, swir2=11741, tir1=5350, tir2=5350}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LE72140342003334EDC02,1.8100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,12995.0,2003-11-30T12:05:23,334.5037416087963,193.0,"{blue=186.11654196872612, green=164.38582250614857, red=134.96868037189228, nir=12.332734126501133, swir1=null, swir2=null, tir1=null, tir2=null}",62.21376991271973,"{lake_TIR=null, lake_BT=null, bkgd_BT=2.8683987572079612, bkgd_TIR=6.4323285064172175}","{blue=17432, green=17313, red=15747, nir=13119, swir1=5892, swir2=8529, tir1=2423, tir2=2423}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
