system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50010511985064XXX01,3.580000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.244,6597.0,1985-03-05T13:57:31,64.58161849537038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.84193801879883,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.64154052734375, bkgd_TIR=6.996897596865892}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511986003XXX04,3.2100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,5407.0,1986-01-03T13:54:42,3.5796585185185186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",49.08657455444336,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.50052039759185, bkgd_TIR=8.037229440302713}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511986019XXX04,3.5699996948242188,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,6531.0,1986-01-19T13:54:23,19.57943349537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.55695724487305,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.205986471737132, bkgd_TIR=7.290652426190022}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511986051XXX05,3.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,5648.0,1986-02-20T13:53:39,51.57892736111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.68252944946289,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.357017662758475, bkgd_TIR=7.780724049592502}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511986083XXX09,3.330000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.277,5104.0,1986-03-24T13:52:59,83.57846476851851,3.0,"{blue=47.04015572865804, green=37.70761104424795, red=24.233426411946613, nir=7.83425239721934, swir1=1.2347244297464688, swir2=0.3962598691383998, tir1=8.491996005177498}",36.694095611572266,"{lake_TIR=null, lake_BT=null, bkgd_BT=20.082388015020463, bkgd_TIR=8.35146346679804}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511986099XXX04,3.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,6846.0,1986-04-09T13:52:39,99.57823011574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.950809478759766,"{lake_TIR=null, lake_BT=null, bkgd_BT=-7.708111829096728, bkgd_TIR=5.306619491686325}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511987102XXX01,4.130000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.267,6757.0,1987-04-12T13:49:56,102.57634768518518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.201534271240234,"{lake_TIR=null, lake_BT=null, bkgd_BT=16.225276895525052, bkgd_TIR=7.881329296348251}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT50010511989283XXX01,3.330000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,6704.0,1989-10-10T13:52:29,283.5781218865741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.18013381958008,"{lake_TIR=null, lake_BT=null, bkgd_BT=14.174788625616776, bkgd_TIR=7.635155981700671}","{blue=6846, green=6846, red=6846, nir=6846, swir1=6846, swir2=6846, tir1=6846}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT52330511986124AAA03,3.6800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,0.0,1986-05-04T13:45:52,124.57352247685185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.1037712097168,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2839, green=891, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
LT52330511991202XXX01,3.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,0.0,1991-07-21T13:44:19,202.57244671296297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.038082122802734,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=891, green=0, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-61.192451999999996,13.349120999999998],[-61.192786,13.326956],[-61.166837,13.326496],[-61.168447,13.345554],[-61.192451999999996,13.349120999999998]]]}"
