system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51160501987364BKT00,4.710000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.236,1086.0,1987-12-30T01:46:13,364.0737635300926,124.0,"{blue=38.19184134467955, green=23.518790618065864, red=11.635549592394982, nir=5.2862481244148745, swir1=0.24924245296466735, swir2=0.039252613701166644, tir1=8.695182915506583}",49.661476135253906,"{lake_TIR=8.695182915506583, lake_BT=22.820781830818422, bkgd_BT=22.662659440258384, bkgd_TIR=8.675405613575728}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988015BKT00,3.1600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.239,2440.0,1988-01-15T01:46:29,15.073953113425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",49.40892028808594,"{lake_TIR=null, lake_BT=null, bkgd_BT=9.921814763733229, bkgd_TIR=7.141855751637233}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988031BKT00,3.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.229,1124.0,1988-01-31T01:46:47,31.074159756944443,81.0,"{blue=39.61399093675025, green=23.8489468715809, red=11.899038266252589, nir=5.4549289029321555, swir1=0.39967338529265956, swir2=0.07497813957340924, tir1=9.055306973832625}",47.69129180908203,"{lake_TIR=9.055306973832625, lake_BT=25.624047173394096, bkgd_BT=25.406497625382464, bkgd_TIR=9.027749018838668}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988047BKT00,4.419999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.235,1108.0,1988-02-16T01:47:03,47.07434550925926,33.0,"{blue=37.45832357984601, green=23.60409414768219, red=11.326081507133715, nir=5.3920046452319985, swir1=0.36306729777292773, swir2=0.06651754903070854, tir1=8.973582136698745}",44.73884963989258,"{lake_TIR=8.973582136698745, lake_BT=24.99254538796165, bkgd_BT=26.31475345919269, bkgd_TIR=9.14699957035645}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988063BKT00,3.0899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.239,1121.0,1988-03-03T01:47:13,63.07446739583333,111.0,"{blue=40.88924299274479, green=25.641004104872007, red=12.9565999711956, nir=5.932255102707459, swir1=0.4258565766451595, swir2=0.09507875292150823, tir1=9.0138087963333}",41.00413513183594,"{lake_TIR=9.0138087963333, lake_BT=25.302780838700027, bkgd_BT=28.01641370441522, bkgd_TIR=9.37130738234381}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988079BKT00,3.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,1057.0,1988-03-19T01:47:23,79.07457241898148,3.0,"{blue=45.47369909286499, green=29.774382789929707, red=15.881615002950033, nir=6.958228747049968, swir1=0.9137795443336169, swir2=0.1777559220790863, tir1=9.082652166485786}",37.07837677001953,"{lake_TIR=9.082652166485786, lake_BT=25.824554443359375, bkgd_BT=28.710072897937348, bkgd_TIR=9.465340160138942}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988095BKT00,5.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,2170.0,1988-04-04T01:47:30,95.07465516203703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.644065856933594,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988111BKT00,3.8199996948242188,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,1308.0,1988-04-20T01:47:34,111.07470194444444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.29125213623047,"{lake_TIR=null, lake_BT=null, bkgd_BT=26.466591605002964, bkgd_TIR=9.16686869029834}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988143BKT00,4.710000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29,1937.0,1988-05-22T01:47:51,143.07490063657409,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.469654083251953,"{lake_TIR=null, lake_BT=null, bkgd_BT=22.904269180509583, bkgd_TIR=8.707088964936995}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
LT51160501988159BKT00,5.439999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,1141.0,1988-06-07T01:47:57,159.07496672453703,3.0,"{blue=46.36881717046102, green=33.300262014071144, red=17.969567855199177, nir=6.374212980270386, swir1=1.1143700977166493, swir2=0.24330710619688034, tir1=8.602744035422802}",31.27596664428711,"{lake_TIR=8.602744035422802, lake_BT=22.09136962890625, bkgd_BT=21.573057263037285, bkgd_TIR=8.53789885736372}","{blue=2440, green=2440, red=2440, nir=2440, swir1=2440, swir2=2440, tir1=2440}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[120.990791,14.016960999999997],[120.99104399999999,14.003594],[121.00436999999998,14.003207999999995],[121.004541,14.016989],[120.990791,14.016960999999997]]]}"
