system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50200501985085XXX04,2.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,238.0,1985-03-26T15:54:31,85.6628590625,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.30428695678711,"{lake_TIR=null, lake_BT=null, bkgd_BT=6.866206553759496, bkgd_TIR=6.798958437836302}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501985117XXX03,3.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,238.0,1985-04-27T15:54:20,117.66273443287037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.641490936279297,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986008XXX09,2.8,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.24,238.0,1986-01-08T15:51:38,8.6608625,77.0,"{blue=129.40845623264065, green=142.05303029116098, red=104.97664212251638, nir=31.01664449022962, swir1=0.6678607360302627, swir2=0.14200073074210773, tir1=8.287759377971872}",49.96276092529297,"{lake_TIR=8.277421696577221, lake_BT=19.487789154052734, bkgd_BT=19.85183395877961, bkgd_TIR=8.323194571981027}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986040XXX01,2.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,233.0,1986-02-09T15:50:56,40.66037870370371,49.0,"{blue=125.00676705885907, green=131.51218866815373, red=92.7665727527774, nir=30.16987580425885, swir1=0.9612662875834777, swir2=0.2004981696301577, tir1=8.178963307443322}",46.48847961425781,"{lake_TIR=8.165289315953851, lake_BT=18.57762756347656, bkgd_BT=23.218245133109715, bkgd_TIR=8.746596096447952}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986072XXX09,1.470001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,234.0,1986-03-13T15:50:14,72.65988518518519,91.0,"{blue=148.87459174879305, green=154.85107367379325, red=102.81464099229036, nir=28.21704443339463, swir1=0.9102526774609482, swir2=0.18784071963567, tir1=8.46765577874996}",39.36736297607422,"{lake_TIR=8.450465493835509, lake_BT=20.879556274414064, bkgd_BT=23.697139784869027, bkgd_TIR=8.809256538880222}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986088XXX03,2.6600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,238.0,1986-03-29T15:49:55,88.65966631944444,90.0,"{blue=162.56260295973883, green=171.3384336392085, red=120.37205551995172, nir=33.21947105990516, swir1=0.7626679941183991, swir2=0.16828741770651606, tir1=8.397860179468989}",35.84671401977539,"{lake_TIR=8.378479274176062, lake_BT=20.299993896484374, bkgd_BT=24.846973260558478, bkgd_TIR=8.956589474632302}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986104XXX07,2.6600006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,238.0,1986-04-14T15:49:34,104.65942292824074,84.0,"{blue=156.34046670368738, green=164.73370630684354, red=114.8108096690405, nir=33.791667459976104, swir1=0.9854190276846999, swir2=0.22691931016743183, tir1=8.98640685448689}",33.201210021972656,"{lake_TIR=8.955389079098639, lake_BT=24.850418893914473, bkgd_BT=31.523010134229473, bkgd_TIR=9.841927632667563}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986184XXX03,3.0899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.296,238.0,1986-07-03T15:47:16,184.65783327546296,21.0,"{blue=153.6551124708993, green=160.98745963119325, red=111.28117508547646, nir=38.87051886036282, swir1=1.7906468205508732, swir2=0.3900168992224194, tir1=8.5236382995333}",34.251976013183594,"{lake_TIR=8.5236382995333, lake_BT=21.463646298363095, bkgd_BT=21.888524988354412, bkgd_TIR=8.577485712735276}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986200XXX03,3.2199996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.281,238.0,1986-07-19T15:46:44,200.65745376157406,91.0,"{blue=166.8679405778319, green=181.07722202369146, red=128.43221637180872, nir=35.841338179923675, swir1=0.8004789460491348, swir2=0.1604676976963714, tir1=8.336827061701934}",34.61112976074219,"{lake_TIR=8.336827061701934, lake_BT=19.967452499892687, bkgd_BT=20.456796895296726, bkgd_TIR=8.398452063241084}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986216XXX01,3.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,238.0,1986-08-04T15:46:09,216.65705760416665,71.0,"{blue=160.59407861467818, green=166.73740955305772, red=115.78476755551888, nir=39.00917853939701, swir1=1.9540252028636529, swir2=0.45103973192228397, tir1=7.855584789119976}",34.5616340637207,"{lake_TIR=7.855584789119976, lake_BT=16.026157003053477, bkgd_BT=16.161029145475354, bkgd_TIR=7.871996348676009}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986232XXX03,2.9699996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,238.0,1986-08-20T15:45:34,232.65664616898147,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.37950897216797,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
LT50200501986264XXX03,3.0600006103515627,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,238.0,1986-09-21T15:44:28,264.65588979166665,90.0,"{blue=166.37431410683527, green=176.935766907533, red=121.72922487391367, nir=33.87162199947569, swir1=1.3189724621673424, swir2=0.30303151839309267, tir1=8.22250913158059}",35.44098663330078,"{lake_TIR=8.22250913158059, lake_BT=19.042864651150175, bkgd_BT=20.241807407420463, bkgd_TIR=8.371785748521344}","{blue=238, green=238, red=238, nir=238, swir1=238, swir2=238, tir1=238}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-90.42183600000001,14.193925],[-90.426569,14.193597999999996],[-90.42660099999999,14.189650999999996],[-90.42215499999999,14.189762],[-90.42183600000001,14.193925]]]}"
