system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51100591994213DKI00,4.230000305175781,"{shadow_count=223.0, cloud_count=865.0, water_count=674.0, snow_count=0.0, lake_SR={blue=0.020946884272997034, green=0.034221958456973206, red=0.01819050445103862, nir=0.02377284866468857, swir1=0.010643323442136525, swir2=0.008037982195845672}}",0.251,1715.0,1994-08-01T01:01:35,213.04277543981482,340.0,"{blue=38.35930247955463, green=27.563450750182657, red=12.865341936490115, nir=6.227350191859638, swir1=0.45973692702896457, swir2=0.11895265397341813, tir1=8.546718561298707}",41.639686584472656,"{lake_TIR=8.546718561298707, lake_BT=21.647081980985753, bkgd_BT=20.124310308735865, bkgd_TIR=8.356310611189642}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591994245DKI00,4.539999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,2845.0,1994-09-02T01:00:49,245.04223637731482,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.903202056884766,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591994309DKI00,4.160000610351562,"{shadow_count=0.0, cloud_count=2845.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2538402777777778,2845.0,1994-11-05T00:58:52,309.0408811805556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.54446792602539,"{lake_TIR=null, lake_BT=null, bkgd_BT=9.41342789557229, bkgd_TIR=7.084944275173158}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591995216DKI00,5.519999694824219,"{shadow_count=118.0, cloud_count=2727.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259484126984127,2650.0,1995-08-04T00:47:52,216.03324327546295,63.0,"{blue=40.55184805203998, green=27.5259952545166, red=12.567404126364087, nir=5.692861252360874, swir1=0.45719723710938104, swir2=0.10596176804531188, tir1=8.107014757181917}",44.489933013916016,"{lake_TIR=8.107014757181917, lake_BT=18.10108632890005, bkgd_BT=17.507855645541486, bkgd_TIR=8.034683018216285}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591995344DKI00,5.030000305175781,"{shadow_count=1000.0, cloud_count=742.0, water_count=185.0, snow_count=0.0, lake_SR={blue=0.020908648648648654, green=0.02756270270270272, red=0.01216054054054055, nir=0.02036162162162162, swir1=0.006908648648648644, swir2=0.0046172972972973}}",0.2466111111111111,1864.0,1995-12-10T00:44:35,344.0309640162037,241.0,"{blue=39.456498387443574, green=25.78727183698124, red=11.712929052436005, nir=5.643587446311697, swir1=0.32266165631440663, swir2=0.06950126946961731, tir1=8.345404214105912}",45.596351623535156,"{lake_TIR=8.345404214105912, lake_BT=20.03677798702509, bkgd_BT=19.249132597829284, bkgd_TIR=8.248117313989471}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591996011DKI00,5.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.24375833333333333,2845.0,1996-01-11T00:46:54,11.032576365740741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.90896987915039,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591996251DKI00,4.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,2845.0,1996-09-07T01:01:11,251.0424999189815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.0640869140625,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.805823078365957, bkgd_TIR=7.0155037102722}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591996315DKI00,4.85,"{shadow_count=122.0, cloud_count=1704.0, water_count=84.0, snow_count=0.0, lake_SR={blue=0.04949761904761905, green=0.05390714285714289, red=0.03628214285714284, nir=0.0500011904761905, swir1=0.02496666666666666, swir2=0.01784285714285713}}",0.261,2550.0,1996-11-10T01:04:29,315.0447807291667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.068389892578125,"{lake_TIR=null, lake_BT=null, bkgd_BT=18.939166140088847, bkgd_TIR=8.21121717555558}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591996347DKI00,5.280000305175781,"{shadow_count=0.0, cloud_count=2845.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.24521960784313726,2845.0,1996-12-12T01:05:59,347.04583119212964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",41.646331787109375,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LT51100591997013DKI00,4.130000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,2840.0,1997-01-13T01:07:30,13.046885324074074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.60087585449219,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.848992447826744, bkgd_TIR=7.834544300765458}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
