system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51910301984177XXX05,1.3399993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=39846.0, snow_count=0.0, lake_SR={blue=0.04648142599006204, green=0.045245048436479404, red=0.02846746222958344, nir=0.04059336194348412, swir1=0.01661992671786378, swir2=0.01158042212518454}}",0.353,65451.0,1984-06-25T09:21:25,177.3898795138889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.226463317871094,"{lake_TIR=null, lake_BT=null, bkgd_BT=23.048818618454483, bkgd_TIR=8.725576253820675}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301984193XXX08,1.579998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=46418.0, snow_count=0.0, lake_SR={blue=0.05070524150114153, green=0.0469444805894271, red=0.03360835882631696, nir=0.04325651686845766, swir1=0.018003483562410473, swir2=0.01314985996811571}}",0.308,65608.0,1984-07-11T09:21:34,193.38998601851853,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.614627838134766,"{lake_TIR=null, lake_BT=null, bkgd_BT=28.327734955232618, bkgd_TIR=9.413446942166965}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301984273XXX02,1.429998779296875,"{shadow_count=12213.0, cloud_count=22953.0, water_count=101606.0, snow_count=0.0, lake_SR={blue=0.04125050193886261, green=0.04392661949097622, red=0.029610673582266843, nir=0.0354550538354031, swir1=0.01144990059642285, swir2=0.008634368049131128}}",0.291,76681.0,1984-09-29T09:23:05,273.3910400925926,4524.0,"{blue=40.6027846732675, green=24.71557613453646, red=12.788223315903194, nir=5.742561975218995, swir1=0.3917918456693622, swir2=0.09846854818594551, tir1=7.731876263105921}",50.71419906616211,"{lake_TIR=7.731876263105921, lake_BT=14.991196076707647, bkgd_BT=14.329494681840814, bkgd_TIR=7.653672709214194}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301984289XXX02,0.979998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=126067.0, snow_count=0.0, lake_SR={blue=0.03048108228164242, green=0.026935728620494946, red=0.013468472320274613, nir=0.018460519406346024, swir1=0.003782738543789791, swir2=0.0019477555585518398}}",0.279,64913.0,1984-10-15T09:23:03,289.3910138194444,82975.0,"{blue=33.76002049420533, green=19.507880853319357, red=9.254691285077044, nir=4.203585268262281, swir1=0.1794177097094709, swir2=0.03321230230291194, tir1=7.687184496947075}",55.95487976074219,"{lake_TIR=7.687803847373787, lake_BT=14.620503149403625, bkgd_BT=15.263574999432231, bkgd_TIR=7.7644072018217205}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301984305XXX02,0.520001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=60879.0, snow_count=45.0, lake_SR={blue=0.04241312603689359, green=0.040655602095961536, red=0.03260341497067988, nir=0.04586172900343505, swir1=0.023755720363343134, swir2=0.017207115754203323}}",0.273,65265.0,1984-10-31T09:22:57,305.3909481134259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",61.0218620300293,"{lake_TIR=null, lake_BT=null, bkgd_BT=6.696284294128418, bkgd_TIR=6.780592850293033}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301985179AAA02,1.5600006103515625,"{shadow_count=5296.0, cloud_count=9710.0, water_count=107994.0, snow_count=25.0, lake_SR={blue=0.06352316424986491, green=0.054204113191473946, red=0.029741568976054147, nir=0.028728096005333794, swir1=0.011508576402392664, swir2=0.00839415060096041}}",0.34,76458.0,1985-06-28T09:23:01,179.39099109953705,35591.0,"{blue=61.9384606713668, green=38.552500509649036, red=19.105629077866332, nir=8.8157864680117, swir1=0.581266223926693, swir2=0.14363674347263708, tir1=8.172951688100673}",30.173465728759766,"{lake_TIR=8.172951688100673, lake_BT=18.639447623072776, bkgd_BT=25.785708468768455, bkgd_TIR=9.08508985349321}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301986134XXX04,1.4899993896484376,"{shadow_count=0.0, cloud_count=0.0, water_count=125927.0, snow_count=0.0, lake_SR={blue=0.03406849762164015, green=0.032745667728128494, red=0.01393734862261446, nir=0.023220129916539423, swir1=0.0032780928633258906, swir2=0.0021705932802340267}}",0.362,65104.0,1986-05-14T09:17:40,134.38727806712964,24269.0,"{blue=48.225360075992945, green=29.784607098735137, red=13.321910472709781, nir=6.842888701305415, swir1=0.2552682562285327, swir2=0.051853027634208744, tir1=7.787975490852442}",33.62482833862305,"{lake_TIR=7.787389827037375, lake_BT=15.455765393750788, bkgd_BT=22.458690844395363, bkgd_TIR=8.65279527699878}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987009XXX01,0.570001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.329,59802.0,1987-01-09T09:12:31,9.383698958333333,46705.0,"{blue=26.020591707937136, green=14.897218311970066, red=7.859474085694576, nir=3.23840281104725, swir1=0.14396363662605866, swir2=0.027478727220710476, tir1=6.587195093626113}",71.267822265625,"{lake_TIR=6.594911739334594, lake_BT=5.005891326956917, bkgd_BT=-2.790618896484375, bkgd_TIR=5.778669264167547}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987057XXX01,0.870001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.361,191926.0,1987-02-26T09:14:12,57.38486806712963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",59.6419792175293,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987121XXX03,1.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.348,120131.0,1987-05-01T09:16:24,121.38639658564814,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.77542495727539,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.48582661235249, bkgd_TIR=8.042033728446578}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987137XXX02,1.879998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.363,191926.0,1987-05-17T09:16:51,137.38670412037038,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.13424301147461,"{lake_TIR=null, lake_BT=null, bkgd_BT=-32.77520724237397, bkgd_TIR=3.2436884362460954}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987153XXX02,1.679998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.388,65362.0,1987-06-02T09:17:15,153.38698106481482,763.0,"{blue=52.43696691668049, green=34.5941626467836, red=16.81430691707181, nir=8.206629422826504, swir1=0.4073344040491165, swir2=0.0893520315716026, tir1=7.601439596828791}",31.051300048828125,"{lake_TIR=7.590695546266247, lake_BT=13.79864956470246, bkgd_BT=21.948981412172614, bkgd_TIR=8.588607456219634}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987169XXX03,1.270001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.375,155974.0,1987-06-18T09:17:36,169.3872326388889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.51806640625,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987185XXX02,2.6800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.335,65434.0,1987-07-04T09:17:56,185.38745912037038,12314.0,"{blue=57.897115146763355, green=36.77170256779762, red=18.745244996238302, nir=8.887890067738683, swir1=0.4611720629508365, swir2=0.10080754085261945, tir1=8.325230912533065}",31.327312469482422,"{lake_TIR=8.32019754403337, lake_BT=19.833549254775214, bkgd_BT=26.44230279624723, bkgd_TIR=9.164741006529006}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987201AAA02,1.579998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,98013.0,1987-07-20T09:18:14,201.3876652314815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.192893981933594,"{lake_TIR=null, lake_BT=null, bkgd_BT=24.877669161598153, bkgd_TIR=8.960909854714453}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LT51910301987217XXX02,1.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.344,65853.0,1987-08-05T09:18:43,217.38800890046295,53281.0,"{blue=49.89516424546113, green=29.41530804649219, red=14.477184787911407, nir=6.711183095512617, swir1=0.46263621399918375, swir2=0.1329167025382158, tir1=8.417121931014169}",35.94060516357422,"{lake_TIR=8.415858696442895, lake_BT=20.6027473861908, bkgd_BT=27.1745381656888, bkgd_TIR=9.26131353713572}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
