system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51010271984187HAJ00,1.629998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.326,2875.0,1984-07-05T00:04:06,187.00285239583334,2938.0,"{blue=57.223266370772016, green=35.958472525124, red=15.852714362154208, nir=7.025416401635229, swir1=0.26888569442389204, swir2=0.05865714031571511, tir1=7.4544588511656285}",32.719635009765625,"{lake_TIR=7.4544588511656285, lake_BT=12.628835066554496, bkgd_BT=24.112849126904646, bkgd_TIR=8.862819272039324}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51010271984251HAJ00,2.3399993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,3258.0,1984-09-07T00:05:38,251.0039226736111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",46.619239807128906,"{lake_TIR=null, lake_BT=null, bkgd_BT=16.805165288329437, bkgd_TIR=7.971683737095885}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51010271991269HAJ00,2.129998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.311,7029.0,1991-09-26T23:59:29,269.9996422800926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",53.39812088012695,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51010271994277HAJ00,1.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.283,2142.0,1994-10-04T23:51:32,277.99413020833333,2831.0,"{blue=38.938700939416464, green=25.696127355498756, red=12.263406348413731, nir=5.141095973585487, swir1=0.3358009989234888, swir2=0.08263608302719726, tir1=7.14007590513075}",56.892059326171875,"{lake_TIR=7.14007590513075, lake_BT=9.904696363141198, bkgd_BT=6.7708059643942216, bkgd_TIR=6.788585825690201}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51010272007186MGR00,2.4300003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,3187.0,2007-07-05T00:29:19,186.02036541666666,1219.0,"{blue=46.95011190839045, green=29.149652051182436, red=13.496198810251938, nir=6.466917697966735, swir1=0.2848894894367559, swir2=0.05127816568445827, tir1=7.8020239660487345}",29.622589111328125,"{lake_TIR=7.8020239660487345, lake_BT=15.574839666302426, bkgd_BT=23.997457767418783, bkgd_TIR=8.850880454077426}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51010272010258MGR00,1.6899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.302,6485.0,2010-09-15T00:25:46,258.01789520833336,14.0,"{blue=50.009200760296416, green=34.502588391304016, red=18.51641264983586, nir=7.938540927001408, swir1=0.9968813450208732, swir2=0.2994938354407038, tir1=7.3884709895189316}",47.337852478027344,"{lake_TIR=7.3884709895189316, lake_BT=12.068758283342634, bkgd_BT=null, bkgd_TIR=null}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51020271984226HAJ00,0.9100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.328,4145.0,1984-08-13T00:11:26,226.0079435300926,173.0,"{blue=56.098698933000506, green=37.047782490019166, red=18.949175792622427, nir=8.809862550972515, swir1=0.7104062318285077, swir2=0.1804082821300953, tir1=7.586806902478885}",39.635009765625,"{lake_TIR=7.586806902478885, lake_BT=13.76587319787527, bkgd_BT=10.189137776692709, bkgd_TIR=7.172248644754291}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51020271986055HAJ00,0.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.474,7029.0,1986-02-24T00:08:13,55.00571361111111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",62.89766502380371,"{lake_TIR=null, lake_BT=null, bkgd_BT=-4.90030517578125, bkgd_TIR=5.568248006701469}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51020271987154HAJ00,1.3100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.363,3240.0,1987-06-03T00:06:01,154.00418681712964,6.0,"{blue=68.18732031186421, green=47.4037789106369, red=26.669371406237286, nir=11.484350939591726, swir1=0.8134842676421007, swir2=0.1340551326672236, tir1=7.181477647274733}",32.8859977722168,"{lake_TIR=7.181477647274733, lake_BT=10.269577026367188, bkgd_BT=30.48237778674597, bkgd_TIR=9.70402857433033}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
LT51020271987202HAJ00,2.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.374,6561.0,1987-07-21T00:07:00,202.00486788194445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.123130798339844,"{lake_TIR=null, lake_BT=null, bkgd_BT=3.505176455475563, bkgd_TIR=6.432855303290972}","{blue=7029, green=7029, red=7029, nir=7029, swir1=7029, swir2=7029, tir1=7029}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[151.965617,46.928475999999996],[151.935171,46.927970999999985],[151.934132,46.903967],[151.966631,46.904983000000016],[151.965617,46.928475999999996]]]}"
