"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1988,11,21,5,55,596130946.919,L4,LT40200501988326XXX03,0.0176140244709,0.020456583118,0.024567494654,0.598533811843,0.28303537992,0.024567494654,9.4756247255,4.60590033692,4.86972438858,4.46781835508,20.0
1994,1,30,5,45,759944720.713,L5,LT50200501994030AAA04,-0.449577495858,-0.497451805218,-0.559570241915,0.0941250505514,-0.244658033531,-0.449577495858,23.1822755344,21.1503818783,2.03189365608,2.12432129044,2.0
1995,6,10,5,30,802798230.987,L5,LT50200501995161XXX01,0.0490833402931,0.0512488361028,0.065678329675,0.644918176205,0.252670697686,0.065678329675,6.19255391254,5.87874639801,0.313807514529,0.285232964407,6.0
1995,12,3,5,24,818004258.244,L5,LT50200501995337XXX02,-0.47987197492,-0.532043182346,-0.596203513829,0.0919216635563,-0.242422031267,-0.47987197492,17.8886572648,15.661920363,2.22673690183,2.22665573789,1.0
1995,12,19,5,25,819386730.152,L5,LT50200501995353XXX01,-0.476699073298,-0.520189556408,-0.562466430817,0.0821541660922,-0.179919287288,-0.476699073298,16.5282003018,14.5591874405,1.96901286126,1.94842154243,4.0
1996,2,5,5,28,823534134.097,L5,LT50200501996036XXX02,-0.480438663064,-0.533316518997,-0.602547653326,0.0944936352637,-0.25416145629,-0.480438663064,20.1222887083,17.5737266512,2.54856205711,2.59312555215,1.0
1996,5,27,5,35,833211354.725,L5,LT50200501996148XXX01,0.0243140003759,0.0371320555552,0.0365498047613,0.492429288404,0.345201874434,0.0371320555552,12.3492164234,8.962870871,3.3863455524,3.21069769372,1.0
1997,1,6,5,47,852565644.69,L5,LT50200501997006XXX01,-0.456359452771,-0.501504056314,-0.552245384075,0.0881973804204,-0.210110540546,-0.456359452771,22.7497338721,20.5408981086,2.2088357635,2.29961046916,4.0
1997,1,22,5,48,853948088.966,L5,LT50200501997022AAA02,-0.463774397793,-0.515461856236,-0.582591974647,0.0941641242381,-0.256196929841,-0.463774397793,20.1222887083,18.5573025425,1.56498616583,1.5988538498,2.0
2001,3,22,6,4,985277056.415,L5,LT50200502001081XXX02,0.014649547333,0.0167555805584,0.0246332770443,0.631508910225,0.405294419144,0.0246332770443,7.76435745121,6.53192639969,1.23243105151,1.13183930095,31.0
2001,4,7,6,4,986659441.698,L5,LT50200502001097XXX02,-0.393969785345,-0.434441884249,-0.490773339633,0.096985859314,-0.245713143215,-0.393969785345,27.4282784376,21.5319237429,5.89635469467,6.27938247449,1.0
2010,12,4,6,17,1291479423.704,L7,LE70200502010338ASN00,0.0137968917268,0.014724918685,0.0200997656442,0.642126883428,0.313579472964,0.0200997656442,19.3653440743,16.7527951416,2.61254893275,2.64081324879,20.0
2011,2,22,6,17,1298391456.609,L7,LE70200502011053EDC00,0.0136702785422,0.0155273180981,0.0198283562925,0.616406406048,0.310569250394,0.0198283562925,22.2826100733,18.4180091328,3.86460094043,3.98119329782,37.0
2014,1,5,6,25,1388939127.619,L8,LC80200502014005LGN00,0.0030252075598,0.00656402245011,0.0125298540034,0.604612545536,0.758560031189,0.0125298540034,15.9297973199,6.81630062879,9.11349669114,8.55859486619,67.0
