year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1986,2,19,4,52,509208749.465,L5,LT50100591986050XXX07,0.0641024908612,0.0959112221502,0.0709949644242,0.369447492788,0.33164764848,0.0959112221502,6.32580358579,5.88693950286,0.438864082926,0.399165462928,48.0
1987,1,21,4,45,538238747.336,L5,LT50100591987021XXX03,0.0234585167973,0.050170174406,0.0241739373163,0.337797180352,0.532421063409,0.050170174406,9.26476677724,10.5649739812,-1.30020720399,-1.22459543192,228.0
1987,2,6,4,46,539621181.457,L5,LT50100591987037XXX02,0.0332404483968,0.0605470329163,0.0282260406669,0.307476001504,0.53381628616,0.0605470329163,1.28893035185,2.29898283108,-1.01005247923,-0.881747198183,12.0
1987,3,26,4,48,543768490.704,L5,LT50100591987085XXX02,0.0533648704921,0.0780252620019,0.0590830553309,0.371979548909,0.316056503715,0.0780252620019,8.33775249699,2.76946241301,5.56829008398,5.03849116443,18.0
1987,4,27,4,49,546533352.935,L5,LT50100591987117XXX02,0.0529265088829,0.0717044268624,0.0661670631992,0.450852168761,0.261879479429,0.0717044268624,5.95419853978,2.24290950813,3.71128903165,3.31237309435,14.0
1987,9,18,4,52,558975169.942,L5,LT50100591987261XXX01,0.0358825203201,0.0778636083495,0.0162713007566,0.280266047472,0.791028169622,0.0778636083495,2.11515247736,2.10392996853,0.0112225088307,0.00982695291154,3.0
1987,11,29,4,47,565195652.541,L4,LT40100591987333XXX01,0.0294899428646,0.0634567748362,0.032428798171,0.347753554158,0.535275107493,0.0634567748362,13.0715492392,18.6903317446,-5.61878250536,-5.57603351773,216.0
1989,11,10,4,50,626712619.676,L5,LT50100591989314CPE01,0.060389499686,0.0883247102093,0.0632818006489,0.350589339336,0.316278541498,0.0883247102093,5.52381299702,3.77347172546,1.75034127157,1.57036707946,8.0
1989,12,12,4,49,629477367.079,L5,LT50100591989346CPE01,0.021822687396,0.0592285835458,0.0215690929997,0.332211020415,0.635833043635,0.0592285835458,10.130334566,11.5189428618,-1.38860829575,-1.31856801368,215.0
1991,2,1,4,46,665419587.957,L5,LT50100591991032XXX03,0.0199585607399,0.058744351725,0.0129782206487,0.307913006383,0.779072876497,0.058744351725,7.05771616408,10.7167205136,-3.6590043495,-3.41432782364,184.0
1991,2,17,4,46,666802006.771,L5,LT50100591991048XXX02,0.071929101341,0.101294356247,0.0725594684323,0.336911071113,0.289900207615,0.101294356247,6.31285609918,4.39170251692,1.92115358225,1.73508190337,54.0
1991,5,8,4,48,673714094.25,L5,LT50100591991128CPE00,0.0284653271537,0.0558077805707,0.030310253947,0.344579134659,0.489939810137,0.0558077805707,11.0906627917,12.7592133094,-1.66855051774,-1.59995406889,201.0
1991,12,18,4,50,693067815.088,L5,LT50100591991352XXX03,-0.0388451975012,0.00919839378364,-0.0685513501989,0.269654339731,8.45253484591,0.00919839378364,10.5197427917,11.442215742,-0.9224729503,-0.877167026322,191.0
1996,7,24,4,40,838219247.614,L5,LT50100591996206XXX02,0.0237684880509,0.061929579317,0.0242885971795,0.335604884065,0.616201364308,0.061929579317,10.26608947,12.1013463272,-1.8352568572,-1.74827503135,222.0
1996,9,10,4,43,842366602.403,L5,LT50100591996254XXX01,0.0440468502014,0.0629032060214,0.0420655981188,0.317486568102,0.33126464008,0.0629032060214,7.88292391814,7.79149801456,0.0914259035713,0.0844980650462,54.0
1996,10,12,4,45,845131504.531,L5,LT50100591996286XXX01,0.0316809774541,0.0761865886658,0.0334370587184,0.33990958749,0.584165953498,0.0761865886658,12.833284109,15.1068840646,-2.27359995565,-2.21952856395,232.0
1997,9,29,4,58,875545123.615,L5,LT50100591997272XXX02,0.0410033131293,0.0784565254796,0.0459459293338,0.355327958513,0.477375363252,0.0784565254796,8.39743979321,10.8657542945,-2.46831450132,-2.31884274666,227.0
1997,10,15,4,59,876927548.805,L5,LT50100591997288XXX01,0.0629643731743,0.0958017999625,0.0680840009762,0.359318052106,0.342764194421,0.0958017999625,4.59263310811,2.85602507995,1.73660802816,1.54443248012,89.0
1998,2,4,5,1,886604509.748,L5,LT50100591998035CPE00,0.0932208172219,0.12819004987,0.0917505098967,0.326608461915,0.284261844117,0.12819004987,4.20755452324,2.31060210266,1.89695242058,1.67954895145,10.0
1999,1,6,5,4,915635097.828,L5,LT50100591999006CPE00,0.0195080388848,0.0342458110335,0.0263689350916,0.410921905717,0.430352551273,0.0342458110335,4.23019284592,-1.40885351317,5.6390463591,4.90442842846,27.0
