"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1984,12,24,4,5,472745151.149,L5,LT52330881984359XXX02,-0.230359305848,-0.224786507999,-0.358112938959,0.173633024611,-0.593124703729,-0.224786507999,16.0712172674,1.83181752089,14.2393997465,13.2948633227,1.0
1985,1,25,4,6,475509963.268,L5,LT52330881985025XXX03,-0.015848034351,0.00664880364855,-0.0253592266454,0.283808301609,4.81410370735,0.00664880364855,17.209149007,14.9872315338,2.22191747323,2.20910800234,921.0
1985,3,7,3,59,479051995.496,L5,LT52320881985066XXX04,-0.0114793949506,0.00704009069279,-0.0139463317213,0.313741803136,2.98098750853,0.00704009069279,15.8420550559,15.9053496413,-0.0632945854862,-0.0628095013811,1089.0
1986,1,12,4,3,505922586.502,L5,LT52330881986012AAA04,-0.00720667388286,0.00394573758153,-0.00299036027071,0.396343825513,2.82644530558,0.00394573758153,16.5050249533,6.79327002711,9.71175492621,9.28970070343,920.0
1986,1,21,3,56,506699804.41,L5,LT52320881986021XXX03,0.0386476798672,0.0648734542571,0.0579755772566,0.456163499706,0.404260489752,0.0648734542571,15.2237525697,9.24458404865,5.97916852103,5.74900654813,430.0
1986,2,22,3,56,509464560.583,L5,LT52320881986053AAA03,0.059349183202,0.0699964296236,0.0658358566526,0.434872473028,0.152111278802,0.0699964296236,13.8859797434,11.3271818518,2.55879789154,2.46838372763,103.0
1986,3,10,3,55,510846939.563,L5,LT52320881986069AAA04,-0.0387448852231,-0.0340047527666,-0.0338197663573,0.506259964289,-0.145628411913,-0.0338197663573,10.5224801477,-5.19534307429,15.717823222,13.8374335617,125.0
1986,3,26,3,55,512229320.978,L5,LT52320881986085XXX04,-0.0151928357047,-0.00636787292996,-0.0171938925383,0.302527045858,-1.70009981785,-0.00636787292996,13.7037084534,13.5478907905,0.155817662968,0.151657649396,1339.0
1986,9,25,3,55,528040554.322,L5,LT52330881986268XXX03,-0.00725720660828,-0.00226668907006,-0.00907135800177,0.288899347108,-3.0020301512,-0.00226668907006,7.78206970242,11.6069120503,-3.82484234793,-3.59526257594,1332.0
1986,11,12,3,54,532187654.142,L5,LT52330881986316AAA03,-0.0127840318619,-0.00308050198752,-0.0152372136031,0.299700584901,-3.94634110441,-0.00308050198752,15.0125522918,16.4766665491,-1.46411425734,-1.45129323951,938.0
1986,12,7,3,48,534347281.13,L5,LT52320881986341AAA03,0.020867076788,0.0352878804604,0.0467895983486,0.573949325372,0.554023169154,0.0467895983486,12.7879899583,6.45669930484,6.3312906535,5.94738252653,256.0
1986,12,23,3,48,535729711.524,L5,LT52320881986357AAA03,-0.0161942341026,-0.00856676248087,-0.01532813959,0.35225822648,-0.890356378939,-0.00856676248087,15.8420551388,16.0631872826,-0.221132143768,-0.219585095176,296.0
1986,12,30,3,54,536334895.141,L5,LT52330881986364AAA04,-0.00902222582754,0.000932258663435,-0.00963580808149,0.323656661955,11.3359812673,0.000932258663435,17.4528694314,14.1955485512,3.25732088016,3.2309865949,907.0
1987,1,8,3,49,537112140.159,L5,LT52320881987008XXX03,-0.00205424478553,0.0117420915204,0.0243522445334,0.579589988031,1.08435545983,0.0243522445334,15.4223674661,7.59471861925,7.8276488469,7.47817065655,167.0
1987,1,24,3,49,538494567.591,L5,LT52320881987024XXX03,0.0305394323938,0.0386291027648,0.0382377733111,0.49193767204,0.209419059518,0.0386291027648,11.9296124341,7.49032796934,4.43928446475,4.17340524013,35.0
1987,2,9,3,50,539877004.069,L5,LT52320881987040XXX02,-0.0490540717759,-0.0290934756579,-0.0653811606092,0.258344215789,-1.24727912808,-0.0290934756579,11.3638440673,11.8404708424,-0.476626775128,-0.45572799439,444.0
1987,3,29,3,51,544024311.735,L5,LT52320881987088XXX02,-0.0145603673175,-0.0103008421522,-0.0195237565832,0.243640259579,-0.895355379168,-0.0103008421522,11.8659152899,9.72686508655,2.13905020335,2.03064544758,1346.0
1988,9,22,4,6,590940372.71,L4,LT42330881988266XXX01,-0.0157422441362,-0.00513207386539,-0.0135791556318,0.367311558144,-2.06742353074,-0.00513207386539,9.04436589787,11.9273821063,-2.88301620845,-2.72931660652,1104.0
1988,11,9,4,7,595087623.013,L4,LT42330881988314XXX01,0.0630821220568,0.0790941470093,0.0732947612131,0.439635099106,0.202442602366,0.0790941470093,12.4707463157,8.20392819665,4.26681811904,4.033968051,35.0
1990,1,8,4,2,631807326.475,L4,LT42320881990008XXX01,-0.0222343299825,-0.0105114189075,-0.0171859843174,0.405106542121,-1.11525486503,-0.0105114189075,19.6757600243,19.4597630423,0.215996981978,0.221087310755,862.0
