"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1985,2,4,6,6,476381166.131,L5,LT50220481985035XXX03,0.193910463696,0.2244962538,0.232830929161,0.535691057228,0.167161921338,0.232830929161,20.4052386669,15.3770901353,5.02814853161,5.07539017958,23.0
1986,3,11,6,1,510940909.939,L5,LT50220481986070XXX06,0.115609323829,0.146659289484,0.125409427241,0.385937274566,0.211714960329,0.146659289484,25.8313796667,26.857640292,-1.02626062532,-1.10901743697,44.0
1986,10,5,5,55,528911735.732,L5,LT50220481986278XXX03,-0.0195360946381,-0.0217858359258,-0.0254747390372,0.103528203393,-0.303983191581,-0.0195360946381,15.6124454681,8.5968194895,7.0156259786,6.73785469746,1.0
1986,10,21,5,55,530294103.693,L5,LT50220481986294XXX03,0.136620617434,0.146957429706,0.140932447948,0.402855580618,0.0703388205202,0.146957429706,16.0712172674,12.7635165621,3.30770070523,3.24156357892,11.0
1987,9,22,6,2,559324962.119,L5,LT50220481987265XXX02,0.0949076733634,0.110274508245,0.107217862574,0.466848023738,0.139350745031,0.110274508245,19.7809850041,14.9388568233,4.84212818076,4.86587585982,87.0
1988,4,25,6,2,577987344.866,L4,LT40220481988116XXX03,0.0843051713557,0.0973601614031,0.0746117928148,0.262314478338,0.233651714012,0.0973601614031,40.854905609,35.0715758876,5.78332972143,6.80998738729,80.0
1988,11,19,6,7,595958837.743,L4,LT40220481988324XXX03,0.0597506104976,0.0693237207779,0.0682652616143,0.481572356796,0.138092851521,0.0693237207779,27.2181310562,21.2140742438,6.00405681239,6.38074533619,173.0
1990,3,22,5,55,638121356.977,L5,LT50220481990081XXX02,0.122370284476,0.153749945306,0.14829549916,0.47102982207,0.204095427591,0.153749945306,11.4812206739,6.8433511709,4.637869503,4.33855453207,35.0
1990,3,30,6,7,638813230.024,L4,LT40220481990089XXX04,0.166212684008,0.241892928212,0.218159903939,0.447733994689,0.312866708271,0.241892928212,35.2074370419,27.3657845718,7.8416524701,8.79832804117,121.0
1992,3,19,5,39,701019598.089,L4,LT40220481992079XXX02,0.0991726696524,0.167893744852,0.125007143027,0.395988720345,0.409312897631,0.167893744852,34.7081689137,27.1975202642,7.51064864952,8.4060227936,109.0
