"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1990,12,3,15,9,660272970.85,L4,LT41100591990338XXX03,0.0531430965635,0.0545352034163,0.0540553603686,0.442551937652,0.0255267563988,0.0545352034163,17.8457084542,18.7596781298,-0.91396967561,-0.925740787603,21.0
1990,12,19,15,8,661655336.462,L4,LT41100591990354XXX03,0.0421844760258,0.0408982683214,-0.0101487001525,0.162570451485,1.24057902595,0.0421844760258,13.1234358022,15.3446569689,-2.22122116667,-2.17336153882,14.0
1994,7,31,15,1,775702895.798,L5,LT51100591994213DKI00,0.0279487527531,0.0290035302697,0.0281134514659,0.359357575448,0.0363672113976,0.0290035302697,16.9397287752,17.1573192051,-0.217590429859,-0.218085587284,104.0
1994,11,4,14,58,783997132.134,L5,LT51100591994309DKI00,0.0449226660956,0.0475543654449,0.0474971457224,0.496376250037,0.0553408572415,0.0475543654449,14.9464470264,13.9608047318,0.985642294584,0.966238611746,379.0
1996,11,9,15,4,847587869.055,L5,LT51100591996315DKI00,0.0671318901505,0.0691571673381,0.0831913270479,0.645648109161,0.19304220124,0.0831913270479,13.759078563,12.2951004121,1.46397815089,1.41746645991,4.0
1997,3,17,15,10,858647412.939,L5,LT51100591997077DKI00,0.028044976798,0.0297956483231,0.0295409315178,0.475750561836,0.058755946712,0.0297956483231,14.9570161213,14.885913255,0.0711028662944,0.0699848002146,64.0
1997,5,4,15,11,862794716.413,L5,LT51100591997125DKI00,0.0252271811845,0.0254422228538,0.0239505208627,0.190693099859,0.0586309615976,0.0254422228538,19.5016681252,18.5257802234,0.975887901827,0.994319497149,138.0
1997,6,5,15,13,865559583.496,L5,LT51100591997157DKI00,0.0307268331367,0.0318666685123,0.0322950373487,0.545526472586,0.0485586746669,0.0322950373487,20.3136275395,18.4966112612,1.81701627824,1.85734019236,141.0
1997,6,21,15,13,866942015.891,L5,LT51100591997173DKI00,0.0252431963028,0.0248608627305,0.0240361841458,0.113873277894,0.0478153456696,0.0252431963028,18.3833066184,18.3401182328,0.0431883856201,0.0437661633259,141.0
1998,12,17,15,22,913944174.927,L5,LT51100591998352DKI00,0.0667514554641,0.0689853165605,0.0582865716107,0.201466092625,0.155087277745,0.0689853165605,13.1444017554,13.5431823776,-0.398780622265,-0.387181239114,32.0
2000,3,9,15,17,952651044.62,L5,LT51100592000070DKI00,0.0416898090156,0.0412903146114,0.0368334292946,0.152956371233,0.116488413732,0.0416898090156,18.0677297725,15.2730810115,2.79464876107,2.79206587139,78.0
2000,4,10,15,18,955415899.55,L5,LT51100592000102DKI00,0.0411191310703,0.0442549384816,0.0419782449144,0.37899482395,0.0708577961907,0.0442549384816,17.7984457396,16.1664350464,1.63201069318,1.63481154006,5.0
2000,4,26,15,19,956798350.647,L5,LT51100592000118DKI00,0.0236908401995,0.0189781645785,0.00583041373729,0.122689780757,0.753895864891,0.0236908401995,13.8757882192,10.8323432538,3.04344496539,2.929392054,8.0
2000,5,12,15,19,958180780.183,L5,LT51100592000134DKI00,0.0529509279178,0.0572726016123,0.0509274084998,0.280182352685,0.11078932917,0.0572726016123,16.4879507908,15.6178893929,0.870061397927,0.864712797621,34.0
2000,5,28,15,19,959563194.419,L5,LT51100592000150DKI00,0.036081557527,0.0374956552271,0.0363139297956,0.360720911595,0.0377136415266,0.0374956552271,16.5371447489,17.1034724668,-0.566327717889,-0.566523251057,51.0
2000,6,5,15,35,960255346.652,L7,LE71100592000158SGS00,0.0341001251318,0.0237714741305,0.00794765556352,0.100843367301,0.766931777147,0.0341001251318,17.5439486944,17.359556086,0.18439260842,0.185441004998,7.0
2000,6,29,15,20,962328038.353,L5,LT51100592000182DKI00,0.0321684164996,0.0325031085362,0.0270291284773,0.176857059306,0.168414047313,0.0325031085362,15.1986766792,16.8483126074,-1.6496359282,-1.63908363046,138.0
2000,10,27,15,34,972696855.47,L7,LE71100592000302EDC00,0.102826926504,0.095383080982,0.0717916711083,0.12669145446,0.301820315464,0.102826926504,14.4915794745,13.619211027,0.872368447579,0.852252456091,12.0
2000,11,12,15,34,974079256.14,L7,LE71100592000318EDC00,0.0568564456081,0.0579280277371,0.0569761810728,0.351956181034,0.0184985087672,0.0579280277371,23.4252745006,18.9770061201,4.44826838044,4.61439537607,22.0
2001,3,4,15,34,983756056.13,L7,LE71100592001064EDC00,0.0595468507868,0.0666781411479,0.0520373937498,0.247847521796,0.219573418606,0.0666781411479,13.8337071434,10.9079719562,2.92573518725,2.81650959109,13.0
