"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1999,6,29,14,20,930702028.269,L7,LE71000231999181EDC00,0.0308380866146,0.0350076496364,0.0311652570881,0.346411061614,0.119104340482,0.0350076496364,14.168203353,10.4316003394,3.73660301358,3.59485683818,323.0
1999,7,24,14,14,932861666.235,L7,LE70990231999206EDC01,0.0169414726245,0.0128714414596,0.00438204647137,0.112656354475,0.741342056355,0.0169414726245,12.4545314224,15.5630774517,-3.10854602924,-3.0356352328,154.0
1999,8,25,14,14,935626472.123,L7,LE70990231999238EDC00,0.0441196241372,0.0441522830738,0.0496903411688,0.665689565144,0.112108649298,0.0496903411688,10.5226556315,7.84313612211,2.67951950941,2.50706114127,1944.0
1999,8,25,14,14,935626496.005,L7,LE70990241999238EDC00,0.0736035505223,0.0734732916586,0.080350819824,0.669823296505,0.0855937522542,0.080350819824,15.0270702039,13.4437042563,1.5833659476,1.54926843596,41.0
1999,9,1,14,20,936231644.387,L7,LE71000231999245SGS00,0.000607891982634,-0.00286676137784,-0.00789198249919,0.0985352025316,13.9825408537,0.000607891982634,7.54885787343,7.65027177574,-0.101413902308,-0.0935247834872,1998.0
1999,9,10,14,14,937008869.235,L7,LE70990231999254EDC00,0.0273054025803,0.0216530869132,0.017324853088,0.072277814439,0.365515559164,0.0273054025803,7.92700660998,10.2054062961,-2.27839968611,-2.12950339344,2707.0
1999,9,10,14,14,937008893.113,L7,LE70990241999254EDC00,0.052275352446,0.048734655334,0.0484709774585,0.0115515196924,0.072775692741,0.052275352446,12.5065508605,9.28757329222,3.2189775683,3.05858931351,31.0
2000,3,20,14,14,953597652.981,L7,LE70990232000081EDC00,0.403173845554,0.470395786225,0.575982274469,0.601833852382,0.300023866315,0.575982274469,-16.5055928492,-12.7366603265,-3.76893252267,-2.76868132613,196.0
2000,4,12,14,20,955585206.262,L7,LE71000232000104EDC00,0.290840097429,0.332217179535,0.377093635564,0.58671423225,0.228732415507,0.377093635564,3.07811506228,-3.20127801233,6.27939307461,5.38303620793,64.0
2000,4,21,14,13,956362434.544,L7,LE70990232000113SGS00,0.26219886229,0.292749423052,0.358565264911,0.613829163259,0.268755543414,0.358565264911,-7.62009095713,-8.80443479123,1.1843438341,0.933710427197,30.0
2000,4,28,14,20,956967605.987,L7,LE71000232000120EDC00,-0.047556078978,-0.0267525512598,0.0152725195554,0.611480737,4.11383323528,0.0152725195554,4.5448063675,-1.20253835226,5.74734471976,5.01130609186,191.0
2000,5,23,14,13,959127214.459,L7,LE70990232000145EDC00,0.197237287646,0.27206857574,0.283880404422,0.522721229186,0.305209924414,0.283880404422,7.25614032742,-0.568949845994,7.82509017341,6.93392366529,29.0
2000,7,1,14,19,962497166.129,L7,LE71000232000184EDC00,0.0401636473702,0.0416091924903,0.0377642675388,0.22932697596,0.0924056613789,0.0416091924903,9.85279967194,9.60274337583,0.250056296106,0.235117876882,505.0
2000,7,26,14,12,964656768.412,L7,LE70990232000209EDC00,0.0369432794086,0.0375731160533,0.0313246644482,0.183466472562,0.166301128613,0.0375731160533,18.6214292799,21.3077399717,-2.68631069173,-2.75861383939,371.0
2000,8,2,14,18,965261936.559,L7,LE71000232000216EDC00,0.0406913165259,0.0500297871501,0.0445725073705,0.402602185462,0.18665821216,0.0500297871501,15.4452022946,19.9909604336,-4.54575813901,-4.5818206359,262.0
2000,8,11,14,12,966039161.783,L7,LE70990232000225EDC00,0.0203550731328,0.0196805499355,0.0260841745557,0.684222432275,0.245498457561,0.0260841745557,7.01420577774,7.55104682164,-0.536841043899,-0.493636191531,402.0
2000,8,18,14,18,966644330.633,L7,LE71000232000232EDC00,0.0306388683232,0.0298666488229,0.0226029468554,0.150650675152,0.262278664571,0.0306388683232,16.1714532808,22.8319563259,-6.66050304517,-6.81368262492,771.0
2000,8,27,14,12,967421553.001,L7,LE70990232000241EDC00,0.042570696644,0.0540711958096,0.0480790261891,0.413160731341,0.212691785218,0.0540711958096,6.95532208673,10.4433808763,-3.48805878958,-3.24925564821,209.0
