"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1987,5,25,13,32,548983939.65,L5,LT50940671987145ASA00,-0.020415575833,-0.0139226769803,-0.024104545465,0.27294871209,-0.731315428717,-0.0139226769803,18.6913512054,20.8915545786,-2.20020337316,-2.2562080348,1805.0
1987,7,12,13,33,553131201.515,L5,LT50940671987193ASA00,-0.0147414228861,-0.00832208339291,-0.0105532508886,0.442071727212,-0.771362072471,-0.00832208339291,19.1593198817,16.9014248745,2.25789500713,2.28177557734,2841.0
1987,10,9,13,29,560820565.529,L5,LT50930671987282ASA00,-0.00883074905683,0.00374585731986,0.00940351039035,0.551712666541,1.93909068957,0.00940351039035,21.7309532734,19.3974117037,2.33354156962,2.40816035542,2544.0
1987,10,16,13,35,561425743.626,L5,LT50940671987289ASA00,0.0222583908525,0.0295075746396,0.0308196060718,0.525542157248,0.277784706247,0.0308196060718,18.2363694603,15.1768862417,3.05948321866,3.05759213434,1143.0
1987,10,25,13,29,562202980.535,L5,LT50930671987298ASA00,-0.00970340273916,0.00169471610765,0.0115302384456,0.577200782886,1.84156132459,0.0115302384456,20.5190600756,19.3587547998,1.16030527581,1.19128553155,2734.0
1987,11,10,13,30,563585402.575,L5,LT50930671987314ASA00,-0.00485575082393,0.00458542573606,0.0114862579168,0.570379273138,1.42274436628,0.0114862579168,21.5862692686,23.2085410603,-1.62227179163,-1.69922618907,2692.0
1987,11,17,13,35,564190558.077,L5,LT50940661987321ASA00,-0.00169210963455,0.00531998508797,0.00260994242263,0.43558646946,1.31806661233,0.00531998508797,17.542024064,18.0531822665,-0.511158202519,-0.515559168868,2381.0
1987,11,17,13,36,564190581.85,L5,LT50940671987321ASA00,9.00705068399e-05,0.0069071294482,0.00452774325897,0.441827646162,0.986959777211,0.0069071294482,17.5605370821,18.0857151209,-0.525178038772,-0.529813030291,2438.0
1987,11,26,13,30,564967820.196,L5,LT50930671987330ASA00,-0.00883243153197,0.00118667510763,0.00909439242406,0.573518482097,1.97119533886,0.00909439242406,24.5891304301,22.6071532045,1.98197722561,2.09603740919,2857.0
1987,12,12,13,30,566350233.422,L5,LT50930671987346ASA00,0.030279238504,0.0386801115227,0.0329556173218,0.386430569216,0.2171884384,0.0386801115227,9.42170639914,7.32478472249,2.09692167665,1.94756055631,9.0
1987,12,19,13,36,566955410.841,L5,LT50940671987353ASA00,0.0212114237332,0.0311545091788,0.0301016850004,0.482352490345,0.319153975065,0.0311545091788,12.090992854,5.40138084882,6.68961200514,6.23426942422,354.0
1988,1,4,13,37,568337826.55,L5,LT50940671988004ASA00,-0.00442479237143,0.00228443850939,0.00109657039109,0.470491696704,2.93692776288,0.00228443850939,19.3449632207,19.3412220145,0.00374120615686,0.00382227551737,2784.0
1988,1,20,13,37,569720220.122,L5,LT50940661988020ASA00,-0.000591164046541,0.00709088153062,0.00500186791772,0.454677574874,1.08336961265,0.00709088153062,15.8811064261,16.5491108036,-0.66800437748,-0.664814725978,2715.0
1988,1,20,13,37,569720243.902,L5,LT50940671988020ASA00,-0.000831178394291,0.00675410090017,0.00440008175678,0.448276588288,1.12306277424,0.00675410090017,15.9145768606,16.5987887766,-0.684211915991,-0.681185564622,2695.0
1988,2,5,13,37,571102638.588,L5,LT50940661988036ASA00,-0.0109496371553,0.0195918614619,-0.0311326250136,0.267017604118,2.58905906282,0.0195918614619,15.8202069721,12.9067698921,2.91343707996,2.85385493588,41.0
1988,2,5,13,37,571102662.369,L5,LT50940671988036ASA00,-0.00363098646434,0.0266850596634,-0.0214610421255,0.271611286623,1.8042343692,0.0266850596634,16.4836955274,13.0951656925,3.38852983489,3.33145214762,41.0
1988,3,1,13,31,573262311.027,L5,LT50930671988061ASA00,-0.0202347871787,-0.00935890414183,-0.00493230019661,0.548212249752,-3.10250519476,-0.00493230019661,19.3056804198,19.2459526854,0.059727734415,0.0609880551114,2793.0
1988,4,9,13,38,576632299.569,L5,LT50940671988100ASA00,-0.000449231094034,0.0127470449206,0.000955880198937,0.351079644129,1.03524197936,0.0127470449206,15.9032075975,11.9184686575,3.98473893999,3.88796708809,42.0
1988,4,18,13,32,577409531.12,L5,LT50930671988109ASA00,-0.0111193414734,-0.000824928653166,0.00401258551243,0.553281539204,3.77111638841,0.00401258551243,20.8243846003,20.2944783173,0.529906283009,0.546830359302,2803.0
1988,5,4,13,32,578791939.746,L5,LT50930671988125ASA00,-0.0126104590095,-0.00215073512619,0.000563355136916,0.534336933264,23.3845638092,0.000563355136916,20.6333045613,20.3990541473,0.234250414071,0.241646386738,2792.0
1988,5,20,13,32,580174348.685,L5,LT50930671988141ASA00,-0.0125910287254,-0.00598933443091,-0.00432995226849,0.533477924479,-1.90789088299,-0.00432995226849,13.069363802,13.096324824,-0.0269610219967,-0.0261171942173,2554.0
1988,6,12,13,38,582161927.588,L5,LT50940671988164ASA00,-0.0220930130272,-0.0125271391248,-0.0106740958252,0.527046395422,-1.06977840457,-0.0106740958252,16.4791106658,12.6077688568,3.87134180896,3.79806551156,2369.0
1988,8,24,13,32,588468769.792,L5,LT50930671988237ASA00,-0.0245002601243,-0.0169748823002,-0.0165546686484,0.50881439838,-0.47996076785,-0.0165546686484,11.6209404636,9.42390869008,2.19703177354,2.0805849162,1267.0
1988,9,16,13,38,590456314.336,L5,LT50940661988260ASA00,0.0190972503711,0.0251406348345,0.0237230832547,0.460906244164,0.240383128875,0.0251406348345,13.2698207178,5.59759543888,7.67222527891,7.19472668618,495.0
1988,9,16,13,38,590456338.145,L5,LT50940671988260ASA00,0.0199399302719,0.0260875701068,0.0252063271049,0.476108907225,0.235653984244,0.0260875701068,13.307626406,5.64837672035,7.65924968569,7.18543557331,492.0
1988,9,25,13,32,591233563.364,L5,LT50930671988269ASA00,-0.00252961924596,0.0088543774486,0.017952321866,0.57403224437,1.14090763662,0.017952321866,16.3622063414,13.2245020088,3.13770433263,3.08495669069,1743.0
1988,10,27,13,32,593998356.457,L5,LT50930671988301ASA00,-0.0106669303291,-0.000774937320784,0.000318343620876,0.516587068389,34.5075988006,0.000318343620876,22.0689425254,22.808815472,-0.739872946632,-0.775228713169,2730.0
1988,12,30,13,32,599527942.231,L5,LT50930671988365ASA00,0.736653552741,0.812638056189,0.321052314023,0.192428365637,0.604925819585,0.812638056189,-49.9431143345,-36.1608816983,-13.7822326363,-6.96091210425,77.0
1989,1,15,13,32,600910330.459,L5,LT50930671989015ASA00,-0.0110725783049,-0.000295420553235,0.00484635780287,0.553832935414,3.28472158996,0.00484635780287,20.3826157424,19.9429431829,0.439672559543,0.45224289893,2830.0
1989,1,22,13,37,601515467.859,L5,LT50940661989022ASA00,-0.0168224596977,-0.00857035370196,-0.0117913133529,0.434946714357,-0.962866444338,-0.00857035370196,12.9524445825,12.2010847945,0.751359788021,0.724621439815,2626.0
1989,1,22,13,38,601515491.536,L5,LT50940671989022ASA00,-0.0176242635129,-0.0095733181783,-0.0129005710731,0.431120865179,-0.840977515282,-0.0095733181783,13.0221760314,12.250012897,0.772163134361,0.745072701268,2652.0
