"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1989,4,5,16,3,607831386.281,L4,LT41170661989096XXX02,0.15263390633,0.269256186863,0.248066228347,0.469717109488,0.433127579692,0.269256186863,13.042676483,2.90588302986,10.1367934531,9.38043415706,155.0
1994,4,11,15,50,766115406.294,L5,LT51170661994102DKI00,0.130295193566,0.165557853484,0.167099560179,0.506981538866,0.220254120199,0.167099560179,16.0712169388,9.95501528077,6.11620165803,5.92113449845,12.0
1994,5,29,15,49,770262555.011,L5,LT51170661994150DKI00,0.0984749790898,0.195174203539,0.169872635342,0.456391294171,0.495450846965,0.195174203539,26.2989702238,15.9416484485,10.3573217753,10.736827817,654.0
1994,7,16,15,48,774409684.971,L5,LT51170661994198DKI00,0.115318316725,0.199240590025,0.1772595732,0.456346477996,0.42121072463,0.199240590025,26.6374071612,15.3213576459,11.3160495153,11.7171729564,644.0
1994,8,1,15,47,775792057.319,L5,LT51170661994214DKI00,0.122297823029,0.24578679543,0.214208156347,0.457379947281,0.502423135405,0.24578679543,23.9770288737,12.1641965132,11.8128323605,11.941447013,547.0
1994,11,5,15,44,784086293.295,L5,LT51170661994310DKI00,0.16624911367,0.265128397689,0.2095025681,0.406239495056,0.372948672724,0.265128397689,28.2953629089,18.0604267575,10.2349361513,10.7874197082,506.0
1994,12,23,15,43,788233400.996,L5,LT51170661994358DKI00,0.0814709420911,0.175908062227,0.166983064582,0.484248782626,0.536854985156,0.175908062227,24.7036420936,17.012477445,7.6911646486,7.95606463465,536.0
1995,2,25,15,40,793762854.804,L5,LT51170661995057DKI00,0.102640784381,0.144469010653,0.156811870999,0.537974933115,0.345452715242,0.156811870999,13.1477500114,12.7735217231,0.374228288349,0.362128141323,298.0
1996,6,19,15,43,835234983.162,L5,LT51170661996172DKI00,0.0739448972624,0.171160271317,0.152955624552,0.468789835725,0.567978616222,0.171160271317,24.1400453621,15.4529455328,8.68709982928,8.90844358065,684.0
1997,1,13,15,53,853206817.191,L5,LT51170661997014DKI00,0.170353818824,0.258844309462,0.265347985688,0.511410658921,0.357998447276,0.265347985688,7.9007467505,4.9797180913,2.92102865919,2.66507189617,269.0
1997,3,18,15,56,858736578.575,L5,LT51170661997078DKI00,0.105511495624,0.162453636008,0.174306593328,0.52871560551,0.3946786888,0.174306593328,18.1368081582,14.515096876,3.62171128216,3.60780627513,551.0
1997,5,5,15,58,862883881.922,L5,LT51170661997126DKI00,0.0356970978832,0.112561841647,0.123443479426,0.520668730318,0.710822328979,0.123443479426,24.3125503827,16.7849516332,7.52759874945,7.76722640712,618.0
1997,5,21,15,58,864266315.259,L5,LT51170661997142DKI00,0.0779367697184,0.149996273221,0.154083625013,0.508946203963,0.494191743529,0.154083625013,25.3364230555,16.7536968154,8.58272624007,8.89183857104,506.0
1997,6,6,15,59,865648749.041,L5,LT51170661997158DKI00,0.0478641845134,0.121300208659,0.120537663654,0.498269366627,0.605407236784,0.121300208659,22.4059341743,15.6061564645,6.79977770975,6.92769272488,655.0
1997,7,24,16,0,869796047.294,L5,LT51170661997206DKI00,0.190905978292,0.254523460059,0.243109564307,0.470097591011,0.249947418411,0.254523460059,21.1910366074,11.7466070691,9.44442953822,9.41945078677,334.0
1997,9,10,16,2,873943336.487,L5,LT51170661997254DKI00,0.133942590467,0.201683119054,0.168615728627,0.418642032286,0.335876046071,0.201683119054,25.4899782139,16.1777761325,9.31220208145,9.63096708136,508.0
1997,9,26,16,2,875325764.083,L5,LT51170661997270DKI01,0.189954470753,0.267585842497,0.236499241378,0.433260226244,0.290117634846,0.267585842497,26.8222058484,20.7789266447,6.04327920367,6.40129756378,469.0
