"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1989,1,21,15,22,601435325.318,L4,LT41110581989022XXX02,0.106236885376,0.1186306748,0.100423352171,0.280117260845,0.153479044603,0.1186306748,28.675259936,25.6369367569,3.03832317906,3.30401762056,2.0
1995,9,11,14,51,810867109.288,L5,LT51110581995255DKI00,-0.318706465141,-0.355496124799,-0.399568284596,0.0908384206006,-0.253718792368,-0.318706465141,20.1222887083,19.2998441798,0.82244452848,0.842821902612,7.0
1997,7,30,15,20,870312042.646,L5,LT51110581997212DKI00,0.112543108761,0.120788851112,0.117359600254,0.430686433631,0.0682657569369,0.120788851112,29.808014141,25.4043013649,4.40371277603,4.80541386812,3.0
1997,8,15,15,21,871694473.483,L5,LT51110581997228DKI00,0.085051539408,0.0922331110299,0.0953633862027,0.550593510472,0.108132137556,0.0953633862027,22.4894871911,22.9129458864,-0.423458695352,-0.444630212465,3.0
2001,5,14,15,39,989890775.262,L7,LE71110582001135DKI01,0.0641389084555,0.0664559498616,0.0758093777731,0.633576860493,0.15394492951,0.0758093777731,21.8490308187,20.492701584,1.35632923478,1.40664350502,21.0
2001,8,18,15,38,998185111.988,L7,LE71110582001231DKI00,0.0575811820499,0.0574688527381,0.0588400979611,0.680319623592,0.0233046046919,0.0588400979611,22.7971672571,23.0491475791,-0.251980321945,-0.265049591859,5.0
2002,7,20,15,38,1027215480.121,L7,LE71110582002202DKI00,0.0737218983366,0.0736498115043,0.0764686367072,0.670928893371,0.0368625010754,0.0764686367072,31.5186438516,25.282022047,6.23662180465,6.84698591519,3.0
2003,4,18,15,38,1050716307.287,L7,LE71110582003109DKI00,0.058448275803,0.0611505483571,0.0499049945762,0.206716162475,0.183899475688,0.0611505483571,28.5421892606,30.4527581306,-1.91056887007,-2.11512897061,1.0
2005,2,18,15,39,1108777160.632,L7,LE71110582005050EDC00,0.0914675200183,0.0889271660795,0.0875429298447,0.0587847466687,0.0429069266641,0.0914675200183,28.5421892606,26.1367715647,2.40541769588,2.6194692289,1.0
2011,8,14,15,43,1313372587.094,L7,LE71110582011227EDC00,0.122821455216,0.136524240923,0.144110792129,0.559392418191,0.1477289563,0.144110792129,28.2911025177,23.4784681963,4.81263432144,5.18210387243,2.0
2012,2,22,15,43,1329961431.033,L7,LE71110582012054EDC00,0.17491764383,0.189925886848,0.208395405197,0.591949190524,0.160645391078,0.208395405197,26.7234738731,21.2530681159,5.47040575716,5.8031378949,7.0
2014,6,3,15,47,1401846426.735,L7,LE71110582014155EDC00,0.0608758187789,0.0581476001099,0.0579938770611,0.00889001605133,0.0473413216548,0.0608758187789,25.4966313306,22.795114732,2.70151659861,2.86943541357,3.0
2014,6,27,15,49,1403920166.244,L8,LC81110582014179LGN00,0.055934736169,0.0526542118936,0.0526496302753,0.000232443969932,0.0587310519134,0.055934736169,23.3821717738,21.8134636517,1.5687081221,1.63477757345,3.0
2014,7,13,15,49,1405302574.837,L8,LC81110582014195LGN01,0.0752322255944,0.0790080131093,0.0832480319667,0.588159540879,0.0962882386879,0.0832480319667,23.173388456,17.340626325,5.832762131,5.95294641458,5.0
