year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1987,9,12,15,25,558494752.85,L5,LT51120661987256ASA00,0.0170890324341,0.0218887280026,0.0218990135433,0.500356395743,0.219643734168,0.0218990135433,19.3806796962,20.6116548268,-1.2309751306,-1.26599597081,69.0
1987,10,14,15,26,561259592.719,L5,LT51120661987288ASA00,0.0354268174339,0.0425659773536,0.0441740512314,0.53063966497,0.198017468482,0.0441740512314,20.2628091571,20.048451951,0.214357206121,0.220744195772,70.0
1987,10,30,15,26,562642008.894,L5,LT51120661987304ASA00,0.0242602364789,0.0288845806516,0.0263412682612,0.408336105063,0.160097327655,0.0288845806516,23.1664069644,25.6811186845,-2.51471172011,-2.68007163072,74.0
1988,1,2,15,27,568171675.596,L5,LT51120661988003ASA00,-0.0054497077892,-0.00400648062101,-0.00450190668628,0.442787239114,-0.360223174577,-0.00400648062101,20.0522535377,19.5979672586,0.454286279106,0.466554737236,83.0
1988,2,19,15,28,572318925.994,L5,LT51120661988051ASA00,0.0714815313949,0.0772237535525,0.0901098255251,0.615291214917,0.20672877815,0.0901098255251,12.671105865,11.6524083195,1.01869754554,0.980157566836,2.0
1988,3,6,15,28,573701335.955,L5,LT51120661988067ASA00,0.0392718247807,0.0479128263749,0.0505810757993,0.539322518943,0.223586605067,0.0505810757993,19.2926174011,15.3604308736,3.93218652749,3.95535487624,32.0
1988,8,29,15,29,588907792.689,L5,LT51120661988243ASA00,0.0483544240495,0.0552483313446,0.0549690180869,0.493247340352,0.124780371232,0.0552483313446,15.0018673378,14.7227472051,0.279120132702,0.274945751874,1.0
1988,9,30,15,29,591672583.487,L5,LT51120661988275ASA00,0.0167670349645,0.021549630192,0.0227927448478,0.534383629477,0.26436964585,0.0227927448478,20.4875954119,21.7523600561,-1.26476464418,-1.31273959538,66.0
1988,10,16,15,29,593054978.722,L5,LT51120661988291ASA00,0.0239318322782,0.0307566131709,0.0350924322085,0.564748894394,0.318034380292,0.0350924322085,18.6157704495,15.2093298529,3.40644059657,3.41458874678,63.0
1988,11,17,15,29,595819779.711,L5,LT51120661988323ASA00,0.0369491060153,0.0477774301466,0.0434046970857,0.432696063154,0.226640991323,0.0477774301466,10.0509743544,8.33436907657,1.71660527788,1.60844820022,2.0
1988,12,27,15,31,599275866.495,L4,LT41120661988363XXX02,0.0434380913514,0.0539717203723,0.0528335944369,0.481992183745,0.19516941369,0.0539717203723,12.9063209321,14.6599990566,-1.75367812449,-1.71142369916,2.0
1989,1,20,15,29,601349343.857,L5,LT51120661989021ASA00,0.0116438964343,0.0166446093407,0.0178678460555,0.532756175452,0.348332395628,0.0178678460555,20.039891943,20.215590954,-0.175699011001,-0.1808927835,72.0
1989,2,5,15,29,602731746.99,L5,LT51120661989037ASA00,0.0236362811252,0.0329328178643,0.0325107534982,0.492433304682,0.282287922566,0.0329328178643,13.4220959272,12.9200992222,0.501996705037,0.487298533822,20.0
1989,4,10,15,28,608261293.594,L5,LT51120661989101ASA00,0.00471169543547,0.0114346458794,0.00845865943465,0.426223204391,0.58794566223,0.0114346458794,18.7372363576,19.6754684687,-0.938232111106,-0.958667830254,67.0
1989,5,12,15,27,611026059.186,L5,LT51120661989133ASA00,0.00700743341184,0.0129458490363,0.0107772500337,0.43913643134,0.458711947576,0.0129458490363,19.8861897276,21.3182751719,-1.43208544429,-1.48015232381,72.0
1989,9,1,15,25,620702725.552,L5,LT51120661989245ASA00,0.01509322173,0.0188580479847,0.0216927322658,0.571588245464,0.304226800705,0.0216927322658,18.4579354108,19.6284217864,-1.17048637561,-1.19436755196,70.0
1989,9,17,15,24,622085092.808,L5,LT51120661989261ASA00,0.0168732912038,0.0229500373606,0.02498210154,0.541766590805,0.324584796168,0.02498210154,19.1806822819,20.3555060343,-1.17482375241,-1.2059852104,69.0
1989,10,3,15,24,623467483.987,L5,LT51120661989277ASA00,0.0171014983641,0.0218833490505,0.0238034353238,0.547749535814,0.281553350116,0.0238034353238,21.1914315313,22.5784916566,-1.38706012529,-1.44862037329,69.0
1989,11,4,15,23,626232224.112,L5,LT51120661989309ASA00,0.0480365503379,0.052229850781,0.0567548082276,0.586503471677,0.153612674624,0.0567548082276,17.5129937605,17.623677861,-0.110684100555,-0.111562898397,24.0
1990,3,28,15,19,638673552.088,L5,LT51120661990088ASA00,0.0097306784419,0.0130604476269,0.0125770386394,0.475803678839,0.254950617326,0.0130604476269,19.3419965387,20.4104631571,-1.06846661838,-1.09778248133,69.0
1990,7,2,15,19,646967953.968,L5,LT51120661990184ASA00,0.0193257818821,0.025189522154,0.0259411694257,0.518936841487,0.255015008578,0.0259411694257,15.9481464295,15.9711899388,-0.0230435092293,-0.0229129208838,34.0
1990,7,18,15,19,648350349.098,L5,LT51120661990200ASA00,0.0128425696708,0.0212240050797,0.0168557454974,0.413136207798,0.394903571565,0.0212240050797,16.6502811825,16.981554846,-0.331273663453,-0.331796064419,72.0
1990,8,3,15,19,649732745.088,L5,LT51120661990216ASA00,0.0014508886846,0.00548643599365,0.0126200258717,0.606447940107,0.885032828035,0.0126200258717,14.5539414924,10.210506017,4.34343547549,4.1872187055,64.0
1990,9,20,15,18,653879931.752,L5,LT51120661990264ASA00,0.0158798214568,0.0181698333482,0.0216153228859,0.600121717932,0.265344240259,0.0216153228859,19.3850407331,21.0357880382,-1.65074730512,-1.70069512584,68.0
1990,10,22,15,18,656644717.336,L5,LT51120661990296ASA00,0.0237875624186,0.0275371438561,0.027425483373,0.49503675788,0.136164500469,0.0275371438561,20.086052157,21.3432385229,-1.25718636588,-1.30057539236,70.0
1991,2,27,15,20,667704007.109,L5,LT51120661991059ASA00,0.031375423547,0.0382932256267,0.038245429623,0.498848478095,0.180653417581,0.0382932256267,13.427294873,12.0936110746,1.33368379835,1.28999361297,36.0
1991,4,16,15,21,671851261.745,L5,LT51120661991107ASA00,-0.00833400710747,-0.00378194768771,-0.0107401225742,0.275700512803,-1.83983900917,-0.00378194768771,13.6424353967,13.8440584931,-0.201623096429,-0.196696960055,42.0
1991,5,2,15,21,673233679.395,L5,LT51120661991123ASA00,0.00357947576516,0.00602003565901,0.00537143033746,0.455706521607,0.405406218849,0.00602003565901,19.0094542722,19.3166082431,-0.307153970968,-0.313731794198,66.0
1991,5,18,15,21,674616093.903,L5,LT51120661991139ASA00,-0.45903871779,-0.505327689836,-0.573357990607,0.099181731851,-0.249040589358,-0.45903871779,16.6235389414,16.2896235413,0.333915400046,0.333426985001,26.0
1991,6,3,15,21,675998510.552,L5,LT51120661991155ASA00,0.00893918339167,0.0115863054712,0.0118366806998,0.514401809676,0.244789682315,0.0118366806998,18.4632869687,19.5531341523,-1.08984718358,-1.11176123924,67.0
1991,6,19,15,22,677380921.716,L5,LT51120661991171ASA00,0.00266576733575,0.00415148415754,0.0042103447126,0.506351311794,0.366852949648,0.0042103447126,16.7609693731,16.4881792469,0.272790126181,0.272778791083,69.0
1991,7,5,15,22,678763337.67,L5,LT51120661991187ASA00,0.0264432932227,0.0322716932154,0.0369261327666,0.574000934762,0.28388674249,0.0369261327666,15.2835481385,14.1167178552,1.16683028326,1.14777733275,36.0
1991,7,21,15,22,680145750.075,L5,LT51120661991203ASA00,-0.0235396283838,-0.0205820866107,-0.0260233361677,0.257256819477,-0.264368217853,-0.0205820866107,16.7175529631,16.8685127323,-0.150959769174,-0.151168606267,51.0
