year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,7,1,15,16,457578986.371,L5,LT51120381984184HAJ00,0.00279793451533,0.0157340468291,0.0208554745074,0.547269521767,0.865841723508,0.0208554745074,16.1802962807,16.1387683841,0.0415278965536,0.0413100791667,386.0
1984,7,17,15,16,458961403.544,L5,LT51120381984200HAJ00,0.093290686008,0.11160559099,0.0953763925139,0.352313379985,0.164103830459,0.11160559099,18.3948499989,20.1182100494,-1.72336005046,-1.75944289777,8.0
1984,10,21,15,17,467255878.228,L5,LT51120381984296HAJ00,-0.007530353941,0.000182509566107,-0.00270613119569,0.437579586813,42.2600506463,0.000182509566107,11.5838782999,12.7153049215,-1.13142662158,-1.0870666977,721.0
1984,11,6,15,17,468638271.106,L5,LT51120381984312HAJ00,0.00547657958383,0.0138894257365,0.0132496779104,0.48732597319,0.605701510796,0.0138894257365,11.2851812671,13.6257582033,-2.34057693619,-2.25487643714,626.0
1985,1,25,15,18,475550298.674,L5,LT51120381985026HAJ00,-0.0411300148766,-0.0403476499165,-0.0618814382191,0.172721995073,-0.533706135232,-0.0403476499165,-3.26100808717,-0.93131970167,-2.3296883855,-1.95699259393,239.0
1985,3,14,15,18,479697500.795,L5,LT51120381985074HAJ00,0.0779477873217,0.0967027329645,0.0956634348188,0.490764230357,0.19394431851,0.0967027329645,2.46106266777,2.34309995478,0.117962712989,0.103586211415,1.0
1985,5,1,15,18,483844685.824,L5,LT51120381985122HAJ00,-0.0137241789217,-0.00106362804926,-0.00990706377672,0.383582794349,-11.9031750632,-0.00106362804926,13.8450859888,14.8377974039,-0.992711415121,-0.972225420471,38.0
1985,5,17,15,18,485227082.346,L5,LT51120381985138HAJ00,-0.00468845888464,0.0091780493359,0.00727814250097,0.477164320381,1.51083391612,0.0091780493359,13.2921743436,10.4809563804,2.81121796322,2.69472900723,418.0
1985,8,5,15,17,492139060.515,L5,LT51120381985218HAJ00,-0.00287524367023,0.0119458442597,0.0202338786668,0.559774622667,1.14210047009,0.0202338786668,16.9289998152,15.0583828603,1.8706169549,1.85817905184,167.0
1985,9,6,15,17,494903838.651,L5,LT51120381985250HAJ00,0.738665806886,0.804974608417,0.345159216328,0.19070124035,0.57121726236,0.804974608417,5.09095508295,4.78626808687,0.30468699608,0.274107688334,195.0
