year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,12,30,23,2,473331760.474,L5,LT51860561984366XXX01,-0.00128137436348,-0.00521785673112,-0.0339798815009,0.146602130024,-25.5183091447,-0.00128137436348,20.1233162819,22.3209187945,-2.19760251255,-2.2800727958,430.0
1987,1,5,22,51,536921513.192,L5,LT51860561987006XXX03,0.0100208489129,-5.94433346854e-05,-0.0390722447327,0.132444975117,4.89909528346,0.0100208489129,14.4969797641,16.1955643234,-1.69858455923,-1.67798301689,455.0
1987,1,21,22,52,538303940.467,L5,LT51860561987022XXX03,0.0506911464961,0.0295943254171,-0.0231850914297,0.119071703182,1.45737950377,0.0506911464961,22.0047225385,27.4713202222,-5.46659768373,-5.83357438091,629.0
1988,2,1,22,56,570790599.688,L4,LT41860561988033XXX03,0.011201965359,0.0138198966961,-6.51552692209e-05,0.198090523819,1.00471459886,0.0138198966961,24.708323523,29.9608548346,-5.25253131161,-5.71968245143,574.0
1998,11,3,23,11,910170680.762,L5,LT51860561998308XXX02,-0.0333113979176,-0.0307117630832,-0.0457219355759,0.19553192272,-0.48874343202,-0.0307117630832,17.4878475939,16.7217678133,0.766079780596,0.768187695997,151.0
1999,9,11,23,25,937128317.782,L7,LE71860561999255EDC00,0.00375407414539,0.00215044419131,-0.00446998738465,0.13416792404,2.19070300999,0.00375407414539,21.4247097138,23.291395904,-1.8666861902,-1.95461521162,543.0
1999,11,14,23,25,942657919.461,L7,LE71860561999319EDC01,-0.0172402491174,-0.0199393224195,-0.0342704154631,0.140252036227,-0.987814400461,-0.0172402491174,19.2744486962,21.9981817101,-2.72373301384,-2.81248527388,446.0
2000,4,6,23,24,955099491.463,L7,LE71860562000098EDC00,0.0191331188052,0.022675650071,0.016699298749,0.265459700379,0.263558103221,0.022675650071,20.883882819,25.9450728625,-5.06119004345,-5.34459592593,495.0
2000,9,13,23,23,968923382.833,L7,LE71860562000258SGS00,-0.0118554544857,-0.0118714513639,-0.0205551899877,0.166360203743,-0.733817122961,-0.0118554544857,19.5279160421,21.2785473669,-1.75063132484,-1.80423386642,439.0
2000,12,2,23,22,975835366.47,L7,LE71860562000338AGS00,-0.0333059678921,-0.0369144832905,-0.0590087007631,0.143267628281,-0.771715536215,-0.0333059678921,17.4765028871,20.2068044786,-2.73030159155,-2.77789577038,232.0
2001,2,4,23,22,981364971.166,L7,LE71860562001036SGS00,0.0113209673383,0.0124836805415,-0.000111305092209,0.182052594011,1.00891604778,0.0124836805415,21.4810389445,31.8229295273,-10.3418905829,-11.2021591414,219.0
2001,8,15,23,21,997953675.913,L7,LE71860562001228EDC00,-0.0713862643298,-0.0714097665808,-0.0919204897601,0.166475909929,-0.287649530664,-0.0713862643298,19.1763371138,19.8337649153,-0.657427801487,-0.67257296714,1.0
2001,10,18,23,20,1003483243.887,L7,LE71860562001292EDC00,-0.0297395460205,-0.031265657112,-0.0480538042446,0.15277847936,-0.615821714682,-0.0297395460205,18.6346698007,20.3122000479,-1.67753024717,-1.71572666214,25.0
2002,3,11,23,21,1015924880.622,L7,LE71860562002071EDC00,0.0282087560039,0.0295290413215,0.0235869500545,0.203698671571,0.201228722676,0.0295290413215,22.5403628911,29.3125592217,-6.77219633053,-7.29442081416,404.0
2002,6,15,23,20,1024219256.814,L7,LE71860562002167EDC00,-0.0293425497627,-0.030017878962,-0.0461414655506,0.159966539826,-0.572510430205,-0.0293425497627,19.8052220561,20.9991113031,-1.19388924694,-1.23043468399,6.0
2002,11,6,23,20,1036660819.194,L7,LE71860562002311SGS00,-0.0191176114109,-0.0230438703391,-0.0427589865197,0.138987376227,-1.23662808081,-0.0191176114109,20.0977156773,21.5572823962,-1.45956671892,-1.50948282818,435.0
2002,12,8,23,20,1039425640.854,L7,LE71860562002343SGS00,-0.0163640133611,-0.0179843301699,-0.0331874900094,0.150614526725,-1.02807766512,-0.0163640133611,21.1559895238,25.4270466671,-4.27105714335,-4.50580678251,492.0
2003,1,9,23,20,1042190447.599,L7,LE71860562003010EDC00,-0.0154724574636,-0.032743639682,-0.0686873824452,0.112574128328,-3.4393324465,-0.0154724574636,20.8407201083,26.3930087061,-5.55228859773,-5.87264462637,508.0
2003,5,17,23,21,1053249667.247,L7,LE71860562003138EDC00,-0.0437858124742,-0.0449312302855,-0.0654240679742,0.15784419165,-0.49418417239,-0.0437858124742,21.7376627998,22.289182195,-0.551519395252,-0.575896949132,276.0
2003,11,25,23,21,1069838466.61,L7,LE71860562003330EDC02,-0.0125508654576,-0.0416286100272,-0.0854990883153,0.100232001479,-5.81220658484,-0.0125508654576,20.5397832678,24.1383090598,-3.59852579198,-3.76744583443,67.0
2003,12,27,23,21,1072603279.822,L7,LE71860562003362EDC01,0.00342530377493,-0.0378231064251,-0.0883564656929,0.0917636105019,26.7952203654,0.00342530377493,18.5782918235,23.2416291517,-4.66333732817,-4.82604017099,389.0
2004,2,13,23,21,1076750493.077,L7,LE71860562004045ASN01,0.0570427854157,0.0125009857995,-0.0351698963518,0.0861611100873,1.61655292769,0.0570427854157,22.222757672,31.6577269012,-9.43496922921,-10.2426786539,389.0
2004,2,29,23,21,1078132895.025,L7,LE71860562004061ASN07,0.0616106015882,0.0267663464477,-0.00704664398719,0.0820816267618,1.11437388705,0.0616106015882,20.9784686896,32.4377873413,-11.4593186517,-12.4178382138,294.0
2004,5,3,23,21,1083662496.772,L7,LE71860562004125EDC03,0.0323656122647,-0.032016982227,-0.083133274986,0.0737615948455,3.5685679698,0.0323656122647,21.8392382968,18.3591485924,3.48008970444,3.57770798028,177.0
