"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1984,11,28,23,2,470566940.198,L5,LT51860561984334XXX02,-0.0319433338487,-0.02783981445,-0.0367577130513,0.243357368183,-0.320328952529,-0.02783981445,14.7757870723,16.0996816557,-1.32389458346,-1.308862777,2259.0
1984,12,30,23,2,473331760.474,L5,LT51860561984366XXX01,-0.0190079487968,-0.0144898512493,-0.0231141132546,0.25398037043,-0.595193274029,-0.0144898512493,14.6880386392,16.7903212656,-2.10228262647,-2.08377582986,2275.0
1986,1,18,22,59,506509183.924,L5,LT51860561986019XXX03,-0.023195348977,-0.0186630613773,-0.0250655254448,0.284649564913,-0.343055404364,-0.0186630613773,13.59639092,12.7708337139,0.825557206087,0.800423662583,2376.0
1986,8,30,22,53,525862408.332,L5,LT51860561986243AAA03,-0.0235398049251,-0.00696697501387,-0.0255901518909,0.314983913331,-2.67306497295,-0.00696697501387,11.1608203922,8.24755820866,2.91326218356,2.73863915626,14.0
1986,10,1,22,52,528627147.266,L5,LT51860561986275AAA03,0.00114173528128,0.00839888037991,0.00539557818687,0.431026545742,0.864061014131,0.00839888037991,11.0956368133,6.47102623048,4.62461058284,4.31128793757,77.0
1986,12,20,22,51,535539084.619,L5,LT51860561986355XXX03,-0.0428694912086,-0.0390235272243,-0.0519225624142,0.216359840455,-0.330545086707,-0.0390235272243,14.5438620945,15.2364248658,-0.692562771313,-0.681488762914,2248.0
1987,1,5,22,51,536921513.192,L5,LT51860561987006XXX03,-0.00736867684492,0.000962616511819,-0.0110593475152,0.282167668805,12.4888404462,0.000962616511819,7.31995337664,8.50320262924,-1.18324925259,-1.09433439053,75.0
1987,1,21,22,52,538303940.467,L5,LT51860561987022XXX03,-0.0174406957465,-0.0110571971071,-0.0177699023812,0.32515961347,-0.607089229676,-0.0110571971071,15.5899811099,18.1643559558,-2.57437484588,-2.57649870741,2313.0
1987,2,6,22,52,539686375.108,L5,LT51860561987038XXX04,-0.0132074343866,-0.00598621723053,-0.0112079328932,0.379482097689,-1.2063072351,-0.00598621723053,14.8319700038,18.7635354957,-3.93156549191,-3.93216129771,2294.0
1988,2,1,22,56,570790599.688,L4,LT41860561988033XXX03,-0.0179761298661,-0.0130043354773,-0.0170595026785,0.364060910941,-0.382318219757,-0.0130043354773,17.8122609281,21.4057584703,-3.59349754226,-3.67942478489,2338.0
1998,11,3,23,11,910170680.762,L5,LT51860561998308XXX02,-0.0230212216854,-0.0155520666034,-0.0156724343312,0.497314115485,-0.480267688689,-0.0155520666034,14.2221506705,13.9155730574,0.306577613121,0.299543221608,1826.0
1999,9,11,23,25,937128317.782,L7,LE71860561999255EDC00,-0.00708917106727,-0.00083015982997,0.00326452483482,0.565913413972,3.17157823143,0.00326452483482,16.0855991617,18.4298520237,-2.34425286197,-2.35373260583,2311.0
2000,4,6,23,24,955099491.463,L7,LE71860562000098EDC00,0.0130723185046,0.0189043373236,0.0190202052146,0.503246752351,0.312714118637,0.0190202052146,10.7383684832,14.6524768171,-3.91410833387,-3.77874757567,120.0
2000,7,11,23,23,963393835.036,L7,LE71860562000194EDC00,0.00672798344725,0.0134917705611,0.0184269224705,0.570307684877,0.634882956826,0.0184269224705,15.0545821226,12.181795225,2.87278689761,2.79590093162,135.0
2000,8,28,23,23,967541001.251,L7,LE71860562000242EDC01,-0.00579725344553,0.00240142541099,0.00759614191103,0.564642763115,1.76318393119,0.00759614191103,15.1488156324,14.1082211254,1.04059450701,1.0216501658,1089.0
2000,12,2,23,22,975835366.47,L7,LE71860562000338AGS00,-0.0329258503221,-0.0301660539724,-0.0351087843853,0.259725769603,-0.163850744861,-0.0301660539724,15.2656082936,17.1462835428,-1.8806752492,-1.87154834811,2206.0
2001,2,4,23,22,981364971.166,L7,LE71860562001036SGS00,-0.00562497937913,-0.00130638460037,-0.00288250554963,0.439173078667,-3.30576062942,-0.00130638460037,15.8096147285,21.1972239065,-5.38760917794,-5.46610206395,2280.0
2001,5,27,23,22,991041733.541,L7,LE71860562001148SGS00,0.0130540947947,0.0196340780394,0.0234968810112,0.561650260951,0.444432867984,0.0234968810112,12.7224726427,9.63924707446,3.08322556823,2.93702000009,45.0
2001,7,30,23,21,996571295.388,L7,LE71860562001212EDC00,-0.00829331026848,-0.00330817130206,0.000783642045784,0.575131923987,11.5830338138,0.000783642045784,12.9718806196,12.0033557739,0.968524845741,0.93332657225,1676.0
2001,11,3,23,20,1004865648.612,L7,LE71860562001308SGS00,-0.0191081138513,-0.0152805576427,-0.0176703861663,0.395937582045,-0.250485374824,-0.0152805576427,13.3206489946,14.7578902169,-1.43724122236,-1.40390322472,897.0
2002,3,11,23,21,1015924880.622,L7,LE71860562002071EDC00,0.012818196943,0.0179872248273,0.0149781112469,0.402976160839,0.287372172971,0.0179872248273,10.7771042881,14.5579438844,-3.78083959628,-3.64919425147,56.0
2002,5,30,23,21,1022836863.037,L7,LE71860562002151SGS00,-0.0230622501958,-0.0165173873394,-0.0155957927446,0.520571884342,-0.478748183793,-0.0155957927446,17.145812929,19.5822894253,-2.43647649629,-2.46911684271,1541.0
2002,9,3,23,20,1031131225.578,L7,LE71860562002247EDC07,0.00173487078159,0.00813111075057,0.0147408224684,0.584701115779,0.88230841357,0.0147408224684,14.8244775173,14.1304533655,0.694024151825,0.680501527123,1421.0
2002,11,6,23,20,1036660819.194,L7,LE71860562002311SGS00,-0.0215321062846,-0.0170891113251,-0.0197265199446,0.401064910661,-0.259989818952,-0.0170891113251,14.0260732388,16.3583892706,-2.33231603184,-2.30098578604,2058.0
2002,12,8,23,20,1039425640.854,L7,LE71860562002343SGS00,-0.017765378305,-0.0132736062672,-0.0150877800062,0.432685299412,-0.338398770262,-0.0132736062672,16.277919195,18.4070135356,-2.12909434058,-2.13923016672,2295.0
