year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,9,3,23,29,463138154.223,L5,LT51920301984248XXX03,-0.0473793279479,-0.0308097441971,-0.0675952269046,0.241739687014,-1.1939561222,-0.0308097441971,20.1222887083,21.2591336357,-1.13684492741,-1.17441238117,1.0
1984,10,21,23,29,467285352.41,L5,LT51920301984296XXX02,-0.00207800253538,0.011704814924,-0.0299222607336,0.221850371189,3.55640613951,0.011704814924,13.7590777586,14.4213005826,-0.662222824065,-0.647147782299,10.0
1985,5,1,23,29,483874159.995,L5,LT51920301985122XXX04,0.0751389425702,0.112727262438,0.0541986878753,0.273703614427,0.519205144318,0.112727262438,18.297867704,21.3181237133,-3.02025600931,-3.09755322039,11.0
1986,10,11,23,18,529492731.1,L5,LT51920301986285XXX01,0.0188850910551,0.0308109334476,0.00331306896188,0.238950112524,0.892470996781,0.0308109334476,17.3803103876,18.9512895035,-1.57097911589,-1.58939373626,8.0
1987,3,4,23,20,541934439.426,L5,LT51920301987064XXX01,0.0588437445434,0.0784501479452,0.0717305236981,0.442878999704,0.249921815513,0.0784501479452,4.32789221315,4.98836020777,-0.66046799462,-0.592610175918,11.0
1987,4,21,23,22,546081739.468,L5,LT51920301987112XXX02,0.0509135800969,0.0833448143905,0.052195998029,0.339923780064,0.38912120125,0.0833448143905,15.7377432782,17.390703529,-1.65296025078,-1.64994933202,11.0
1987,5,7,23,22,547464167.54,L5,LT51920301987128XXX02,0.00573039190631,0.03637950387,0.000338669722677,0.308399938055,0.990690644823,0.03637950387,15.3823835538,17.0944978256,-1.71211427186,-1.70427633954,10.0
1987,6,8,23,23,550229015.835,L5,LT51920301987160XXX02,0.0200778407355,0.0510990805724,0.0138287024211,0.305388270684,0.729374731087,0.0510990805724,20.0417842026,21.8609614244,-1.81917722187,-1.88329232468,11.0
1987,6,24,23,23,551611436.573,L5,LT51920301987176XXX02,0.0440817003192,0.0717578372031,0.0367531249093,0.298440053116,0.487817270673,0.0717578372031,21.9990606776,24.3735158422,-2.37445516458,-2.50286716105,11.0
1987,9,12,23,25,558523558.322,L5,LT51920301987256XXX05,0.0688403733363,0.0720134861571,0.0564578281672,0.200664080158,0.216010345007,0.0720134861571,25.2380092177,26.4166399932,-1.17863077546,-1.26855503109,5.0
1987,9,28,23,26,559905979.343,L5,LT51920301987272XXX02,-0.367414041665,-0.388487718621,-0.505853049289,0.141296075292,-0.376792914602,-0.367414041665,19.6788530348,19.4438381475,0.235014887354,0.240540671247,10.0
1987,10,14,23,26,561288397.311,L5,LT51920301987288XXX03,0.000903697044063,0.00692327009419,-0.00811944848993,0.233360872864,2.17277650293,0.00692327009419,12.9494658554,13.5330889093,-0.583623053993,-0.566140209927,39.0
1990,7,10,23,28,647688518.957,L4,LT41920301990192XXX01,0.0805652322068,0.0995055382511,0.0752879739997,0.297014939568,0.243379058865,0.0995055382511,24.897696101,26.7349458978,-1.83724979679,-1.97725266055,10.0
1990,7,26,23,28,649070897.517,L4,LT41920301990208XXX02,0.0762894880297,0.0991815241918,0.0827026010934,0.380024338437,0.230809481389,0.0991815241918,30.7785711674,32.5597140086,-1.78114284117,-2.00417281429,8.0
1991,7,29,23,15,680865318.038,L4,LT41920301991211AAA02,0.0563347329935,0.0771573328188,0.0568255665416,0.337262025813,0.26987194949,0.0771573328188,30.6022739383,33.4613151282,-2.85904118993,-3.22568864876,13.0
1999,8,20,23,52,935229121.904,L7,LE71920301999233NSG00,0.0611726036522,0.0816607762593,0.0812739833614,0.496853526948,0.250893679262,0.0816607762593,24.6721468665,20.0637538255,4.60839304102,4.82582917989,5.0
1999,9,5,23,52,936611525.106,L7,LE71920301999249NSG00,0.0359364257639,0.0523488048994,0.0422314140006,0.397258538659,0.31351965278,0.0523488048994,24.0329335684,26.4669254086,-2.43399184017,-2.60788163552,6.0
1999,9,21,23,52,937993925.703,L7,LE71920301999265FUI00,0.0321389586952,0.0490049542342,0.0414689560006,0.425530651144,0.344169192741,0.0490049542342,19.4462567309,20.5656898727,-1.11943314184,-1.14995593228,8.0
1999,10,7,23,52,939376332.157,L7,LE71920301999281NSG00,0.029343019595,0.0503892862144,0.0380144683435,0.402003063895,0.417673442124,0.0503892862144,18.9304266094,20.1684261477,-1.23799953829,-1.26698293427,11.0
2000,3,15,23,51,953200304.13,L7,LE71920302000076NSG00,-0.472959344611,-0.506553376826,-0.60416304921,0.123992525824,-0.277410111659,-0.472959344611,14.4514096045,16.9273426697,-2.47593306524,-2.45309255656,7.0
2000,3,31,23,51,954582700.472,L7,LE71920302000092FUI00,-0.0246115680567,0.00853989181586,0.00439305685065,0.479152074644,3.88195314266,0.00853989181586,10.8496977541,11.2319192663,-0.382221512194,-0.363643163228,8.0
2000,6,3,23,51,960112262.187,L7,LE71920302000156FUI00,-0.00666530934322,0.0060319368412,-0.00431563715449,0.364175614074,2.10500317207,0.0060319368412,25.1108169853,29.2345585893,-4.12374160398,-4.48491571006,4.0
2000,7,5,23,50,962877044.925,L7,LE71920302000188FUI00,0.0270080463725,0.0390387000759,0.0294858841127,0.367660059617,0.308172497548,0.0390387000759,28.1653783925,32.6710908562,-4.50571246364,-5.02279554558,4.0
2000,7,21,23,50,964259428.869,L7,LE71920302000204EDC00,0.0313843952463,0.0470396724412,0.0360669196231,0.383183663018,0.332810080991,0.0470396724412,25.5993170503,28.4168505133,-2.81753346306,-3.06042279088,5.0
2000,8,6,23,50,965641814.889,L7,LE71920302000220NSG02,-0.400197133206,-0.417433130792,-0.485577034815,0.133020970077,-0.213344610754,-0.400197133206,24.7754993019,26.5584421005,-1.78294279861,-1.91657035607,5.0
2000,9,7,23,49,968406593.48,L7,LE71920302000252EDC00,0.0321213350416,0.0491483013645,0.0382023636652,0.392856841595,0.346440585945,0.0491483013645,21.2601161418,23.3582810209,-2.09816487904,-2.19613320531,9.0
2000,9,23,23,49,969788976.803,L7,LE71920302000268NSG00,0.0407599265342,0.0553598264361,0.0468845249048,0.403249319194,0.263727342403,0.0553598264361,21.3191345019,24.8360356817,-3.51690117978,-3.70387085057,10.0
2001,3,18,23,49,984995362.614,L7,LE71920302001078EDC00,-0.037680191538,-0.0343728918256,-0.0417648918047,0.241236014649,-0.215053188325,-0.0343728918256,10.8416341368,6.84015720324,4.00147693358,3.73232681337,9.0
2001,6,6,23,48,991907328.165,L7,LE71920302001158EDC00,0.0146814334949,0.0253865695216,0.0135435672315,0.317320132239,0.466506602243,0.0253865695216,23.7381529137,27.636065793,-3.89791287933,-4.19069630496,5.0
2001,7,24,23,48,996054504.444,L7,LE71920302001206EDC00,0.0426637298419,0.056176700473,0.0530574310726,0.46152746516,0.24054404259,0.056176700473,23.3208082098,25.7794911248,-2.45868291509,-2.61987046608,5.0
2001,8,9,23,48,997436886.571,L7,LE71920302001222NSG02,0.0364841435696,0.0473056674196,0.0390630953725,0.373052813365,0.228757450011,0.0473056674196,29.641314526,33.423877307,-3.78256278104,-4.25187603986,5.0
2001,8,25,23,47,998819275.413,L7,LE71920302001238EDC00,0.0388402709308,0.0531703785637,0.045594304848,0.411886289694,0.269512988623,0.0531703785637,29.9678669874,33.5911875702,-3.62332058273,-4.0803457811,7.0
