"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1984,7,29,15,39,459999545.393,L5,LT51160311984212HAJ00,-0.00794330743008,0.00255520753687,0.00951349808936,0.566433408494,1.83495128243,0.00951349808936,11.1531839004,11.5121636041,-0.358979703761,-0.342875820066,6003.0
1984,8,30,15,39,462764394.701,L5,LT51160311984244HAJ00,0.000915733379506,0.0130199960276,0.0169569406668,0.540904492294,0.945996545161,0.0169569406668,5.427993044,5.84297629783,-0.414983253825,-0.37631527121,2191.0
1984,10,1,15,39,465529198.351,L5,LT51160311984276HAJ00,-0.00159126933247,0.00387064703764,0.00125785735654,0.420272498269,1.41111197094,0.00387064703764,1.27373210984,7.16411630359,-5.89038419375,-5.27075628787,2949.0
1985,3,10,15,40,479353217.282,L5,LT51160311985070HAJ00,0.258931335126,0.279102118857,0.30125918115,0.587243837388,0.140503090603,0.30125918115,-20.2344511245,-18.5663966191,-1.66805450538,-1.16107169355,16.0
1985,4,11,15,40,482118010.573,L5,LT51160311985102HAJ00,-0.0533013316439,-0.0490439980502,-0.0448644668776,0.582564856502,-0.188052268387,-0.0448644668776,-7.42685398323,5.50057397175,-12.927427955,-11.0000936258,807.0
1985,5,13,15,39,484882797.889,L5,LT51160311985134HAJ00,0.0478133321758,0.050096627524,0.0461895983253,0.264067839104,0.0779898646246,0.050096627524,-0.207031070856,10.0315625272,-10.2385935981,-9.22179540165,283.0
1985,10,20,15,38,498706724.916,L5,LT51160311985294HAJ00,0.0389061746597,0.0501805537503,0.067497076975,0.600944250458,0.423587266243,0.067497076975,-4.112711857,-10.810149178,6.69743732097,5.33104182309,775.0
1986,5,16,15,34,516677668.972,L5,LT51160311986137HAJ00,0.452017116222,0.492099826052,0.326496244263,0.207006685682,0.336524365631,0.492099826052,-1.88478485787,-4.12878929003,2.24400443216,1.87057565165,1439.0
1986,8,4,15,31,523589512.995,L5,LT51160311986217HAJ00,0.0012344688508,0.0148314168419,0.0223037909038,0.559109432845,0.944652061341,0.0223037909038,6.96505791674,6.24997988571,0.715078031033,0.654343487911,7558.0
1986,10,7,15,29,529118981.479,L5,LT51160311986281HAJ00,0.00190563778278,0.0130575799868,0.0172392670659,0.545452243148,0.889459466258,0.0172392670659,4.22551736119,8.65762841618,-4.432111055,-4.04943482456,11850.0
1987,5,19,15,33,548472827.955,L5,LT51160311987140HAJ00,-0.00699793765024,-0.0248487598454,-0.0918020020133,0.131584185009,-12.1184366883,-0.00699793765024,-0.865984016591,8.86422865434,-9.73021267093,-8.68855695872,840.0
1987,7,22,15,35,554002510.887,L5,LT51160311987204HAJ00,0.272865951006,0.29602908195,0.177072688763,0.199119918825,0.401840225978,0.29602908195,2.78321458542,1.13007655843,1.65313802699,1.44752474722,1263.0
1987,9,8,15,36,558149793.809,L5,LT51160311987252HAJ00,-0.0091872581104,0.00159484156127,0.00450540014469,0.535427240511,3.03916584884,0.00450540014469,6.45624373991,14.4775907375,-8.02134699757,-7.60259035798,11071.0
1987,10,26,15,37,562297049.147,L5,LT51160311987300HAJ00,0.03199229759,0.044552940992,0.0629180246712,0.598974141233,0.491524125922,0.0629180246712,-2.22759899161,-6.36785609322,4.14025710161,3.4060924434,5663.0
1988,3,2,15,39,573356379.808,L5,LT51160311988063HAJ00,0.27310666649,0.309916395108,0.355985504734,0.592643491394,0.23281520495,0.355985504734,-29.3381973283,-23.0517028836,-6.28649444479,-4.02435408171,496.0
1988,3,18,15,39,574738788.975,L5,LT51160311988079HAJ00,-0.0637742304619,-0.0503299664735,-0.0173432518444,0.618407708285,-2.67717836505,-0.0173432518444,-23.4264030521,-16.0825628697,-7.34384018236,-5.09047583253,1495.0
1988,7,8,15,40,584415632.1,L5,LT51160311988191HAJ00,0.0210633937362,0.0327900496883,0.0401572981818,0.56430715899,0.47547781624,0.0401572981818,3.38702856415,12.8484292622,-9.46140069808,-8.77898462194,5118.0
1988,7,24,15,40,585798035.354,L5,LT51160311988207HAJ00,0.0563591579876,0.0683969586972,0.0799398437503,0.581584318407,0.294980383454,0.0799398437503,4.05538911097,6.15955743521,-2.10416832424,-1.89867887232,753.0
1988,8,9,15,40,587180433.965,L5,LT51160311988223HAJ00,0.00144301233392,0.016560452463,0.0263825717214,0.565639486687,0.945304333893,0.0263825717214,13.8599054079,11.9926753572,1.86723005069,1.80868486061,10409.0
1988,8,25,15,40,588562838.657,L5,LT51160311988239HAJ00,-0.0024577122254,0.017518347436,0.0195823487719,0.515607952387,1.12550650864,0.0195823487719,4.30592262672,5.44196580598,-1.13604317926,-1.02284875797,2047.0
1988,9,26,15,40,591327630.318,L5,LT51160311988271HAJ01,0.000683518027966,0.0106568189937,0.0142963715482,0.544560245324,0.952189405147,0.0142963715482,4.26423292217,11.8732420728,-7.60900915061,-7.05704493388,12011.0
1989,2,25,15,42,604460565.5,L4,LT41160311989057XXX02,-0.0846374296123,-0.0707800169839,-0.0626162838342,0.561787075265,-0.351684009807,-0.0626162838342,-19.7137055892,-16.1568211293,-3.55688445986,-2.51910411375,513.0
1989,3,5,15,39,605151570.536,L5,LT51160311989065HAJ00,0.237239118472,0.263211609229,0.304373705047,0.602188002532,0.22056631523,0.304373705047,-23.3051076717,-21.0343768243,-2.27073084736,-1.52858141461,71.0
1989,3,21,15,38,606533930.054,L5,LT51160311989081HAJ00,-0.103733499862,-0.0682012787413,0.0207207193827,0.619082608132,6.00626922963,0.0207207193827,-21.4788596874,-11.7084934685,-9.7703662189,-7.02924734426,1779.0
1989,5,8,15,38,610681112.192,L5,LT51160311989129HAJ00,0.265471012987,0.270105819085,0.259228962363,0.237686052387,0.0402688722486,0.270105819085,-3.81582337436,-0.276986225542,-3.53883714882,-2.97869289496,1421.0
