year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1987,12,1,13,47,565400865.298,L5,LT50960641987335ASA00,0.0274106067132,0.0367740864151,0.0279762603173,0.343401769821,0.254621681045,0.0367740864151,13.9075965427,14.2218923637,-0.314295821036,-0.307073374909,22.0
1988,5,9,13,49,579224984.086,L5,LT50960641988130ASA00,-0.372475469978,-0.403222779166,-0.471233294195,0.114776585328,-0.265139135802,-0.372475469978,17.2859347598,16.9028153316,0.383119428256,0.384139833853,3.0
1989,6,13,13,47,613784840.171,L5,LT50960641989164ASA00,-0.000796896237343,0.00543321080171,0.00251161579676,0.421842032926,1.14667132685,0.00543321080171,18.5853521609,18.1440043257,0.441347835208,0.447263265606,131.0
1991,3,31,13,41,670462861.706,L5,LT50960641991090ASA00,-0.0130429252011,-0.00830596436554,-0.016002531717,0.269244015313,-0.926631395557,-0.00830596436554,18.0397166148,18.6557275087,-0.616010893941,-0.624179051465,176.0
1991,5,18,13,41,674610112.877,L5,LT50960641991138ASA00,0.0764486203501,0.0818189183029,0.0771154033573,0.354026878122,0.0656363841543,0.0818189183029,16.869784874,16.1772080267,0.692576847378,0.691076960878,4.0
1991,10,9,13,43,687051807.578,L5,LT50960641991282ASA00,-0.0335878391847,-0.0349779633833,-0.0434207896703,0.143104322203,-0.292753291794,-0.0335878391847,15.6124454681,11.1719818062,4.44046366192,4.31311363381,7.0
1992,4,2,13,43,702258207.506,L5,LT50960641992093ASA00,0.0245650827414,0.0294072414097,0.023430352414,0.301691166085,0.203245483396,0.0294072414097,11.7169605089,11.8595642402,-0.142603731348,-0.136575921435,15.0
1992,11,28,13,40,722994030.14,L5,LT50960641992333ASA00,-0.0181764213407,-0.0119387917913,-0.0233812306781,0.257521853676,-0.958425198037,-0.0119387917913,16.3175062562,14.8198038476,1.49770240859,1.48235675914,117.0
1994,6,27,13,38,772760281.316,L5,LT50960641994178ASA00,0.124215142534,0.136532047126,0.129029570502,0.398479949944,0.0902125534021,0.136532047126,16.0712172674,15.4288702365,0.642347030845,0.636751836979,1.0
1995,11,5,13,18,815613534.091,L5,LT50960641995309ASA00,-0.000473099711521,-7.32637613175e-05,-0.00268337651246,0.192197872169,-35.6262455573,-7.32637613175e-05,17.6414800384,15.7512105519,1.89026948652,1.888938772,42.0
1996,1,8,13,22,821143334.116,L5,LT50960641996008ASA00,-0.0177757294708,-0.0162088373671,-0.0200316591438,0.234979734659,-0.235847993913,-0.0162088373671,16.5079284239,15.4671385011,1.04078992283,1.03381582801,135.0
1996,2,9,13,24,823908268.558,L5,LT50960641996040ASA00,0.000428396699205,0.00588535105728,0.000589032733449,0.338239489885,0.927209660896,0.00588535105728,18.2453332522,17.2841417432,0.961191508998,0.969199965114,77.0
1996,4,13,13,28,829438117.614,L5,LT50960641996104ASA00,-0.0109614986573,-0.00360934218209,-0.012238166661,0.308674354449,-2.39069172264,-0.00360934218209,16.0517308181,16.2632000576,-0.211469239538,-0.210356365004,94.0
1997,10,9,13,52,876441150.13,L5,LT50960641997282ASA00,0.0144441888033,0.0272925292991,0.0176714737254,0.375197169408,0.470764008529,0.0272925292991,19.9746548391,19.9897421131,-0.0150872739425,-0.0154956245268,111.0
1997,10,25,13,52,877823576.538,L5,LT50960641997298ASA00,0.111897446421,0.129345911885,0.125586518278,0.464090503982,0.134897695713,0.129345911885,12.8211078926,12.5295349182,0.291572974365,0.281440424117,2.0
1999,1,16,13,58,916531103.061,L5,LT50960641999016ASA00,0.00461596082455,0.014434717601,0.00402400482205,0.323856620658,0.721227326141,0.014434717601,17.800643989,18.3095441844,-0.508900195322,-0.514389439139,123.0
1999,6,25,13,57,930355035.47,L5,LT50960641999176ASA00,-0.43613146829,-0.466839688077,-0.536882286001,0.115867707934,-0.23101019999,-0.43613146829,18.7344204978,17.8443817857,0.890038712102,0.901401636967,17.0
2000,2,28,14,12,951783122.523,L7,LE70960642000060ASA00,-0.0318996037153,-0.0224366329575,-0.03807116147,0.267543504219,-0.696830426476,-0.0224366329575,21.1369295027,20.9424608414,0.194468661303,0.201467578671,35.0
2001,1,13,14,9,979430992.717,L7,LE70960642001014EDC00,-0.00969748840435,-0.00727557680438,-0.00928839727596,0.361485415653,-0.332882418135,-0.00727557680438,16.29085253,14.2266036883,2.06424884175,2.03768201658,109.0
2001,6,6,14,9,991872542.4,L7,LE70960642001158EDC00,0.0198584465855,0.0216094188544,0.0211979770316,0.460836822864,0.0810281979692,0.0216094188544,16.3048209175,16.1075129722,0.197307945286,0.196350906513,4.0
2002,1,16,14,8,1011226091.106,L7,LE70960642002017EDC00,0.0397924376204,0.042148922936,0.0502348045165,0.629055696232,0.207871156195,0.0502348045165,19.1763371138,18.071338094,1.10499901976,1.12222915521,2.0
2002,8,28,14,7,1030579642.629,L7,LE70960642002241EDC00,0.0848789061297,0.103583749519,0.105112119423,0.512589612615,0.192491726022,0.105112119423,18.0905533575,16.1970503249,1.89350303261,1.89933644907,20.0
2002,9,29,14,7,1033344428.018,L7,LE70960642002273EDC00,0.0113489963603,0.0191365562934,0.0115134281814,0.33685244635,0.406946778391,0.0191365562934,18.9891104014,20.1304430302,-1.14133262887,-1.16815273035,104.0
2002,10,31,14,7,1036109233.0,L7,LE70960642002305EDC01,0.0268852219971,0.0355957731658,0.0275693129758,0.34642265006,0.244707458049,0.0355957731658,21.0565365693,21.0223561233,0.0341804459597,0.0354105270848,83.0
2003,1,19,14,7,1043021272.535,L7,LE70960642003020EDC00,-0.0158580955534,-0.011603808992,-0.0195876716115,0.255476782024,-0.688038093779,-0.011603808992,16.7051620378,17.4788671899,-0.773705152031,-0.775750333813,78.0
2003,5,27,14,8,1054080485.963,L7,LE70960642003148EDC00,-0.0184375847263,-0.0115858073298,-0.0144152129141,0.431175873048,-0.591394039406,-0.0115858073298,18.3629213038,16.747915884,1.61500541985,1.62560260634,120.0
2003,12,5,14,8,1070669285.83,L7,LE70960642003340EDC01,0.0233913430264,0.0335069058305,0.0284880190786,0.417307505127,0.301894864756,0.0335069058305,18.681193728,16.0901804855,2.59101324256,2.60429391483,35.0
2004,2,23,14,8,1077581309.399,L7,LE70960642004055EDC02,-0.00205682904945,-0.000353785605172,-0.00332282622681,0.262266764549,-8.3922030129,-0.000353785605172,16.3083697309,15.5231469888,0.785222742088,0.779484255094,81.0
2004,6,30,14,8,1088640504.909,L7,LE70960642004183EDC01,0.0176107732649,0.0222473453335,0.0240810813883,0.547234640138,0.268688437163,0.0240810813883,18.6346685145,19.3396460893,-0.704977574806,-0.718134343114,8.0
2004,12,7,14,8,1102464513.648,L7,LE70960642004343EDC00,-0.0733052562639,-0.0640728640756,-0.0235355754028,0.635749610243,-2.11465749229,-0.0235355754028,15.3319633198,17.6270763656,-2.29511304581,-2.28928663879,6.0
2005,11,8,14,8,1131494929.893,L7,LE70960642005313EDC00,0.0264825224772,0.0356289385253,0.0388405239521,0.543313171543,0.31817288279,0.0388405239521,17.7264294538,16.2012754803,1.5251539735,1.52753175178,7.0
2006,1,11,14,9,1137024555.236,L7,LE70960642006012EDC00,-0.0134105012683,-0.00148726875998,-0.0131740479,0.336638552341,-8.01686475852,-0.00148726875998,19.6725285783,18.6485654733,1.02396310498,1.04457264142,38.0
2007,3,3,14,9,1172966993.969,L7,LE70960642007063EDC00,-0.0543444671517,-0.0517883091252,-0.0506326670019,0.551890460903,-0.0733084067982,-0.0506326670019,18.0905556833,16.2205605511,1.86999513217,1.8759420853,7.0
2009,1,3,14,9,1231027741.921,L7,LE70960642009004EDC00,-0.416893786359,-0.447951151253,-0.520713725135,0.116808926974,-0.249032108834,-0.416893786359,18.1511348114,18.1400144181,0.0111203932525,0.0112488486195,18.0
2009,1,19,14,9,1232410147.461,L7,LE70960642009020EDC00,0.000415137784297,0.00317875982351,0.000579715988814,0.343258605445,0.869402594928,0.00317875982351,14.036529111,12.8863867721,1.15014233888,1.11783438839,13.0
2009,2,12,14,5,1234483513.107,L5,LT50960642009044ASA00,0.0275705713205,0.0336437124162,0.0315770871721,0.443285108108,0.180513405314,0.0336437124162,15.2526090936,14.1775001239,1.07510896964,1.05632408204,87.0
2009,4,1,14,6,1238630779.777,L5,LT50960642009092ASA00,-0.00189361786504,0.00422450564002,-0.00239923463305,0.320610995521,1.56793263816,0.00422450564002,17.613879595,18.0121202155,-0.398240620483,-0.401721235558,138.0
2009,5,19,14,7,1242778034.692,L5,LT50960642009140ASA00,0.0717267704004,0.0863732549068,0.0810509579123,0.439436012874,0.169571987557,0.0863732549068,7.02266796441,5.58175867796,1.44090928645,1.31296175988,1.0
2009,8,7,14,8,1249690116.424,L5,LT50960642009220ASA00,0.00766336053026,0.0154185395036,0.00924321794123,0.367286072451,0.502977533736,0.0154185395036,18.4883551274,18.8992683814,-0.410913253988,-0.417563633441,129.0
2009,12,13,14,10,1260749400.386,L5,LT50960642009348ASA00,0.0068600841896,0.0169684279521,0.00633984113821,0.325175411989,0.626374278389,0.0169684279521,18.0129795118,18.6959887839,-0.68300927207,-0.692104831691,130.0
2013,12,8,14,21,1386548460.343,L8,LC80960642013343LGN00,0.00955349423695,0.0221262892705,0.0205958346166,0.479712086694,0.568228810526,0.0221262892705,14.4096171328,12.1490122958,2.26060483698,2.16238601459,88.0
2014,2,11,14,10,1392163802.357,L7,LE70950642014043ASN00,0.041647130462,0.0499148688161,0.0628177354331,0.601578475081,0.337016366876,0.0628177354331,18.1814128797,14.796561417,3.38485146269,3.37652581411,6.0
2014,3,14,14,19,1394842794.584,L8,LC80960642014074LGN00,-0.361468905262,-0.392904341102,-0.424112397397,0.0830308550582,-0.173302575194,-0.361468905262,11.733212522,12.01313684,-0.279924318014,-0.264155846594,1.0
2015,4,18,14,18,1429402726.643,L8,LC80960642015109LGN00,0.0192819372807,0.0265898839977,0.0295230308692,0.547734922808,0.346884899246,0.0295230308692,17.3451936537,17.196418823,0.14877483076,0.147758792447,49.0
2015,5,20,14,18,1432167506.93,L8,LC80960642015141LGN00,0.0128390176746,0.0183748486448,0.0228829922276,0.574806766965,0.438927499211,0.0228829922276,16.9753651057,15.6268214558,1.34854364988,1.32732880904,79.0
2015,11,12,14,19,1447373969.857,L8,LC80960642015317LGN00,0.0393735226132,0.0463643571043,0.0362867169,0.282282927837,0.217357488247,0.0463643571043,21.0056821971,21.0672315211,-0.0615493240137,-0.0632582964795,112.0
2015,11,20,14,20,1448065212.079,L7,LE70960642015325ASN00,0.00404798200968,0.0103586791012,-0.000568451803164,0.262920922042,1.05487686196,0.0103586791012,19.0862258009,17.6218943774,1.46433142346,1.48382597499,30.0
2015,11,28,14,19,1448756373.178,L8,LC80960642015333LGN00,0.0295388860383,0.040278979966,0.040920736571,0.509397367666,0.278143833334,0.040920736571,19.8322468872,18.6199087639,1.21233812331,1.22583150793,41.0
