"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1985,3,5,3,57,478879051.838,L5,LT50010511985064XXX01,0.0157749280303,0.0158669190429,0.0150599615727,0.185666224883,0.0508578551368,0.0158669190429,15.5549729258,12.7577248141,2.79724811176,2.73513517375,43.0
1986,1,3,3,54,505144482.496,L5,LT50010511986003XXX04,0.0364280847634,0.0403573054952,0.039403260498,0.459532052183,0.0973608293123,0.0403573054952,18.2172433684,15.0383322126,3.17891115575,3.17482565866,148.0
1986,1,19,3,54,506526863.054,L5,LT50010511986019XXX04,0.0220794417295,0.0249322126472,0.0300211611434,0.606797790063,0.264537383346,0.0300211611434,16.1085870108,13.6286578761,2.47992913474,2.43982120145,49.0
1986,2,20,3,53,509291619.324,L5,LT50010511986051XXX05,-0.0356962685861,-0.0337399214117,-0.0408212946834,0.212711106055,-0.209881143033,-0.0337399214117,14.7062620855,11.0172577285,3.68900435693,3.56662875918,548.0
1986,3,24,3,52,512056379.356,L5,LT50010511986083XXX09,0.0194503774418,0.0226964657501,0.0194274990282,0.332166888624,0.144029769121,0.0226964657501,18.0238528756,18.8368314366,-0.812978561035,-0.824326055536,219.0
1987,4,12,3,49,545233796.44,L5,LT50010511987102XXX01,0.0885941598519,0.0869012956,0.0889843126158,0.802116372475,0.0234088116715,0.0889843126158,19.826842207,16.7588759079,3.06796629909,3.10721819635,3.0
2002,3,12,4,16,1015942560.127,L7,LE70010512002071UPR00,-0.0200891567923,-0.0168020437808,-0.0194753716866,0.364454112342,-0.195637688745,-0.0168020437808,19.4462586473,16.1005284498,3.34573019751,3.37384376996,2.0
2004,9,25,4,15,1096121741.718,L7,LE70010512004269EDC03,-0.0304836901373,-0.0290142896071,-0.0278459937409,0.573820466206,-0.0947244483704,-0.0278459937409,18.9854375906,17.3216732367,1.6637643539,1.68309428222,140.0
2005,2,16,4,16,1108563402.552,L7,LE70010512005047EDC00,-0.00694089217485,-0.00729834166482,-0.0116378742414,0.15398300849,-0.676711573706,-0.00694089217485,20.1452610818,19.8919248267,0.253336255108,0.260270859112,26.0
2007,1,21,4,17,1169389040.889,L7,LE70010512007021EDC00,0.186316243842,0.207167101067,0.246179711856,0.608615521516,0.243169786667,0.246179711856,11.1637273491,12.3387359846,-1.17500863548,-1.12497243713,23.0
2007,11,5,4,17,1194272227.408,L7,LE70010512007309EDC00,-0.0335841259913,-0.0344120834457,-0.0393171553119,0.142596859701,-0.170706521351,-0.0335841259913,17.1919755833,15.8259332757,1.3660423076,1.36291550429,389.0
2007,12,23,4,17,1198419445.569,L7,LE70010512007357EDC00,-0.0244857488416,-0.0257827022844,-0.0307760111435,0.132302613666,-0.256894830647,-0.0244857488416,20.8413608432,19.4450295196,1.39633132365,1.43602131067,161.0
2008,1,8,4,17,1199801846.989,L7,LE70010512008008EDC00,-0.0243945046857,-0.0317969307248,-0.0400239240388,0.0877297819811,-0.640694269238,-0.0243945046857,13.6450519402,2.97751671,10.6675352302,9.90205741107,3.0
2008,11,7,4,16,1226067368.586,L7,LE70010512008312EDC00,-0.0513498936006,-0.0465929128064,-0.0565778480062,0.246069298382,-0.214301587912,-0.0465929128064,16.1663336421,16.3895176229,-0.223183980827,-0.222236944271,15.0
2009,9,23,4,17,1253715434.048,L7,LE70010512009266ASN00,0.0520138964579,0.05256101243,0.0348378968237,0.171811698577,0.337191290406,0.05256101243,22.2010388554,21.3733958553,0.827643000149,0.862647104768,15.0
2010,11,13,4,19,1289657987.873,L7,LE70010512010317EDC00,-0.0369685571504,-0.0368730989792,-0.0409016942916,0.170615858375,-0.109255674841,-0.0368730989792,20.3965791231,19.7152047317,0.681374391398,0.700240210643,33.0
2011,4,22,4,20,1303482041.495,L7,LE70010512011112EDC00,0.0365247127136,0.0384330676704,0.0321559975683,0.217336669437,0.163324722239,0.0384330676704,18.3084972335,17.5830369786,0.725460254877,0.732614944582,15.0
2011,12,18,4,20,1324218056.825,L7,LE70010512011352EDC00,0.0180519103312,0.0191169786105,0.0149606956449,0.209375832851,0.217413172357,0.0191169786105,21.8730633162,20.4851109486,1.38795236767,1.43953593622,25.0
2012,11,18,4,23,1353248583.978,L7,LE70010512012323ASN00,-0.155558966442,-0.149674216077,-0.108475383427,0.645835802387,-0.434048551183,-0.108475383427,12.5073374715,12.9534393675,-0.446101895976,-0.430807428561,827.0
