"year, month, day, hour, minute,timestamp,satellite, fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size"
1984,6,24,23,21,457003285.59,L5,LT51910301984177XXX05,-0.0192990093582,-0.0043784890879,-0.0107796868842,0.428496709227,-3.40768698306,-0.0043784890879,14.2256077965,19.941245973,-5.71563817652,-5.73029522188,114165.0
1984,7,10,23,21,458385694.792,L5,LT51910301984193XXX08,-0.0220814286196,-0.0105954754662,-0.0146132666163,0.441699931263,-1.08404320222,-0.0105954754662,20.1959202363,27.6955106303,-7.49959039403,-7.95299847112,118166.0
1984,7,10,23,21,458385718.622,L5,LT51910311984193XXX08,-0.0192114905437,-0.00768350387857,-0.0117529047089,0.441166355286,-1.50035541691,-0.00768350387857,21.094742515,29.3460319773,-8.2512894623,-8.83856054374,85872.0
1984,9,28,23,23,465297785.864,L5,LT51910301984273XXX02,-0.0161742312973,-0.00342230100949,-0.0120814348942,0.386825841404,-3.72612761192,-0.00342230100949,14.3578325285,15.063739811,-0.705907282506,-0.693547845204,112749.0
1984,9,28,23,23,465297809.695,L5,LT51910311984273XXX02,-0.0134677120401,-0.00115363057824,-0.0101184224287,0.378664764423,-10.6741982175,-0.00115363057824,14.3989425069,15.1405847693,-0.741642262382,-0.729027523985,83005.0
1984,10,14,23,23,466680183.594,L5,LT51910301984289XXX02,-0.0200132912015,-0.00849665191747,-0.0122156815244,0.44617889364,-1.35543263345,-0.00849665191747,14.0068765367,17.0681303931,-3.06125385641,-3.02907695331,126221.0
1984,10,14,23,23,466680207.425,L5,LT51910311984289XXX02,-0.020147462517,-0.00947944255432,-0.0135817950909,0.435908872953,-1.12538473666,-0.00947944255432,14.428595963,17.6850070151,-3.25641105205,-3.23649383852,92564.0
1984,10,21,23,29,467285352.41,L5,LT51920301984296XXX02,-0.031670764779,-0.0201044941212,-0.0282282373589,0.382939173192,-0.57530771916,-0.0201044941212,13.964200852,14.8530830406,-0.888882188622,-0.871044756569,113239.0
1984,10,30,23,23,468062601.748,L5,LT51910311984305XXX02,-0.0267706321257,-0.0209339405658,-0.0331427146283,0.246345586243,-0.583204773327,-0.0209339405658,9.39000734336,9.98157398625,-0.591566642892,-0.556015695501,79295.0
1985,5,1,23,29,483874159.995,L5,LT51920301985122XXX04,0.0385111588506,0.0537749792185,0.0566434300427,0.526365982083,0.320112521053,0.0566434300427,8.69086429979,11.3127904976,-2.62192619779,-2.47138423709,59215.0
1985,6,27,23,23,488798581.631,L5,LT51910301985179AAA02,9.89796629901e-06,0.0224568499827,0.0298368465743,0.541237856681,0.999668263659,0.0298368465743,17.9374649902,23.0040093775,-5.06654438728,-5.22453382887,114644.0
1986,4,18,23,24,514286669.874,L5,LT51920301986109XXX03,0.135324707375,0.159100539533,0.125205476823,0.283575690465,0.213041783578,0.159100539533,2.66059669092,-14.997669247,17.6582659379,14.2272578806,3404.0
1986,5,4,23,24,515669046.122,L5,LT51920301986125XXX04,-0.0122878850571,0.0168870119381,0.00213377261753,0.415719557793,1.72765300943,0.0168870119381,9.54573001371,12.0528013214,-2.50707130767,-2.38007641568,761.0
1986,5,13,23,17,516446260.825,L5,LT51910301986134XXX04,-0.021249442782,-0.00377796330209,-0.00678367385457,0.471327456308,-4.62457628169,-0.00377796330209,14.8976580561,21.2624507973,-6.36479274126,-6.4347341129,126268.0
1986,5,13,23,18,516446284.539,L5,LT51910311986134XXX05,-0.0203642739149,-0.00323864684835,-0.00593451581557,0.473763793128,-5.28789579984,-0.00323864684835,14.7342962966,20.999397866,-6.26510156936,-6.32265853718,103847.0
1986,10,11,23,18,529492731.1,L5,LT51920301986285XXX01,-0.0433062391188,-0.0272878688028,-0.0355824830066,0.413696857211,-0.587014340761,-0.0272878688028,15.7648107361,19.1686172868,-3.40380655066,-3.42358205705,22808.0
1987,3,4,23,20,541934439.426,L5,LT51920301987064XXX01,-0.0107131626992,-0.000829800037519,-0.00504213225054,0.428965940756,-11.9105353275,-0.000829800037519,2.08051131418,0.963568693766,1.11694262042,0.972484994623,109316.0
1987,3,20,23,21,543316875.043,L5,LT51920301987080XXX01,0.0162743717079,0.0286123267873,0.0158560167166,0.327867345795,0.445832670845,0.0286123267873,-1.96231125298,-4.27348489725,2.31117364427,1.92146332736,56.0
1987,4,5,23,21,544699308.64,L5,LT51920301987096XXX02,-0.00513893444265,0.00629966056339,0.00192248826954,0.436222174554,1.81574783132,0.00629966056339,8.78432328732,19.2530715223,-10.468748235,-10.223932772,126552.0
1987,4,21,23,22,546081739.468,L5,LT51920301987112XXX02,0.00387033599302,0.0142363803702,0.0083261256313,0.404974123143,0.728137638053,0.0142363803702,7.85256447366,15.540075396,-7.68751092238,-7.35652639509,126465.0
1987,4,30,23,16,546858984.665,L5,LT51910301987121XXX03,-0.0262640021393,-0.0150920204386,-0.0231116783779,0.380360558015,-0.740257525239,-0.0150920204386,7.71577023633,1.19916355173,6.5166066846,5.83600029071,44808.0
1987,4,30,23,16,546859008.412,L5,LT51910311987121XXX03,-0.0242265020004,-0.0131645475365,-0.0201490833054,0.394766399679,-0.840283681092,-0.0131645475365,7.86695966444,0.164607079797,7.70235258464,6.86906267507,37339.0
1987,5,7,23,22,547464167.54,L5,LT51920301987128XXX02,-0.00273301701401,0.010276879834,0.00849109525775,0.47712274231,1.2659384033,0.010276879834,8.94301750782,15.7161830292,-6.77316552133,-6.51790976066,125443.0
1987,6,1,23,17,549623835.164,L5,LT51910301987153XXX02,-0.0220240897277,-0.0023842265563,-0.0105866320845,0.430393222391,-8.23741482097,-0.0023842265563,12.7282199495,18.4311925688,-5.70297261934,-5.6450431407,125799.0
1987,6,1,23,17,549623859.057,L5,LT51910311987153XXX02,-0.0209074189072,-0.00122312307015,-0.00934379110145,0.431242413593,-16.0934711457,-0.00122312307015,12.4988241382,18.2917466707,-5.79292253249,-5.72503587385,87906.0
1987,6,17,23,17,551006256.9,L5,LT51910301987169XXX03,-0.00512315162102,0.0141114398526,0.0071168204265,0.439392011213,1.36304953106,0.0141114398526,7.06881648041,3.0867924111,3.98202406931,3.58707967142,18070.0
1987,6,17,23,18,551006280.652,L5,LT51910311987169AAA04,-0.00610665857361,0.0127725816536,0.00564198451634,0.437050811267,1.47810683378,0.0127725816536,7.20853514868,7.52458781913,-0.316052670443,-0.290841848676,18139.0
1987,6,24,23,23,551611436.573,L5,LT51920301987176XXX02,-0.00561851007225,0.0111081363291,0.00747047641998,0.463753843001,1.50580132488,0.0111081363291,17.4086101388,23.2492073014,-5.84059716259,-6.01572061502,126220.0
1987,7,3,23,17,552388676.468,L5,LT51910301987185XXX02,-0.0192529468305,2.90715186209e-05,0.000363303621009,0.50283975526,53.9940956192,0.000363303621009,19.2712506925,25.7936309933,-6.52238030076,-6.83912289211,125985.0
1987,7,3,23,18,552388700.366,L5,LT51910311987185XXX02,-0.0172446307269,0.00148433781762,0.00224005358565,0.506464186229,8.69831169992,0.00224005358565,19.5423576908,26.3548318373,-6.81247414654,-7.16717735934,86151.0
1987,7,10,23,24,552993855.421,L5,LT51920301987192XXX02,0.00773311963118,0.0283936868239,0.0278800309161,0.495856390719,0.72764651244,0.0283936868239,18.4681280174,22.3959370736,-3.92780905621,-4.0490168331,119282.0
1987,7,19,23,18,553771094.276,L5,LT51910301987201AAA02,0.00558124672723,0.0260360399645,0.0262052016684,0.501367032531,0.787017600633,0.0262052016684,18.902835636,23.1310620143,-4.22822637836,-4.37956869257,95454.0
1987,7,19,23,18,553771118.033,L5,LT51910311987201AAA02,0.0060381068779,0.0260971236726,0.0260660419355,0.499741747585,0.768629410902,0.0260971236726,18.8922259706,23.7492492572,-4.85702328667,-5.04330991549,77692.0
1987,7,26,23,24,554376277.787,L5,LT51920301987208AAA02,0.0215412837,0.0377800751225,0.0368221878086,0.490168733529,0.429824222684,0.0377800751225,19.7427721608,24.8593894013,-5.1166172405,-5.35514236019,126162.0
