year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,10,25,14,52,467599921.819,L5,LT51080351984300HAJ00,0.171815051196,0.265874003384,0.241388006138,0.456612321889,0.353772655433,0.265874003384,9.29982771576,7.79017138763,1.50965632813,1.40432479774,66.0
1985,7,8,14,51,489718318.727,L5,LT51080351985190HAJ00,0.106985287735,0.246914915754,0.220658682794,0.468726860146,0.566711928244,0.246914915754,17.692454022,21.5865566372,-3.89410261517,-3.98821851015,74.0
1985,7,24,14,51,491100711.901,L5,LT51080351985206HAJ00,0.22677218633,0.296737362252,0.294769929697,0.495313305207,0.235781484983,0.296737362252,15.2441293101,15.3193475823,-0.0752182722231,-0.0742649202572,25.0
1985,11,13,14,50,500777433.118,L5,LT51080351985318HAJ00,0.379015581027,0.502789321747,0.503693322078,0.501208449243,0.247527087586,0.503693322078,0.98106161491,-7.07322466484,8.05428627975,6.70116924997,57.0
1986,4,22,14,47,514601235.331,L5,LT51080351986113HAJ00,0.130583387555,0.265112844428,0.201579073742,0.421288898156,0.50744224469,0.265112844428,4.50443446697,3.8498644295,0.654570037475,0.584647975956,70.0
1986,7,27,14,44,522895459.201,L5,LT51080351986209HAJ00,0.0149140023176,0.0542307105779,0.0626209093747,0.529311614447,0.761836701727,0.0626209093747,19.4654261508,22.6859390937,-3.22051294287,-3.33738782284,86.0
1986,8,12,14,43,524277824.299,L5,LT51080351986225HAJ00,0.172916804469,0.363536856552,0.261642464557,0.410909694545,0.524348628336,0.363536856552,20.7844287219,24.6711740314,-3.88674530956,-4.08192300747,78.0
1986,10,15,14,41,529807294.525,L5,LT51080351986289HAJ00,0.235447355052,0.317505106998,0.310707167749,0.486192774626,0.258445455326,0.317505106998,9.5402935958,8.87881541369,0.661478182107,0.61905411671,65.0
1986,10,31,14,41,531189660.824,L5,LT51080351986305HAJ00,0.184093529969,0.356669839738,0.330993753406,0.475203156634,0.483854507845,0.356669839738,3.46085183686,2.96691109796,0.493940738904,0.437142389809,71.0
1987,3,24,14,44,543631453.591,L5,LT51080351987084HAJ00,0.330228149164,0.422370619602,0.390781492019,0.442861803334,0.218155492267,0.422370619602,0.749649648058,-1.2404494395,1.99009908756,1.70291168284,55.0
1987,5,27,14,46,549161169.081,L5,LT51080351987148HAJ00,0.293450584087,0.336043399225,0.313802834315,0.412972157247,0.126747959448,0.336043399225,0.367918372859,2.53939480599,-2.17147643313,-1.8893750137,1.0
1987,8,15,14,48,556073284.409,L5,LT51080351987228HAJ00,0.0946809125733,0.164158990456,0.152747271735,0.472625133305,0.423236508034,0.164158990456,1.66577364074,2.89480877814,-1.2290351374,-1.07797979984,18.0
1987,8,31,14,48,557455710.56,L5,LT51080351987244HAJ00,0.169137783087,0.344515037178,0.292409903508,0.450482809244,0.509055440735,0.344515037178,20.0064673998,22.783266618,-2.77679921816,-2.88504865558,74.0
1988,2,7,14,51,571279890.571,L5,LT51080351988039HAJ00,0.883750868569,1.11339620256,0.821852626017,0.297947975572,0.261850701367,1.11339620256,-17.2197184845,-17.5113806853,0.291662200772,0.207580683745,11.0
1988,3,10,14,51,574044713.842,L5,LT51080351988071HAJ00,0.431750700655,0.559916255867,0.423604214543,0.323372748251,0.243450765889,0.559916255867,-5.11355872671,-7.65896575895,2.54540703224,2.04592626943,53.0
1988,4,27,14,52,578191931.294,L5,LT51080351988119HAJ00,0.232754373612,0.438970117153,0.153798507577,0.2871880981,0.649637864704,0.438970117153,6.73577458795,3.70038119272,3.03539339523,2.73794829606,74.0
1988,6,14,14,52,582339154.626,L5,LT51080351988167HAJ00,0.146225890177,0.273883344474,0.204351378491,0.409220647858,0.466101560657,0.273883344474,1.12871632666,6.4810210488,-5.35230472214,-4.76367536014,61.0
1989,3,29,14,50,607222258.868,L5,LT51080351989089HAJ00,0.426515165429,0.581456086019,0.373165807278,0.29064502476,0.35822185673,0.581456086019,-1.3349550874,-5.07086433286,3.73590924546,3.10328127089,75.0
1989,6,25,14,55,614825727.611,L4,LT41080351989177XXX02,0.27368554625,0.415290418675,0.252007767128,0.311206284607,0.393177025534,0.415290418675,15.2599795467,16.0344657503,-0.774486203523,-0.767065977909,76.0
1989,8,4,14,48,618281337.575,L5,LT51080351989217HAJ01,0.398303207704,0.459581611318,0.321789940584,0.240786293887,0.299819808585,0.459581611318,12.4542495793,15.7332527284,-3.27900314914,-3.2044529833,9.0
1989,8,20,14,48,619663714.797,L5,LT51080351989233HAJ00,0.259652810954,0.360967402327,0.31073807565,0.417370693276,0.280675182078,0.360967402327,18.7735213402,14.6491553519,4.12436598829,4.12197499508,46.0
1989,10,23,14,46,625193208.803,L5,LT51080351989297HAJ00,0.204529322472,0.404614211036,0.413658414766,0.50720783164,0.505559864925,0.413658414766,9.18987298768,5.15962871207,4.03024427561,3.70220257254,79.0
1990,2,12,14,43,634869814.983,L5,LT51080351990044HAJ00,0.376612922596,0.462300086742,0.479423566059,0.527758927707,0.214446370059,0.479423566059,-8.04188960556,-13.2545143601,5.21262475456,4.0027669827,56.0
1990,4,1,14,42,639016922.89,L5,LT51080351990092HAJ00,0.390358546577,0.484122517002,0.374315781736,0.308983332091,0.22681600506,0.484122517002,-8.14235095535,-10.9269259262,2.7845749708,2.1643119755,71.0
1990,5,19,14,42,643164135.767,L5,LT51080351990140BJC00,0.196476043042,0.375958670251,0.210705606861,0.346546834866,0.477399888367,0.375958670251,13.4222901089,17.0710029732,-3.64871286422,-3.60137539716,78.0
1990,7,6,14,42,647311328.521,L5,LT51080351990188HAJ00,0.215002055001,0.396010443568,0.211822862063,0.330456562352,0.465107889189,0.396010443568,19.3680902947,22.996131599,-3.62804130435,-3.76295988832,78.0
1990,8,7,14,42,650076120.004,L5,LT51080351990220HAJ00,0.174690098095,0.348855789487,0.246728659154,0.402270141423,0.499248390424,0.348855789487,23.7177854092,26.3023695782,-2.58458416901,-2.76402087739,75.0
1990,8,23,14,41,651458514.151,L5,LT51080351990236BJC01,0.210578947899,0.365107397256,0.314079058763,0.444963383004,0.42324108062,0.365107397256,21.2794234585,22.2347812921,-0.955357833555,-0.995520855679,79.0
1990,10,10,14,41,655605697.029,L5,LT51080351990284HAJ00,0.213296960856,0.395175975941,0.375111430981,0.481613652212,0.460248158183,0.395175975941,8.33775233385,6.77812503766,1.55962729619,1.43775110511,74.0
1990,11,11,14,41,658370490.933,L5,LT51080351990316BJC00,0.286827692631,0.439650744355,0.431235289279,0.490822223282,0.347601030333,0.439650744355,7.29651014237,1.79658947386,5.4999206685,4.92965066672,79.0
1991,3,3,14,43,668047387.966,L5,LT51080351991063HAJ00,0.527581383299,0.671007253729,0.470033289622,0.285608997553,0.299510866671,0.671007253729,-3.52952147498,-8.4796765496,4.95015507462,3.99476227786,20.0
1991,3,19,14,43,669429810.472,L5,LT51080351991079HAJ00,0.398908706909,0.519720699787,0.401435972969,0.336819833308,0.232455611116,0.519720699787,2.09562928527,-0.763425771652,2.85905505693,2.46854893481,82.0
