year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,7,4,14,4,457833846.447,L5,LT51010271984187HAJ00,-0.000776924048499,0.0258770264636,0.0300957382433,0.522774797434,1.02581508525,0.0300957382433,12.5323658764,21.0587990234,-8.52643314707,-8.52747465327,3213.0
1984,8,12,14,11,461203886.321,L5,LT51020271984226HAJ00,0.0351475113908,0.0564588682955,0.0585171850902,0.514679400471,0.399364283559,0.0585171850902,12.5294269527,8.90340648677,3.62602046595,3.43979645487,2526.0
1984,9,6,14,5,463363538.919,L5,LT51010271984251HAJ00,-0.00450795400721,0.0196060655277,0.0240763221459,0.526064776513,1.18723598978,0.0240763221459,8.5569582193,14.0738562791,-5.51689805984,-5.26157090391,3176.0
1987,6,2,14,6,549677161.741,L5,LT51020271987154HAJ00,0.00765192768439,0.0300591940811,0.0280660851699,0.485175129681,0.745438029251,0.0300591940811,12.7094754572,29.0804086719,-16.3709332147,-16.9389789794,3402.0
1987,7,20,14,7,553824420.585,L5,LT51020271987202HAJ00,0.102096455614,0.13416836715,0.144980945275,0.542022100958,0.295793971955,0.144980945275,6.19096399511,3.82190219549,2.36906179962,2.13265891355,1257.0
1987,9,6,14,8,557971703.799,L5,LT51020271987250HAJ00,0.0103113468097,0.036388183711,0.0412671614402,0.526268504466,0.750131909978,0.0412671614402,13.8090785442,21.1028211959,-7.29374265174,-7.33539204678,3566.0
1988,6,20,14,12,582855140.678,L5,LT51020271988173HAJ00,0.0234400046271,0.0516548920345,0.0539745679793,0.512661476537,0.565721310894,0.0539745679793,11.8676459333,22.8934304297,-11.0257844965,-11.0815618704,3262.0
1988,7,22,14,12,585619948.095,L5,LT51020271988205HAJ00,0.0107622974866,0.0401111817885,0.0439760202824,0.519393783495,0.755268953,0.0439760202824,13.0641384857,20.8738290507,-7.80969056501,-7.8221153649,3246.0
1988,9,8,14,12,589767151.443,L5,LT51020271988253HAJ00,0.0564169931704,0.0814712382259,0.0870084416322,0.530167490616,0.351591729353,0.0870084416322,2.5273913393,1.4624367985,1.0649545408,0.931489245401,851.0
1990,7,12,14,1,647827311.984,L5,LT51020271990194HAJ00,0.0224532810525,0.0463182412737,0.0408480923414,0.461797904531,0.515238911602,0.0463182412737,13.1772509081,20.4980535936,-7.32080268547,-7.3243287836,3249.0
1990,8,13,14,1,650592103.26,L5,LT51020271990226HAJ00,-0.0126300609882,0.0166137631638,0.0149797452153,0.490687390153,1.76021674702,0.0166137631638,12.7715794253,16.0645949251,-3.29301549981,-3.2271921365,3225.0
1993,7,4,14,4,741830648.269,L5,LT51020271993186HAJ00,0.0788894826296,0.10032122443,0.101489783211,0.508617575509,0.222685474993,0.101489783211,10.405633274,12.2435780114,-1.83794473744,-1.75303080383,40.0
1994,8,24,13,58,777772729.61,L5,LT51020271994236HAJ00,-0.00348409354985,0.0211142039677,0.0221524744032,0.506749931305,1.15727785016,0.0221524744032,14.482916598,18.9981726147,-4.51525601667,-4.51375100763,3512.0
1994,10,4,13,51,781314692.85,L5,LT51010271994277HAJ00,0.01147872648,0.0322362855185,0.0269378102303,0.45745746342,0.643919071464,0.0322362855185,9.0161789304,9.99221284097,-0.976033910566,-0.915874716661,3932.0
1999,7,13,14,34,931912472.352,L7,LE71020271999195SGS00,0.0320091653526,0.0441159770362,0.0492543799729,0.549660181581,0.350125504165,0.0492543799729,13.2500005994,14.8466082622,-1.59660766282,-1.55969509961,1623.0
1999,7,29,14,34,933294877.561,L7,LE71020271999211SGS00,0.00757844077123,0.0212910298702,0.0285492529964,0.557685121653,0.734548544154,0.0285492529964,11.9611139555,15.4922966093,-3.53118265379,-3.43991973176,3450.0
1999,8,7,14,28,934072108.159,L7,LE71010271999220EDC00,0.00619181912116,0.0238965043112,0.0313984317871,0.549602906291,0.80279845939,0.0313984317871,18.0608033565,21.4061317352,-3.34532837876,-3.42883839233,3131.0
1999,8,7,14,28,934072132.052,L7,LE71010281999220EDC00,0.00642143075164,0.0235283500777,0.0307854015888,0.54964332757,0.791413123746,0.0307854015888,17.9126943044,21.2866187177,-3.37392441327,-3.45433603019,3131.0
1999,8,14,14,34,934677276.611,L7,LE71020271999227EDC00,-0.439717953559,-0.494550063442,-0.668892052045,0.126790061759,-0.521184310604,-0.439717953559,11.383418124,-6.50395327534,17.8873713994,15.7136308631,89.0
1999,9,15,14,34,937442073.235,L7,LE71020271999259EDC00,0.0173458201135,0.0331505346534,0.0291380580449,0.457686923118,0.47675594693,0.0331505346534,13.071446967,12.8735799739,0.197866993015,0.191489158035,3177.0
1999,10,10,14,28,939601715.505,L7,LE71010271999284SGS00,0.00732679642466,0.0233499840236,0.0203000248794,0.468275568085,0.686218353843,0.0233499840236,11.498792412,13.2991294589,-1.80033704687,-1.73355574752,4040.0
1999,10,17,14,34,940206880.23,L7,LE71020271999291EDC00,0.0437793313323,0.0397263371874,0.0417396069412,0.917210598641,0.0925777991932,0.0437793313323,5.99777854494,-1.196136788,7.19391533294,6.31712766419,48.0
2000,6,29,14,33,962325204.36,L7,LE71020272000182EDC00,-0.00992801186996,0.000114903758994,6.23820895797e-05,0.499128379457,87.4028466684,0.000114903758994,12.1820709575,19.9087783709,-7.72670741341,-7.67863655395,3359.0
2000,7,24,14,26,964484807.519,L7,LE71010272000207EDC00,0.0938207985738,0.109036367996,0.129886325849,0.596352202171,0.277669932068,0.129886325849,17.8927975046,19.6782357801,-1.78543827542,-1.81571668399,69.0
2000,8,16,14,32,966472368.937,L7,LE71020272000230EDC00,0.0216880287805,0.0392584598215,0.0480168221301,0.555442231327,0.548324361788,0.0480168221301,15.468312442,12.9600188239,2.50829361811,2.45382573431,2230.0
2000,10,12,14,25,971396747.643,L7,LE71010272000287EDC00,0.00942300037888,0.0186612731165,0.0241004410809,0.56176335592,0.609011289575,0.0241004410809,8.74648684385,9.55913075758,-0.812643913737,-0.760133678306,3760.0
2000,10,12,14,26,971396771.536,L7,LE71010282000287EDC00,0.00950310325279,0.017908856923,0.0220667325582,0.555157570769,0.569347059982,0.0220667325582,9.0751738212,9.84875924439,-0.773585423198,-0.725627378898,3771.0
2001,4,6,14,25,986603135.686,L7,LE71010272001097EDC00,-0.144956663021,-0.121534425641,-0.0910049356702,0.594311129195,-0.592843969985,-0.0910049356702,0.48268393166,-3.97979482505,4.46247875671,3.7617260734,74.0
2001,5,15,14,31,989973095.901,L7,LE71020272001136EDC00,0.0160897776055,0.0228444044584,0.0226113967061,0.494250663104,0.295679708579,0.0228444044584,13.096628147,22.846133285,-9.74950513798,-9.84757167291,3490.0
2001,8,12,14,24,997662266.682,L7,LE71010272001225EDC00,0.000986745632608,0.019021298732,0.0220145778052,0.523724739738,0.955177626328,0.0220145778052,15.8887091214,20.9314870409,-5.04277791953,-5.11227427192,3435.0
2001,8,19,14,30,998267433.541,L7,LE71020272001232EDC00,-0.00025180897668,0.0131610951185,0.0100736665111,0.461636090818,1.01913282857,0.0131610951185,14.3719423953,19.1440337948,-4.77209139947,-4.77120272376,3420.0
