system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71120371999297SGS00,1.0,"{shadow_count=0.0, cloud_count=0.0, water_count=81.0, snow_count=0.0, lake_SR={blue=0.19324074074074063, green=0.19913086419753073, red=0.13509259259259257, nir=0.07093827160493826, swir1=0.03960493827160496, swir2=0.03303456790123457}}",0.285,50.0,1999-10-24T01:40:22,297.0697105324074,47.0,"{blue=124.71119281078907, green=107.03228205442429, red=58.1309026961631, nir=15.998592532695607, swir1=1.3229939481045336, swir2=0.35796611692677155, tir1=11.246285893023014, tir2=11.260759656892178}",48.41054153442383,"{lake_TIR=11.465102446824313, bkgd_BT=23.340227958483574, lake_BT=41.39283142089844, bkgd_TIR=8.910478563644947}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120371999345SGS00,0.570001220703125,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,132.0,1999-12-11T01:40:27,345.0697665972222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.77662467956543,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000028SGS00,0.329998779296875,"{shadow_count=18.0, cloud_count=114.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.295,132.0,2000-01-28T01:40:19,28.069674444444445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",57.48910140991211,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000044EDC00,0.6899993896484375,"{shadow_count=0.0, cloud_count=36.0, water_count=47.0, snow_count=0.0, lake_SR={blue=0.09053404255319149, green=0.09267659574468086, red=0.08155957446808508, nir=0.07138936170212769, swir1=0.04949999999999999, swir2=0.04111063829787232}}",0.289,79.0,2000-02-13T01:40:15,44.069623344907406,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",53.40918731689453,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=139, green=139, red=139, nir=139, swir1=139, swir2=139, tir1=139, tir2=139}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000092EDC00,0.3600006103515625,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.31,132.0,2000-04-01T01:40:02,92.06947445601851,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.53602981567383,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000108EDC00,1.329998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=38.0, snow_count=0.0, lake_SR={blue=0.08355263157894738, green=0.09448684210526315, red=0.09691052631578949, nir=0.09653421052631576, swir1=0.07468157894736839, swir2=0.06361052631578948}}",0.372,113.0,2000-04-17T01:39:48,108.0693130787037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.20600128173828,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=139, green=139, red=139, nir=139, swir1=139, swir2=139, tir1=139, tir2=139}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000124EDC00,1.15,"{shadow_count=0.0, cloud_count=0.0, water_count=1.0, snow_count=0.0, lake_SR={blue=0.0929, green=0.1007, red=0.0976, nir=0.1047, swir1=0.0815, swir2=0.0698}}",0.338,132.0,2000-05-03T01:39:47,124.0692977662037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.964969635009766,"{lake_TIR=null, bkgd_BT=26.08332061767578, lake_BT=null, bkgd_TIR=9.270531564485282}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000172HIJ00,2.1899993896484373,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.304,132.0,2000-06-20T01:39:20,172.06899136574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.21552276611328,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000188EDC01,2.8800003051757814,"{shadow_count=14.0, cloud_count=37.0, water_count=27.0, snow_count=0.0, lake_SR={blue=0.31732592592592596, green=0.15127037037037036, red=0.12495555555555558, nir=0.09951481481481483, swir1=0.0661925925925926, swir2=0.05374814814814815}}",0.317,91.0,2000-07-06T01:39:07,188.06883268518519,39.0,"{blue=185.4299842761113, green=174.8499572460468, red=103.05614004379663, nir=35.237431691243096, swir1=3.3270969696533985, swir2=0.8599989311053202, tir1=11.403004324015898, tir2=11.392671004415323}",24.27448272705078,"{lake_TIR=11.377889847755432, bkgd_BT=28.81143814478165, lake_BT=40.82451477050781, bkgd_TIR=9.63914240911985}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
LE71120372000204HIJ00,4.4,"{shadow_count=0.0, cloud_count=132.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.287,132.0,2000-07-22T01:38:51,204.0686509837963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.96570587158203,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[131.083493,32.883299],[131.087145,32.883201],[131.08717099999998,32.886525999999996],[131.083497,32.88657],[131.083493,32.883299]]]}"
