system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71970281999204FUI00,1.8899993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.332,965.0,1999-07-23T10:22:04,204.4319955439815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.475189208984375,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=639, swir2=965, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999220AGS00,2.230000305175781,"{shadow_count=154.0, cloud_count=470.0, water_count=61.0, snow_count=0.0, lake_SR={blue=0.026304918032786877, green=0.019344262295081984, red=0.006293442622950821, nir=0.01650983606557378, swir1=0.0062311475409836045, swir2=0.004098360655737709}}",0.308,600.0,1999-08-08T10:22:10,220.43206388888888,1.0,"{blue=42.86063051223755, green=24.753936767578125, red=11.162992477416992, nir=5.775984168052673, swir1=0.5146457701921463, swir2=0.04507870972156525, tir1=7.983307145535946, tir2=7.9994093999266624}",34.840885162353516,"{lake_TIR=7.983307145535946, bkgd_BT=17.456432784231087, lake_BT=16.160064697265625, bkgd_TIR=8.149493636609169}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=714, tir2=714}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999236EDC00,2.9399993896484373,"{shadow_count=0.0, cloud_count=0.0, water_count=132.0, snow_count=0.0, lake_SR={blue=0.019797727272727248, green=0.014789393939393955, red=0.002045454545454544, nir=0.014720454545454537, swir1=0.004568939393939393, swir2=0.002212878787878788}}",0.304,494.0,1999-08-24T10:22:10,236.43206528935184,19.0,"{blue=38.80298437570271, green=21.852962917403172, red=8.970845724406995, nir=5.136220395565033, swir1=0.2954207266631879, swir2=0.04507870972156525, tir1=8.408189038435617, tir2=8.414862149084607}",39.07588577270508,"{lake_TIR=8.408189038435617, bkgd_BT=26.92144815881825, lake_BT=19.537801106770832, bkgd_TIR=9.381585209786516}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=385, tir2=385}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999252FUI00,2.4100006103515623,"{shadow_count=8.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.294,476.0,1999-09-09T10:22:09,252.43205707175926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",44.013973236083984,"{lake_TIR=null, bkgd_BT=20.21493236206839, lake_BT=null, bkgd_TIR=8.496728046659612}","{blue=965, green=965, red=965, nir=965, swir1=964, swir2=965, tir1=27, tir2=27}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999268NSG00,2.3600006103515625,"{shadow_count=0.0, cloud_count=965.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.278,965.0,1999-09-25T10:22:14,268.432111712963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",49.44246292114258,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999284EDC00,2.4300003051757812,"{shadow_count=0.0, cloud_count=0.0, water_count=428.0, snow_count=0.0, lake_SR={blue=0.02349322429906542, green=0.015593457943925245, red=0.004467757009345799, nir=0.011932710280373843, swir1=0.004230841121495341, swir2=0.0019658878504672885}}",0.267,431.0,1999-10-11T10:22:17,284.4321478935185,276.0,"{blue=31.19645713204923, green=16.42422388817953, red=7.072692262953606, nir=3.6017145354678664, swir1=0.20321045637778615, swir2=0.0329909548163414, tir1=7.412827853410357, tir2=7.412895801099206}",55.0701789855957,"{lake_TIR=7.412827853410357, bkgd_BT=13.713222079806858, lake_BT=11.459564982980922, bkgd_TIR=7.683813330052154}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999300EDC01,1.15,"{shadow_count=0.0, cloud_count=0.0, water_count=473.0, snow_count=0.0, lake_SR={blue=0.023697040169133148, green=0.01674735729386893, red=0.007018393234672273, nir=0.012647145877378469, swir1=0.0045040169133192575, swir2=0.0025775898520084646}}",0.28,372.0,1999-10-27T10:22:08,300.43204725694443,327.0,"{blue=27.004813888386483, green=13.995531950521906, red=6.208774834962431, nir=2.9704145969600853, swir1=0.1641619919545789, swir2=0.026016127625736622, tir1=7.289053004747684, tir2=7.29160944031785}",60.50740051269531,"{lake_TIR=7.289053004747684, bkgd_BT=12.087926678324855, lake_BT=10.412653371828412, bkgd_TIR=7.488114320053611}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999316NSG00,1.4399993896484375,"{shadow_count=0.0, cloud_count=965.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.266,965.0,1999-11-12T10:22:08,316.4320475925926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",65.32854652404785,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=965, swir2=965, tir1=965, tir2=965}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999332EDC00,0.7899993896484375,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.224,965.0,1999-11-28T10:22:02,332.43197488425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",69.06598472595215,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=250, swir2=965, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
LE71970281999364FUI00,1.05,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.334,480.0,1999-12-30T10:22:03,364.43198087962963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",71.72962188720703,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=965, green=965, red=965, nir=965, swir1=373, swir2=965, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[2.8818679999999994,45.499909],[2.8817400000000006,45.492129],[2.89423,45.49203200000001],[2.894705,45.49992400000001],[2.8818679999999994,45.499909]]]}"
