system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50290461985004XXX12,2.169999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.231,28348.0,1985-01-04T16:48:25,4.700292974537037,15.0,"{blue=22.558676306406657, green=20.78339076836904, red=6.973016166687012, nir=4.096551489830017, swir1=0.47248032689094543, swir2=0.09472442219654718, tir1=6.085072147846222}",53.397010803222656,"{lake_TIR=5.972478317096829, bkgd_BT=9.5254347451014, lake_BT=-0.8820648193359375, bkgd_TIR=7.103361494301477}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461985020AAA03,2.1899993896484373,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.235,28942.0,1985-01-20T16:48:30,20.700358564814813,3.0,"{blue=22.64818811416626, green=13.026456475257874, red=6.833819309870402, nir=2.8701183795928955, swir1=0.27188977350791294, swir2=0.06850394854942958, tir1=6.0370813347399235}",52.27887725830078,"{lake_TIR=6.0370813347399235, bkgd_BT=9.867613467714929, lake_BT=-0.2547709147135417, bkgd_TIR=7.143511967398263}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461985276XXX03,3.9100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,33866.0,1985-10-03T16:47:14,276.699472037037,6.0,"{blue=168.55243476231894, green=302.80965520938236, red=241.5545191168785, nir=25.208721458911896, swir1=27.712677476306755, swir2=8.207775976508856, tir1=6.175516372546554}",37.38313293457031,"{lake_TIR=6.175516372546554, bkgd_BT=12.256911674555202, lake_BT=1.0508829752604167, bkgd_TIR=7.414700026400543}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461986007XXX04,1.5600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.244,28573.0,1986-01-07T16:45:41,7.698393657407407,85.0,"{blue=21.755702736798455, green=11.719807115723105, red=6.1378350257873535, nir=2.828893737231984, swir1=0.2643381291452576, swir2=0.0636197426739861, tir1=5.979970095613424}",53.758506774902344,"{lake_TIR=5.979970095613424, bkgd_BT=10.851309835701942, lake_BT=-0.8351781508501839, bkgd_TIR=7.263840783365947}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461986071XXX04,1.729998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,31420.0,1986-03-12T16:44:16,71.69741630787037,2.0,"{blue=24.326534509658813, green=13.026456475257874, red=7.181811451911926, nir=2.8701183795928955, swir1=0.5928346589207649, swir2=0.14498033002018929, tir1=6.775401536375284}",41.47153854370117,"{lake_TIR=null, bkgd_BT=16.94542394893119, lake_BT=null, bkgd_TIR=7.978845181560017}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461986087XXX03,2.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,34915.0,1986-03-28T16:43:57,87.69719868055556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.12306213378906,"{lake_TIR=null, bkgd_BT=18.941149194256152, lake_BT=null, bkgd_TIR=8.224535892918414}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461986103XXX04,2.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.274,32934.0,1986-04-13T16:43:37,103.69695783564815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.479618072509766,"{lake_TIR=null, bkgd_BT=22.597643126214884, lake_BT=null, bkgd_TIR=8.681548106294612}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461986119AAA02,3.169999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,36149.0,1986-04-29T16:43:14,119.69669136574075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.055946350097656,"{lake_TIR=null, bkgd_BT=-3.522761076591943, lake_BT=null, bkgd_TIR=5.7062404841533185}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461987266AAA02,4.239999389648437,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,35172.0,1987-09-23T16:45:11,266.6980500347222,67.0,"{blue=135.3829659988631, green=213.11352431240365, red=174.9192178284944, nir=19.710692430610088, swir1=21.072830770442735, swir2=6.836582177388134, tir1=6.8316020293355875}",35.84955596923828,"{lake_TIR=6.8316020293355875, bkgd_BT=1.2872236054018493, lake_BT=7.019216053521455, bkgd_TIR=6.204555679240276}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
LT50290461989143XXX02,2.519999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.295,32607.0,1989-05-23T16:46:32,143.6989917824074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.03463363647461,"{lake_TIR=null, bkgd_BT=25.74715972044325, lake_BT=null, bkgd_TIR=9.083116765247999}","{blue=36149, green=36149, red=36149, nir=36149, swir1=36149, swir2=36149, tir1=36149}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-103.62772600000002,19.575260999999998],[-103.637231,19.504983],[-103.59416599999999,19.504885999999996],[-103.591714,19.576321999999998],[-103.62772600000002,19.575260999999998]]]}"
