system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70170512012131ASN00,2.8899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,1474.0,2012-05-10T16:00:38,131.6671145138889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.13959503173828,"{lake_TIR=null, bkgd_BT=17.74097437058052, lake_BT=null, bkgd_TIR=8.182118572947317}","{blue=1501, green=1492, red=1482, nir=1474, swir1=1469, swir2=1477, tir1=1475, tir2=1475}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70170512012147ASN00,3.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,0.0,2012-05-26T16:00:31,147.66703532407408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.91863250732422,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=441, green=49, red=0, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180511999230EDC00,3.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.285,1157.0,1999-08-18T16:04:59,230.67013431712962,1.0,"{blue=59.214174032211304, green=59.1031488776207, red=29.812599182128906, nir=14.092913210391998, swir1=1.2719686478376389, swir2=0.30846452713012695, tir1=8.654173292219639, tir2=8.631889704614878}",27.060894012451172,"{lake_TIR=8.654173292219639, bkgd_BT=21.008714265628115, lake_BT=21.4503173828125, bkgd_TIR=8.598663176599334}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180511999310EDC01,3.5699996948242188,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,2447.0,1999-11-06T16:05:03,310.6701796064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.69966125488281,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180511999326EDC00,2.6399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.24957450980392157,1573.0,1999-11-22T16:04:56,326.6701039814815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.33234786987305,"{lake_TIR=null, bkgd_BT=21.904354793859753, lake_BT=null, bkgd_TIR=8.714855263312417}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000025EDC00,1.520001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,718.0,2000-01-25T16:04:57,25.67011351851852,859.0,"{blue=39.203543392132545, green=22.237517784721497, red=11.497339326372247, nir=4.8580863400860075, swir1=0.3245068870580238, swir2=0.06276041186036276, tir1=8.727117294664641, tir2=8.727348623435176}",43.52285385131836,"{lake_TIR=8.727517986614535, bkgd_BT=25.91944595381057, lake_BT=22.013769804541745, bkgd_TIR=9.252065763545646}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000089SGS00,2.55,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2594479166666666,2161.0,2000-03-29T16:04:41,89.66992125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.27013397216797,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000121EDC00,3.05,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.277,2412.0,2000-04-30T16:04:27,121.66975935185185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.55828094482422,"{lake_TIR=null, bkgd_BT=23.943134913934724, lake_BT=null, bkgd_TIR=8.982082633075313}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000169EDC00,3.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,1704.0,2000-06-17T16:04:00,169.6694474537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.92707061767578,"{lake_TIR=null, bkgd_BT=21.923580709317836, lake_BT=null, bkgd_TIR=8.720605403330268}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000217EDC00,3.4699996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.2827079831932773,1918.0,2000-08-04T16:03:17,217.66895119212964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.03774642944336,"{lake_TIR=null, bkgd_BT=10.655710831957022, lake_BT=null, bkgd_TIR=7.3192930758848895}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000233EDC00,3.3399993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29,954.0,2000-08-20T16:03:11,233.6688825,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.432117462158203,"{lake_TIR=null, bkgd_BT=23.33841330921894, lake_BT=null, bkgd_TIR=8.903338307276744}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000265EDC00,3.419999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.282,2450.0,2000-09-21T16:02:37,265.66848413194447,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.355281829833984,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
LE70180512000281EDC00,2.7199996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,852.0,2000-10-07T16:02:32,281.6684361458333,408.0,"{blue=45.82098835531403, green=29.460702950463574, red=13.122420109954534, nir=6.483981886330773, swir1=0.54248852304676, swir2=0.12448178702855811, tir1=8.78620895785371, tir2=8.788550772010257}",30.680831909179688,"{lake_TIR=8.787246740988044, bkgd_BT=21.967714844927148, lake_BT=22.47138801949923, bkgd_TIR=8.722683152329381}","{blue=2450, green=2450, red=2450, nir=2450, swir1=2450, swir2=2450, tir1=2450, tir2=2450}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-87.559244,12.988704],[-87.574409,12.988504],[-87.574735,12.975943],[-87.559398,12.976990999999996],[-87.559244,12.988704]]]}"
