system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80100602013124LGN01,4.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,7893.0,2013-05-04T15:28:06,124.6445228587963,774.0,"{blue=39.73071428410738, green=21.717707292132264, red=10.648588761599441, nir=4.33074704496291, swir1=0.4066155528636452, swir2=0.09429428585472899, tir1=7.894664768335344, tir2=7.215380612280231}",29.98497772216797,"{lake_TIR=7.894664768335344, bkgd_BT=19.637062367364347, lake_BT=14.396844947676943, bkgd_TIR=8.582005908603305}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013156LGN00,5.219999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,10515.0,2013-06-05T15:28:20,156.64468393518518,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.967552185058594,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013172LGN00,5.010000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.263,7708.0,2013-06-21T15:28:12,172.6445904513889,524.0,"{blue=33.01909137954793, green=17.71305007899877, red=8.99768803353983, nir=3.561395607248859, swir1=0.45940496160058686, swir2=0.12148925674793076, tir1=7.6583366939933075, tir2=7.029150793816092}",35.0737419128418,"{lake_TIR=7.6583366939933075, bkgd_BT=16.007539291932112, lake_BT=12.527913392045116, bkgd_TIR=8.103522451455387}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013188LGN00,4.810000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,5884.0,2013-07-07T15:28:17,188.64464765046296,784.0,"{blue=35.04580895746203, green=19.088799649608386, red=9.49114720224954, nir=3.9231694494243428, swir1=0.4711790675747598, swir2=0.1204512202207947, tir1=7.756745164859945, tir2=7.11747877324212}",35.087589263916016,"{lake_TIR=7.756745164859945, bkgd_BT=13.70833211278136, lake_BT=13.312057611893634, bkgd_TIR=7.808681874099636}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013204LGN00,4.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,9581.0,2013-07-23T15:28:16,204.64463072916666,1.0,"{blue=35.58502985537052, green=20.4601139575243, red=10.872762602753937, nir=4.331057582050562, swir1=0.9518458175007254, swir2=0.20461639831773937, tir1=7.527593022794463, tir2=6.859527022810653}",33.926143646240234,"{lake_TIR=7.527593022794463, bkgd_BT=12.514175641281405, lake_BT=11.48187255859375, bkgd_TIR=7.657907111721272}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013220LGN00,5.410000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.27,9864.0,2013-08-08T15:28:18,220.64466380787036,1.0,"{blue=44.43625049199909, green=26.218926054425538, red=14.169369610026479, nir=5.721162098459899, swir1=0.9790965700522065, swir2=0.222330077085644, tir1=7.697700873715803, tir2=6.998554264428094}",31.741962432861328,"{lake_TIR=7.697700873715803, bkgd_BT=23.521061893113316, lake_BT=12.843841552734375, bkgd_TIR=9.111167360588757}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013236LGN00,5.660000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.273,8147.0,2013-08-24T15:28:20,236.64468707175925,554.0,"{blue=41.80994064862494, green=22.463160327546607, red=11.916047021232222, nir=4.508201917411511, swir1=0.5576131623164777, swir2=0.14552008537180547, tir1=7.50975976763663, tir2=6.861612455564885}",28.93755340576172,"{lake_TIR=7.50975976763663, bkgd_BT=23.08902739165367, lake_BT=11.33407521161792, bkgd_TIR=9.0548201797938}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013252LGN00,5.15,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.269,10515.0,2013-09-09T15:28:19,252.6446653125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.18289566040039,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013268LGN00,5.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.265,6264.0,2013-09-25T15:28:10,268.64456958333335,10.0,"{blue=40.091550414264205, green=22.580243790335953, red=11.696014091186225, nir=4.730648650787771, swir1=0.5546604107599705, swir2=0.14587218480883166, tir1=7.869680245197378, tir2=7.145301528356503}",24.334877014160156,"{lake_TIR=7.869680245197378, bkgd_BT=23.931420853755835, lake_BT=14.199325561523438, bkgd_TIR=9.179040223798008}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
LC80100602013284LGN00,5.669999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,6215.0,2013-10-11T15:28:11,284.64457243055557,3.0,"{blue=41.75400123031189, green=24.111390040876966, red=13.262815319001675, nir=4.1071823338667555, swir1=0.6048154626817753, swir2=0.23797618434764445, tir1=7.852435520035215, tir2=7.073860686970875}",24.154617309570312,"{lake_TIR=7.852435520035215, bkgd_BT=19.136468011482044, lake_BT=14.067454020182291, bkgd_TIR=8.519613508425552}","{blue=10515, green=10515, red=10515, nir=10515, swir1=10515, swir2=10515, tir1=10515, tir2=10515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-78.345229,0.290478],[-78.34663199999999,0.314568],[-78.377273,0.3144429999999999],[-78.378633,0.2905790000000001],[-78.345229,0.290478]]]}"
