system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81120662013119LGN01,4.789999389648438,"{shadow_count=67.0, cloud_count=409.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.023660000000000004, green=0.04708, red=0.059640000000000006, nir=0.0673, swir1=0.06578, swir2=0.0496}}",0.253,421.0,2013-04-29T02:00:51,119.08392408564815,7.0,"{blue=93.05097400237408, green=95.73807646094689, red=64.45365430361458, nir=11.720074594020844, swir1=1.3562440983951092, swir2=0.3214009110815823, tir1=8.601664401457779, tir2=7.906575936242007}",35.38936996459961,"{lake_TIR=8.601664401457779, bkgd_BT=19.889694525271047, lake_BT=19.80291748046875, bkgd_TIR=8.614360595054269}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013151LGN00,5.689999389648437,"{shadow_count=0.0, cloud_count=127.0, water_count=36.0, snow_count=0.0, lake_SR={blue=0.02431388888888889, green=0.045716666666666655, red=0.0516, nir=0.044491666666666665, swir1=0.04506388888888888, swir2=0.03311944444444443}}",0.252,428.0,2013-05-31T02:01:08,151.08412336805554,2.0,"{blue=103.03086114022881, green=131.0942907044664, red=105.21488026715815, nir=17.46012539952062, swir1=1.556112902238965, swir2=0.36669579945737496, tir1=8.447812998259906, tir2=7.640552656608634}",40.472389221191406,"{lake_TIR=8.447812998259906, bkgd_BT=19.214428567430886, lake_BT=18.650985717773438, bkgd_TIR=8.524632243077736}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013183LGN00,5.410000610351562,"{shadow_count=55.0, cloud_count=323.0, water_count=17.0, snow_count=0.0, lake_SR={blue=0.016664705882352943, green=0.03118823529411765, red=0.037035294117647055, nir=0.04411176470588235, swir1=0.044829411764705875, swir2=0.03442352941176471}}",0.251,406.0,2013-07-02T02:01:03,183.0840661111111,1.0,"{blue=95.15834350325167, green=116.8136284025386, red=93.92226815130562, nir=25.233254097402096, swir1=3.618659674655646, swir2=1.0154094235040247, tir1=8.174604416475631, tir2=7.484481209889054}",42.289310455322266,"{lake_TIR=8.174604416475631, bkgd_BT=19.34506695825349, lake_BT=16.572052001953125, bkgd_TIR=8.543235534371561}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013199LGN00,4.960000610351562,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,515.0,2013-07-18T02:01:03,199.08406380787036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.254608154296875,"{lake_TIR=null, bkgd_BT=18.117080688476562, lake_BT=null, bkgd_TIR=8.377129677101038}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013215LGN00,5.460000610351562,"{shadow_count=0.0, cloud_count=0.0, water_count=18.0, snow_count=0.0, lake_SR={blue=0.0169, green=0.030311111111111108, red=0.035722222222222225, nir=0.04436111111111111, swir1=0.04761666666666667, swir2=0.0377}}",0.253,433.0,2013-08-03T02:01:05,215.08408997685186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.91836929321289,"{lake_TIR=null, bkgd_BT=18.229327843912902, lake_BT=null, bkgd_TIR=8.396418597664464}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013247LGN00,2.9,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.27,515.0,2013-09-04T02:01:07,247.08411123842592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.580875396728516,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013279LGN00,3.0399993896484374,"{shadow_count=0.0, cloud_count=232.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.267,515.0,2013-10-06T02:00:58,279.0840071412037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.79743194580078,"{lake_TIR=null, bkgd_BT=25.028989114808464, lake_BT=null, bkgd_TIR=9.320902269002922}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013295LGN00,3.7100006103515626,"{shadow_count=8.0, cloud_count=284.0, water_count=1.0, snow_count=0.0, lake_SR={blue=0.1725, green=0.3452, red=0.3281, nir=0.0612, swir1=0.0443, swir2=0.0404}}",0.264,515.0,2013-10-22T02:00:52,295.08394626157406,2.0,"{blue=145.09376020543277, green=179.29696211591363, red=148.07128622569144, nir=32.22879632236436, swir1=4.2354693070519716, swir2=1.0821972770208959, tir1=9.537472424446605, tir2=8.59770174312871}",23.6007080078125,"{lake_TIR=9.537472424446605, bkgd_BT=24.034015832451587, lake_BT=26.58306884765625, bkgd_TIR=9.179687345916006}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013311LGN00,4.080000305175782,"{shadow_count=20.0, cloud_count=495.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.264,487.0,2013-11-07T02:00:49,311.083908900463,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.301223754882812,"{lake_TIR=null, bkgd_BT=23.30471683570788, lake_BT=null, bkgd_TIR=9.079100577690623}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662013343LGN00,5.4,"{shadow_count=38.0, cloud_count=263.0, water_count=8.0, snow_count=0.0, lake_SR={blue=0.08751250000000002, green=0.1800125, red=0.14198750000000002, nir=0.0325375, swir1=0.0305875, swir2=0.024099999999999996}}",0.253,491.0,2013-12-09T02:00:41,343.08381055555554,5.0,"{blue=138.87192206978798, green=169.45085070375353, red=117.16094764266163, nir=19.511352717876434, swir1=2.2810163638787344, swir2=0.5772755593061447, tir1=8.867067023762502, tir2=7.933311944245361}",28.554630279541016,"{lake_TIR=8.867067023762502, bkgd_BT=21.425904245087594, lake_BT=21.768035888671875, bkgd_TIR=8.821671510173474}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662014010LGN00,5.130000305175781,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.255,515.0,2014-01-10T02:00:20,10.083572939814815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.502132415771484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
LC81120662014026LGN00,5.25,"{shadow_count=0.0, cloud_count=515.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,512.0,2014-01-26T02:00:12,26.083472349537036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.709457397460938,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=515, green=515, red=515, nir=515, swir1=515, swir2=515, tir1=515, tir2=515}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[122.449926,-8.675199000000003],[122.44963700000004,-8.680746],[122.45691500000001,-8.680813],[122.45674999999999,-8.675301],[122.449926,-8.675199000000003]]]}"
