system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80180602013148LGN00,4.160000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,1116.0,2013-05-28T16:17:48,148.67902965277779,3277.0,"{blue=43.92376207850554, green=30.47274925267687, red=13.443760872364948, nir=3.7500376884504667, swir1=0.3905640460929055, swir2=0.09996065434234983, tir1=9.053019651230413, tir2=8.124555478393216}",33.101318359375,"{lake_TIR=9.053019651230413, bkgd_BT=32.6952192882024, lake_BT=23.111230686666183, bkgd_TIR=10.436093744010881}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013164LGN00,4.05,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.268,1236.0,2013-06-13T16:17:44,164.67898244212964,3382.0,"{blue=50.241656350410565, green=33.33593922036704, red=14.14000875208723, nir=3.1190731888888914, swir1=0.237419426492688, swir2=0.05305502813618954, tir1=9.099490544727585, tir2=8.20315609350269}",34.64582061767578,"{lake_TIR=9.099490544727585, bkgd_BT=31.767661056098483, lake_BT=23.45145437465061, bkgd_TIR=10.29759890860515}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013196LGN00,4.119999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.275,1263.0,2013-07-15T16:17:43,196.67897702546296,3341.0,"{blue=46.93619282410191, green=30.962374381768967, red=13.44401161341218, nir=3.3586360490366602, swir1=0.3170524135887605, swir2=0.07661316813875979, tir1=9.003568808952, tir2=8.119092989621974}",34.649044036865234,"{lake_TIR=9.003568808952, bkgd_BT=31.452470203947488, lake_BT=22.75580272429077, bkgd_TIR=10.25269982669035}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013212LGN00,4.1100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.278,1285.0,2013-07-31T16:17:44,212.6789916550926,3344.0,"{blue=43.283975209109485, green=29.51264279670306, red=12.195438588283173, nir=2.754715860515925, swir1=0.21541777000267898, swir2=0.05029993719828224, tir1=9.148322592285764, tir2=8.214334652052983}",32.93704605102539,"{lake_TIR=9.148322592285764, bkgd_BT=33.54385119725866, lake_BT=23.8004496724982, bkgd_TIR=10.565378156786824}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013228LGN00,4.160000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,5186.0,2013-08-16T16:17:45,228.67899635416666,419.0,"{blue=54.751220055680214, green=42.18732844277114, red=20.689852932712558, nir=6.574118042681455, swir1=1.0816049301799004, swir2=0.28867340101365907, tir1=8.943424966906449, tir2=7.990827861223937}",30.37757110595703,"{lake_TIR=8.943424966906449, bkgd_BT=29.75176772981847, lake_BT=22.31219591673348, bkgd_TIR=10.003739157691735}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013244LGN00,3.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.283,1915.0,2013-09-01T16:17:47,244.67902145833332,3254.0,"{blue=59.41385710410277, green=43.53567033594722, red=20.789682565828226, nir=6.758609352857459, swir1=0.9387543166709761, swir2=0.24034289138972761, tir1=9.147950704955544, tir2=8.203086604596045}",27.49695587158203,"{lake_TIR=9.147950704955544, bkgd_BT=34.7956399131683, lake_BT=23.798421905461307, bkgd_TIR=10.753695414929416}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013260LGN00,4.630000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.278,1844.0,2013-09-17T16:17:42,260.67896199074073,3328.0,"{blue=49.2686559575405, green=36.71728516459944, red=15.245324464340229, nir=3.317343468134333, swir1=0.31124930335947565, swir2=0.07563648689576369, tir1=9.1514719114224, tir2=8.18192759625194}",25.08673858642578,"{lake_TIR=9.1514719114224, bkgd_BT=34.131863296349174, lake_BT=23.8236242716129, bkgd_TIR=10.650754903382909}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013276LGN00,3.9100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.274,1947.0,2013-10-03T16:17:37,276.67891189814816,3325.0,"{blue=55.90761675447702, green=41.933933849153775, red=18.276483762211875, nir=4.740944546138854, swir1=0.5803383773266289, swir2=0.14752346933539257, tir1=9.226974700101428, tir2=8.25339874893469}",24.009132385253906,"{lake_TIR=9.226974700101428, bkgd_BT=35.96333358588133, lake_BT=24.36287848221628, bkgd_TIR=10.927718315098938}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013292LGN00,3.6800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,2002.0,2013-10-19T16:17:34,292.67887090277776,2836.0,"{blue=61.45290702262208, green=46.28217899969323, red=23.069857861562955, nir=8.046863251726954, swir1=1.297294111731587, swir2=0.34175199656323657, tir1=9.2133533596509, tir2=8.297512984579697}",24.75348663330078,"{lake_TIR=9.2133533596509, bkgd_BT=36.109878211524006, lake_BT=24.270334531625338, bkgd_TIR=10.951580599587809}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013308LGN00,2.830000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,1992.0,2013-11-04T16:17:29,308.67881431712965,3308.0,"{blue=67.17648651141126, green=48.06875272877875, red=22.02282398959713, nir=6.3342962219968815, swir1=0.8595391924951497, swir2=0.22761550528018992, tir1=9.370145667949073, tir2=8.466423033879138}",27.01507568359375,"{lake_TIR=9.370145667949073, bkgd_BT=39.128656844314136, lake_BT=25.383189338582604, bkgd_TIR=11.423760048943116}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013324LGN00,3.9899993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,1826.0,2013-11-20T16:17:21,324.6787261574074,3262.0,"{blue=52.830963191996, green=38.809235209101786, red=16.310037124544557, nir=4.013869299236565, swir1=0.4561942788251021, swir2=0.11606129702385974, tir1=9.099139077107587, tir2=8.172471047780606}",29.94894027709961,"{lake_TIR=9.099139077107587, bkgd_BT=33.690486378011165, lake_BT=23.44576076785894, bkgd_TIR=10.58386958677156}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
LC80180602013340LGN00,3.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,1805.0,2013-12-06T16:17:21,340.67872506944445,3259.0,"{blue=51.637897443645855, green=36.96702469830139, red=15.587164123432014, nir=3.797311140702573, swir1=0.40863142393816754, swir2=0.10063516992917579, tir1=8.985724159128784, tir2=8.094298870435763}",32.69575500488281,"{lake_TIR=8.985724159128784, bkgd_BT=32.311217130690046, lake_BT=22.624157802866222, bkgd_TIR=10.377420400138295}","{blue=7184, green=7184, red=7184, nir=7184, swir1=7184, swir2=7184, tir1=7184, tir2=7184}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-91.533192,-0.38174100000000005],[-91.534085,-0.3574550000000001],[-91.55586800000002,-0.357547],[-91.55601999999999,-0.38043700000000014],[-91.533192,-0.38174100000000005]]]}"
