system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80820702013244LGN00,3.230000305175781,"{shadow_count=15347.0, cloud_count=82400.0, water_count=2133.0, snow_count=0.0, lake_SR={blue=0.026679184247538665, green=0.030282231598687315, red=0.019152695733708383, nir=0.018620112517580865, swir1=0.017546460384435025, swir2=0.014656915142991079}}",0.257,102970.0,2013-09-01T22:57:18,244.95646850694445,1997.0,"{blue=49.56365610816146, green=29.31192756907965, red=15.611233853310175, nir=5.994329608553619, swir1=0.8350756100937864, swir2=0.20735017228398228, tir1=8.53079679090259, tir2=7.817357395563714}",35.997379302978516,"{lake_TIR=8.53079679090259, bkgd_BT=20.651538303388275, lake_BT=19.272981432598115, bkgd_TIR=8.7167651364567}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702013308LGN00,4.6399993896484375,"{shadow_count=6733.0, cloud_count=64313.0, water_count=4957.0, snow_count=0.0, lake_SR={blue=0.05578020980431716, green=0.07581042969538002, red=0.0523099858785555, nir=0.04426102481339518, swir1=0.04362271535202735, swir2=0.03462501513011898}}",0.243,99090.0,2013-11-04T22:57:01,308.9562615856481,1868.0,"{blue=66.59353392775523, green=52.73080605336084, red=29.139327663501, nir=10.409951872920729, swir1=1.8289600583957508, swir2=0.463962580987172, tir1=8.455073262852947, tir2=7.523526086673396}",23.670799255371094,"{lake_TIR=8.455073262852947, bkgd_BT=21.108250296955916, lake_BT=18.704797993890732, bkgd_TIR=8.77756296598528}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702013324LGN00,3.6399993896484375,"{shadow_count=9620.0, cloud_count=69494.0, water_count=7357.0, snow_count=0.0, lake_SR={blue=0.038735897784423046, green=0.05114394454261248, red=0.033948851434008484, nir=0.024401753432105565, swir1=0.02056839744461052, swir2=0.01727123827647137}}",0.261,95883.0,2013-11-20T22:56:53,324.95616974537035,4974.0,"{blue=62.80711970146379, green=46.01744733550101, red=23.923046591668644, nir=7.510402910679483, swir1=0.9267285530776804, swir2=0.2228000873049038, tir1=8.872524819123662, tir2=7.938501116365674}",24.542320251464844,"{lake_TIR=8.872524819123662, bkgd_BT=22.946286596154415, lake_BT=21.80772131170956, bkgd_TIR=9.028913225853842}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702013340LGN00,4.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,112675.0,2013-12-06T22:56:53,340.9561717361111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.363452911376953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702013356LGN00,4.419999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,112675.0,2013-12-22T22:56:43,356.9560605208333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.283039093017578,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702014007LGN00,3.019999694824219,"{shadow_count=8563.0, cloud_count=82160.0, water_count=2630.0, snow_count=0.0, lake_SR={blue=0.03639395437262357, green=0.05406650190114066, red=0.029582699619771877, nir=0.02390977186311787, swir1=0.01114828897338403, swir2=0.008587376425855513}}",0.251,103291.0,2014-01-07T22:56:34,7.955953009259259,2440.0,"{blue=69.11907941720861, green=52.253661533338246, red=27.802318805868385, nir=10.453857959471032, swir1=0.9844254505425524, swir2=0.21256092815637517, tir1=9.032506071892806, tir2=8.175922178427477}",29.787845611572266,"{lake_TIR=9.032506071892806, bkgd_BT=23.547080802971042, lake_BT=22.97479416894131, bkgd_TIR=9.112102659118333}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702014039LGN00,4.160000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,112675.0,2014-02-08T22:56:12,39.955702789351854,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.26544189453125,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702014055LGN00,5.75,"{shadow_count=20800.0, cloud_count=28491.0, water_count=13844.0, snow_count=0.0, lake_SR={blue=0.029425404507367667, green=0.044518585668882005, red=0.02238458537994798, nir=0.013729774631609397, swir1=0.009550931811615154, swir2=0.007396373880381405}}",0.247,90458.0,2014-02-24T22:55:59,55.955553252314814,17046.0,"{blue=54.38273157861735, green=39.99997420916881, red=18.985604245391855, nir=6.15110618812992, swir1=0.6879298364991965, swir2=0.15900875697846462, tir1=8.43666348612261, tir2=7.2304128869846656}",31.825927734375,"{lake_TIR=8.43666348612261, bkgd_BT=18.072761634193537, lake_BT=18.566305047509314, bkgd_TIR=8.373145208163665}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702014135LGN00,4.630000305175781,"{shadow_count=13544.0, cloud_count=88669.0, water_count=455.0, snow_count=61.0, lake_SR={blue=0.061969450549450585, green=0.0630373626373626, red=0.036386373626373605, nir=0.03154461538461538, swir1=0.021837582417582418, swir2=0.01716351648351648}}",0.255,111066.0,2014-05-15T22:54:48,135.9547293634259,448.0,"{blue=60.01379463169932, green=41.407640887141625, red=21.40946497096281, nir=8.461935020311753, swir1=1.0411632110439573, swir2=0.24705650397715676, tir1=8.173000554388377, tir2=7.234120576015682}",43.44087219238281,"{lake_TIR=8.173000554388377, bkgd_BT=16.99172447631078, lake_BT=16.558712482452393, bkgd_TIR=8.229759109228281}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
LC80820702014151LGN00,4.219999694824219,"{shadow_count=0.0, cloud_count=112675.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.26,112675.0,2014-05-31T22:54:52,151.9547724537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.902191162109375,"{lake_TIR=null, bkgd_BT=16.176640370445792, lake_BT=null, bkgd_TIR=8.12326906366777}","{blue=112675, green=112675, red=112675, nir=112675, swir1=112675, swir2=112675, tir1=112675, tir2=112675}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[167.479207,-14.233002000000003],[167.479015,-14.32143],[167.574563,-14.325458999999999],[167.573773,-14.235368],[167.479207,-14.233002000000003]]]}"
