system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51050291984151HAJ00,1.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.38,8218.0,1984-05-30T00:29:04,151.02019181712964,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.35965347290039,"{lake_TIR=null, bkgd_BT=2.2800431313005656, lake_BT=null, bkgd_TIR=6.302280696490304}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984167HAJ00,1.9600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.37008299595141697,7600.0,1984-06-15T00:29:22,167.0204020949074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.52591323852539,"{lake_TIR=null, bkgd_BT=11.5539325349894, lake_BT=null, bkgd_TIR=7.328863426219279}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984215HAJ00,4.339999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.291,5025.0,1984-08-02T00:30:24,215.02111887731482,23.0,"{blue=60.82692003250122, green=42.114960074424744, red=23.431531475937884, nir=9.764043626577958, swir1=0.7812153525326563, swir2=0.1606556131787922, tir1=8.50162626867709}",35.68433380126953,"{lake_TIR=8.50162626867709, bkgd_BT=22.378803265372493, lake_BT=21.277436629585598, bkgd_TIR=8.639373351958938}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984231HAJ00,1.85,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,5006.0,1984-08-18T00:30:55,231.02148037037037,39.0,"{blue=49.1402404491718, green=34.48685598373413, red=18.55847763403868, nir=7.721941672838652, swir1=0.7347910505456802, swir2=0.14582072981657127, tir1=8.641079892046177}",39.25281524658203,"{lake_TIR=8.641079892046177, bkgd_BT=22.745781675974527, lake_BT=22.37048574594351, bkgd_TIR=8.68598634208486}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984263HAJ00,1.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.309,8149.0,1984-09-19T00:31:11,263.02166,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.409576416015625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984279HAJ00,0.820001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,4972.0,1984-10-05T00:31:11,279.0216571412037,1121.0,"{blue=35.5850797592796, green=20.80517195804538, red=9.453228493230244, nir=4.547926387544406, swir1=0.21298307397740956, swir2=0.03846696528284599, tir1=7.469033936332715}",53.64940643310547,"{lake_TIR=7.469033936332715, bkgd_BT=8.906588687064353, lake_BT=12.760630489352769, bkgd_TIR=7.027032131764792}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984311HAJ00,0.570001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,4996.0,1984-11-06T00:31:01,311.02153979166667,1.0,"{blue=39.4316520690918, green=24.92629885673523, red=13.445670008659363, nir=4.622165679931641, swir1=0.8335433229804039, swir2=0.1777559220790863, tir1=6.830775551497936}",63.86392593383789,"{lake_TIR=6.830775551497936, bkgd_BT=4.107223600184093, lake_BT=7.1544189453125, bkgd_TIR=6.497817376159036}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984327HAJ00,0.5,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.35,4805.0,1984-11-22T00:30:57,327.02150003472224,439.0,"{blue=43.93680786054607, green=24.396212230782304, red=10.620512846390588, nir=4.845661463118359, swir1=0.21532232360171838, swir2=0.03649983967491054, tir1=6.547598640449294}",67.98684120178223,"{lake_TIR=6.547598640449294, bkgd_BT=1.251199698383217, lake_BT=4.570689207872117, bkgd_TIR=6.194170525324929}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291984343HAJ00,0.5600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.37,5339.0,1984-12-08T00:31:05,343.02158702546296,757.0,"{blue=41.70728580797364, green=23.26349980387064, red=10.402002938042544, nir=4.670769369901407, swir1=0.2518042200780135, swir2=0.04899157494149088, tir1=6.29217730401037}",70.85331535339355,"{lake_TIR=6.29217730401037, bkgd_BT=-2.6208973141831433, lake_BT=2.1845904694208222, bkgd_TIR=5.795683870709974}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
LT51050291985009HAJ00,0.220001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.4,8208.0,1985-01-09T00:31:22,9.021789479166667,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",71.4622802734375,"{lake_TIR=null, bkgd_BT=-9.000666001263786, lake_BT=null, bkgd_TIR=5.172812392825589}","{blue=8218, green=8218, red=8218, nir=8218, swir1=8218, swir2=8218, tir1=8218}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[145.522459,43.86071],[145.521927,43.882457],[145.481338,43.881382],[145.48131199999997,43.862502],[145.522459,43.86071]]]}"
