system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40150531987352XXX01,3.3899993896484375,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.246,1269.0,1987-12-18T15:16:48,352.63667314814813,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",47.13916015625,"{lake_TIR=null, bkgd_BT=-11.8592529296875, lake_BT=null, bkgd_TIR=4.948059037327766}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988003XXX03,4.260000610351563,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.239,1269.0,1988-01-03T15:17:28,3.6371401157407406,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",48.065799713134766,"{lake_TIR=null, bkgd_BT=-43.467570994055734, lake_BT=null, bkgd_TIR=2.50491699583831}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988035XXX03,3.6399993896484375,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,1267.0,1988-02-04T15:18:44,35.63801021990741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.837093353271484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988083XXX04,3.1100006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=205.0, snow_count=0.0, lake_SR={blue=0.042465365853658524, green=0.04835121951219514, red=0.050611707317073165, nir=0.05950634146341465, swir1=0.052205365853658474, swir2=0.04907707317073171}}",0.26,464.0,1988-03-23T15:20:16,83.63908136574074,2.0,"{blue=51.11897420883179, green=52.52165287733078, red=32.98661231994629, nir=8.12626028060913, swir1=0.6931692659854889, swir2=0.14675195515155792, tir1=7.467576725408435}",36.476810455322266,"{lake_TIR=7.467576725408435, bkgd_BT=13.910785928255066, lake_BT=11.754898071289062, bkgd_TIR=7.729212419276853}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988099XXX03,4.410000610351562,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.257,1269.0,1988-04-08T15:20:44,99.63940472222222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.99504470825195,"{lake_TIR=null, bkgd_BT=-0.3282368703037558, lake_BT=null, bkgd_TIR=6.102920347703201}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988131XXX15,4.160000610351562,"{shadow_count=0.0, cloud_count=0.0, water_count=139.0, snow_count=0.0, lake_SR={blue=0.048944604316546764, green=0.057471223021582724, red=0.05975539568345322, nir=0.06995035971223026, swir1=0.06362949640287771, swir2=0.057748201438848915}}",0.281,746.0,1988-05-10T15:21:40,131.64005288194446,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.6320915222168,"{lake_TIR=null, bkgd_BT=19.10755280942883, lake_BT=null, bkgd_TIR=8.379976133595454}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988259XXX03,4.869999694824219,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.296,1269.0,1988-09-15T15:24:50,259.6422499305556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.25112533569336,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988275XXX03,3.8899993896484375,"{shadow_count=0.0, cloud_count=1269.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.272,1263.0,1988-10-01T15:25:08,275.64245847222224,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.96229553222656,"{lake_TIR=null, bkgd_BT=3.8280029296875, lake_BT=null, bkgd_TIR=6.553905475884676}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531988339XXX02,4.230000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=208.0, snow_count=0.0, lake_SR={blue=0.03973365384615382, green=0.04855432692307696, red=0.04393461538461536, nir=0.048188461538461486, swir1=0.039011057692307685, swir2=0.03618317307692313}}",0.247,430.0,1988-12-04T15:26:13,339.6432115625,17.0,"{blue=57.851169389836926, green=63.38995747706469, red=32.15928952834185, nir=7.7655446599511535, swir1=0.564411741845748, swir2=0.1603288422612583, tir1=7.2086217723348565}",43.86640930175781,"{lake_TIR=7.2086217723348565, bkgd_BT=11.32816669141889, lake_BT=9.557818244485293, bkgd_TIR=7.417823097379294}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
LT40150531989005XXX02,4.039999389648438,"{shadow_count=392.0, cloud_count=877.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.255,642.0,1989-01-05T15:26:40,5.64352755787037,1.0,"{blue=56.21306848526001, green=58.52472364902496, red=37.00503730773926, nir=12.506378531455994, swir1=1.631259799003601, swir2=0.5753936767578125, tir1=7.163019642233849}",46.52180099487305,"{lake_TIR=7.163019642233849, bkgd_BT=7.389328218275501, lake_BT=9.17877197265625, bkgd_TIR=6.957041702916725}","{blue=1269, green=1269, red=1269, nir=1269, swir1=1269, swir2=1269, tir1=1269}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-83.854313,9.985448999999997],[-83.853405,9.976340999999998],[-83.843692,9.975932999999996],[-83.844098,9.985655],[-83.854313,9.985448999999997]]]}"
