system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80700192013112LGN01,0.5,"{shadow_count=2534.0, cloud_count=10346.0, water_count=0.0, snow_count=66.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.36,12946.0,2013-04-22T21:22:34,112.89067282407407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",46.99374771118164,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013144LGN00,1.2600006103515624,"{shadow_count=359.0, cloud_count=1206.0, water_count=2430.0, snow_count=8825.0, lake_SR={blue=0.10039312757201618, green=0.08779390946502086, red=0.054188559670781976, nir=0.02863860082304528, swir1=0.0027118930041152094, swir2=0.0018802469135802433}}",0.38,10442.0,2013-05-24T21:22:50,144.89086128472223,2110.0,"{blue=70.12111438681235, green=45.39078614170403, red=22.204646465125364, nir=6.157161713493943, swir1=0.17395272749913107, swir2=0.03490302032963218, tir1=6.726373783520299, tir2=6.32180729805419}",38.602195739746094,"{lake_TIR=6.726373783520299, bkgd_BT=null, lake_BT=4.802550228173134, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013160LGN00,1.1399993896484375,"{shadow_count=1655.0, cloud_count=1837.0, water_count=4871.0, snow_count=3949.0, lake_SR={blue=0.05949414904537076, green=0.06162098131800464, red=0.03091952371176339, nir=0.013753212892629789, swir1=0.00713274481625949, swir2=0.006513713816464795}}",0.36,7414.0,2013-06-09T21:22:48,160.8908407175926,5048.0,"{blue=57.19563162884278, green=39.42132174215119, red=18.586612746374286, nir=5.2613714354180265, swir1=0.4952096147654599, swir2=0.1334203580665039, tir1=6.583211068622344, tir2=6.24903970131485}",36.66260528564453,"{lake_TIR=6.583211068622344, bkgd_BT=null, lake_BT=3.5655319528232097, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013176LGN00,2.1399993896484375,"{shadow_count=161.0, cloud_count=648.0, water_count=6237.0, snow_count=4857.0, lake_SR={blue=0.05416358826358841, green=0.06560881834215193, red=0.03743920153920184, nir=0.02262528459195136, swir1=0.0102336379669713, swir2=0.009385794452461066}}",0.346,6776.0,2013-06-25T21:22:44,176.89078880787036,5599.0,"{blue=54.10402611627773, green=40.80913100810796, red=19.86385182734259, nir=6.559177990165622, swir1=0.5870162720774655, swir2=0.16339942357513024, tir1=6.87854622575351, tir2=6.390852418859912}",36.45804977416992,"{lake_TIR=6.87854622575351, bkgd_BT=null, lake_BT=6.105380364029849, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013192LGN00,1.129998779296875,"{shadow_count=4999.0, cloud_count=7916.0, water_count=0.0, snow_count=31.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.359,6850.0,2013-07-11T21:22:47,192.89082297453703,2029.0,"{blue=46.94596445347982, green=37.25303227642203, red=18.25184814717865, nir=6.242998763921631, swir1=0.6100895469544658, swir2=0.16638542860590322, tir1=6.703867025992456, tir2=6.4405636311555305}",37.936607360839844,"{lake_TIR=6.703867025992456, bkgd_BT=null, lake_BT=4.606005477341247, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013208LGN00,2.3399993896484377,"{shadow_count=8168.0, cloud_count=1720.0, water_count=2143.0, snow_count=290.0, lake_SR={blue=0.022767522165188986, green=0.03572361175921602, red=0.012339244050396655, nir=0.004172748483434427, swir1=0.002432151189920659, swir2=0.0024141390573961647}}",0.313,6362.0,2013-07-27T21:22:46,208.89082072916668,5750.0,"{blue=43.0055716727674, green=31.223884052730774, red=13.268863880611633, nir=3.415767322537692, swir1=0.2279984171955806, swir2=0.05343912534869236, tir1=7.505234222397067, tir2=7.016831580716752}",40.88903045654297,"{lake_TIR=7.505234222397067, bkgd_BT=25.23055005981023, lake_BT=11.294404594089674, bkgd_TIR=9.348181025222166}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013272LGN00,0.8600006103515625,"{shadow_count=0.0, cloud_count=12946.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.365,12946.0,2013-09-29T21:22:40,272.89074261574075,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",61.81644821166992,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013288LGN00,2.0899993896484377,"{shadow_count=0.0, cloud_count=12946.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.303,12946.0,2013-10-15T21:22:39,288.89073238425925,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",67.76840591430664,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013304LGN00,0.970001220703125,"{shadow_count=0.0, cloud_count=12557.0, water_count=105.0, snow_count=284.0, lake_SR={blue=0.03891047619047618, green=0.015672380952380955, red=-0.0054723809523809525, nir=-0.006352380952380951, swir1=0.0033076190476190475, swir2=0.010950476190476193}}",0.312,12732.0,2013-10-31T21:22:31,304.8906444907407,46.0,"{blue=32.29100549123857, green=18.580081593407236, red=10.708302923437694, nir=3.997944296580618, swir1=0.38038035127101466, swir2=0.11159736484177815, tir1=6.121300797476737, tir2=5.684486736282808}",73.25525665283203,"{lake_TIR=6.121300797476737, bkgd_BT=null, lake_BT=-0.5467914083729619, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013320LGN00,0.2899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,12946.0,2013-11-16T21:22:28,320.8906084722222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",77.83244228363037,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
LC80700192013336LGN00,0.3,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.25,12946.0,2013-12-02T21:22:25,336.8905681944444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",81.05447483062744,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12946, green=12946, red=12946, nir=12946, swir1=12946, swir2=12946, tir1=12946, tir2=12946}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-154.943223,58.277464],[-155.00483,58.27815999999999],[-155.00480500000003,58.249857],[-154.94058,58.24904],[-154.943223,58.277464]]]}"
