system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81120662013119LGN01,4.789999389648438,"{shadow_count=344.0, cloud_count=875.0, water_count=73.0, snow_count=0.0, lake_SR={blue=0.05382465753424659, green=0.04813698630136984, red=0.024505479452054803, nir=0.019253424657534247, swir1=0.014675342465753421, swir2=0.011002739726027394}}",0.254,1708.0,2013-04-29T02:00:51,119.08392408564815,155.0,"{blue=60.98348093777895, green=38.93965574785947, red=15.618180469988335, nir=4.814597730699085, swir1=0.6225591455736468, swir2=0.15576979142553624, tir1=8.641093852892217, tir2=7.954090565949258}",35.38936996459961,"{lake_TIR=8.641093852892217, bkgd_BT=19.080254280170003, lake_BT=20.09471002394153, bkgd_TIR=8.505298822280668}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013151LGN00,5.689999389648437,"{shadow_count=4.0, cloud_count=2081.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,1997.0,2013-05-31T02:01:08,151.08412336805554,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.472389221191406,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013183LGN00,5.410000610351562,"{shadow_count=46.0, cloud_count=2035.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,1943.0,2013-07-02T02:01:03,183.0840661111111,8.0,"{blue=38.68995467608329, green=20.142355428775772, red=10.158725590445101, nir=4.098335823509842, swir1=0.5113587017840473, swir2=0.14644878147373674, tir1=8.002366039916524, tir2=7.247533338959329}",42.289310455322266,"{lake_TIR=8.002366039916524, bkgd_BT=16.301134651089892, lake_BT=15.240371704101562, bkgd_TIR=8.139484524481102}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013199LGN00,4.960000610351562,"{shadow_count=0.0, cloud_count=2085.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,2085.0,2013-07-18T02:01:03,199.08406380787036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.254608154296875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013215LGN00,5.460000610351562,"{shadow_count=251.0, cloud_count=810.0, water_count=125.0, snow_count=0.0, lake_SR={blue=0.1217360000000001, green=0.13705039999999996, red=0.08061440000000002, nir=0.025363200000000002, swir1=0.013354399999999994, swir2=0.010032800000000001}}",0.253,1803.0,2013-08-03T02:01:05,215.08408997685186,114.0,"{blue=121.16756478963387, green=108.25628133138576, red=56.224720691927104, nir=11.438089840734998, swir1=1.2700743799714633, swir2=0.3069449167983533, tir1=9.517048107806323, tir2=8.44472311312443}",38.91836929321289,"{lake_TIR=9.517048107806323, bkgd_BT=16.24025086360191, lake_BT=26.403627897563734, bkgd_TIR=8.132046610900243}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013247LGN00,2.9,"{shadow_count=0.0, cloud_count=2085.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.27,2077.0,2013-09-04T02:01:07,247.08411123842592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.580875396728516,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013279LGN00,3.0399993896484374,"{shadow_count=0.0, cloud_count=0.0, water_count=286.0, snow_count=0.0, lake_SR={blue=0.11276468531468535, green=0.11029195804195804, red=0.04884475524475527, nir=0.02511153846153845, swir1=0.016415734265734252, swir2=0.012211888111888116}}",0.269,1779.0,2013-10-06T02:00:58,279.0840071412037,192.0,"{blue=109.62664336481248, green=84.22986468552942, red=32.74316554355513, nir=8.101438655425833, swir1=0.8696090048373056, swir2=0.20196589647821384, tir1=9.618437620558325, tir2=8.714680481270989}",24.79743194580078,"{lake_TIR=9.618437620558325, bkgd_BT=21.924019344482115, lake_BT=27.095455010732014, bkgd_TIR=8.888647640717204}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013295LGN00,3.7100006103515626,"{shadow_count=156.0, cloud_count=1096.0, water_count=9.0, snow_count=0.0, lake_SR={blue=0.03682222222222223, green=0.03272222222222222, red=0.023233333333333335, nir=0.03203333333333333, swir1=0.021411111111111113, swir2=0.016755555555555555}}",0.265,1975.0,2013-10-22T02:00:52,295.08394626157406,36.0,"{blue=110.63159614294354, green=97.17708783058657, red=43.40083231782127, nir=15.599645457333988, swir1=2.895583493201735, swir2=0.7506127023758987, tir1=9.74631035362836, tir2=8.726628715055995}",23.6007080078125,"{lake_TIR=9.74631035362836, bkgd_BT=21.234710104714107, lake_BT=28.037579854329426, bkgd_TIR=8.794620943124782}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013311LGN00,4.080000305175782,"{shadow_count=249.0, cloud_count=490.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,1809.0,2013-11-07T02:00:49,311.083908900463,90.0,"{blue=115.44639361053706, green=110.9213612837096, red=50.30389233864844, nir=19.26937901241084, swir1=2.964070438362089, swir2=0.7506886398342127, tir1=8.969480787753128, tir2=8.024633978249039}",24.301223754882812,"{lake_TIR=8.969480787753128, bkgd_BT=16.756575916582158, lake_BT=22.516016303168403, bkgd_TIR=8.199077481433859}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
LC81120662013343LGN00,5.4,"{shadow_count=314.0, cloud_count=1577.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.254,1812.0,2013-12-09T02:00:41,343.08381055555554,60.0,"{blue=55.04810416682934, green=34.31394761456177, red=16.275270485288154, nir=6.157062948898723, swir1=0.8940004772060396, swir2=0.22521872648212593, tir1=8.453149059857243, tir2=7.679074788140133}",28.554630279541016,"{lake_TIR=8.453149059857243, bkgd_BT=18.720368901756515, lake_BT=18.682530721028645, bkgd_TIR=8.457088438910239}","{blue=2085, green=2085, red=2085, nir=2085, swir1=2085, swir2=2085, tir1=2085, tir2=2085}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[121.80544400000001,-8.762079],[121.80441500000003,-8.771574999999999],[121.820101,-8.771347999999998],[121.821162,-8.761125],[121.80544400000001,-8.762079]]]}"
