system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81010272013106LGN01,0.879998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.424,132.0,2013-04-16T00:37:22,106.02595908564815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.96472930908203,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013170LGN00,3.480000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.359,132.0,2013-06-19T00:37:30,170.02604232638888,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.73908233642578,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013202LGN00,4.3,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.307,132.0,2013-07-21T00:37:31,202.0260546064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.906883239746094,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013218LGN00,1.3100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.308,98.0,2013-08-06T00:37:34,218.02609368055556,24.0,"{blue=49.771874385885894, green=30.317126601934433, red=12.611412274418399, nir=3.7296538262744434, swir1=0.5436607128649484, swir2=0.15649018360030217, tir1=8.684217794027063, tir2=7.914596738643013}",34.29888153076172,"{lake_TIR=8.684217794027063, bkgd_BT=26.731676327284948, lake_BT=20.412848154703777, bkgd_TIR=9.56339664962631}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013234LGN00,1.820001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.334,88.0,2013-08-22T00:37:35,234.02611099537037,21.0,"{blue=53.24089697384763, green=37.059533992161356, red=16.114128905703268, nir=4.915581314336686, swir1=0.5872349928277323, swir2=0.14623603286288148, tir1=8.02803380117153, tir2=7.393069525382349}",38.61853790283203,"{lake_TIR=8.02803380117153, bkgd_BT=23.288472796798846, lake_BT=15.432964506603422, bkgd_TIR=9.0761367808424}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013250LGN00,1.270001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.303,82.0,2013-09-07T00:37:35,250.02610347222222,26.0,"{blue=54.17120064476218, green=39.66355688425784, red=15.669023393617513, nir=3.693766410068537, swir1=0.44196785198381316, swir2=0.1221279502071691, tir1=7.537734710445735, tir2=6.988374015226817}",43.673702239990234,"{lake_TIR=7.537734710445735, bkgd_BT=21.396910254635028, lake_BT=11.559158325195312, bkgd_TIR=8.81654793998303}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013266LGN00,1.320001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.328,132.0,2013-09-23T00:37:28,266.02602069444447,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",49.228397369384766,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013282LGN00,1.020001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3,53.0,2013-10-09T00:37:27,282.0260080787037,31.0,"{blue=49.74001043506207, green=35.89465274349336, red=15.381255708664897, nir=3.7994180170278393, swir1=0.531373517779303, swir2=0.14202510745963082, tir1=6.707940325820668, tir2=6.308075296444698}",54.983543395996094,"{lake_TIR=6.707940325820668, bkgd_BT=null, lake_BT=4.651033463016633, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272013298LGN00,0.920001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.278,132.0,2013-10-25T00:37:19,298.0259218055556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",60.55632400512695,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
LC81010272014077LGN00,0.4899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.417,132.0,2014-03-18T00:36:01,77.02502217592593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",51.352848052978516,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=132, green=132, red=132, nir=132, swir1=132, swir2=132, tir1=132, tir2=132}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[152.477509,47.345585],[152.477675,47.34286999999999],[152.482411,47.342875],[152.482582,47.34587599999999],[152.477509,47.345585]]]}"
