system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51120381984184HAJ00,4.819999694824219,"{shadow_count=2717.0, cloud_count=26618.0, water_count=81.0, snow_count=0.0, lake_SR={blue=0.02673703703703704, green=0.023675308641975323, red=0.01382345679012346, nir=0.021971604938271595, swir1=0.010356790123456795, swir2=0.006285185185185186}}",0.293,32763.0,1984-07-02T01:16:26,184.05308299768518,16.0,"{blue=53.65563777089119, green=32.28106255084276, red=15.729368440806866, nir=7.140733674168587, swir1=0.7432775739580393, swir2=0.14088338101282716, tir1=8.00055162096396}",28.498119354248047,"{lake_TIR=8.00055162096396, bkgd_BT=18.1178708782948, lake_BT=17.225452423095703, bkgd_TIR=8.112239554132792}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381984200HAJ00,2.6100006103515625,"{shadow_count=2094.0, cloud_count=10806.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.297,32930.0,1984-07-18T01:16:43,200.05328175925925,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",29.79190444946289,"{lake_TIR=null, bkgd_BT=22.916271786979877, lake_BT=null, bkgd_TIR=8.709285022709489}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381984296HAJ00,0.95,"{shadow_count=0.0, cloud_count=0.0, water_count=701.0, snow_count=0.0, lake_SR={blue=0.022615406562054248, green=0.02115292439372329, red=0.011928815977175477, nir=0.020712838801711864, swir1=0.009220114122681896, swir2=0.0050489300998573395}}",0.258,31892.0,1984-10-22T01:17:58,296.0541461574074,51.0,"{blue=34.469012138890285, green=21.815228953081018, red=10.04762909225389, nir=4.587811811297548, swir1=0.3780847723577537, swir2=0.07107458322071562, tir1=7.483320317943306}",49.27086639404297,"{lake_TIR=7.483320317943306, bkgd_BT=13.081255223724632, lake_BT=12.881587608187806, bkgd_TIR=7.507453703665652}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381984312HAJ00,3.1,"{shadow_count=7242.0, cloud_count=9797.0, water_count=239.0, snow_count=0.0, lake_SR={blue=0.027973640167364037, green=0.026210878661087858, red=0.015500000000000054, nir=0.0260292887029289, swir1=0.016384518828451898, swir2=0.011311715481171512}}",0.263,29368.0,1984-11-07T01:17:51,312.05406372685184,7.0,"{blue=35.40362071990967, green=21.337457503591263, red=10.761159198624748, nir=4.622165679931641, swir1=0.7475759429591042, swir2=0.15902701233114516, tir1=7.447800291436059}",53.78562545776367,"{lake_TIR=7.447800291436059, bkgd_BT=15.180827354192079, lake_BT=12.573752267020089, bkgd_TIR=7.755177609339857}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381985010HAJ00,1.0600006103515625,"{shadow_count=2281.0, cloud_count=30553.0, water_count=0.0, snow_count=149.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.245,32304.0,1985-01-10T01:18:13,10.05432599537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",61.42657470703125,"{lake_TIR=null, bkgd_BT=1.0373110645475203, lake_BT=null, bkgd_TIR=6.171931821479738}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381985026HAJ00,0.6,"{shadow_count=5628.0, cloud_count=16257.0, water_count=26.0, snow_count=77.0, lake_SR={blue=0.06788846153846154, green=0.0697923076923077, red=0.06250384615384615, nir=0.0646, swir1=0.02126923076923077, swir2=0.013076923076923073}}",0.239,29238.0,1985-01-26T01:18:18,26.054382800925925,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",59.27114486694336,"{lake_TIR=null, bkgd_BT=-1.0585299695689925, lake_BT=null, bkgd_TIR=5.955518212988583}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381985074HAJ00,1.1,"{shadow_count=1000.0, cloud_count=27788.0, water_count=0.0, snow_count=61.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.27,33228.0,1985-03-15T01:18:20,74.05440734953704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.2319450378418,"{lake_TIR=null, bkgd_BT=-2.536869236680328, lake_BT=null, bkgd_TIR=5.804086844879584}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381985122HAJ00,1.679998779296875,"{shadow_count=3024.0, cloud_count=11733.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.314,32779.0,1985-05-02T01:18:05,122.05423407407407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.724903106689453,"{lake_TIR=null, bkgd_BT=15.664719040329391, lake_BT=null, bkgd_TIR=7.8142879011763915}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381985138HAJ00,1.85,"{shadow_count=2269.0, cloud_count=22065.0, water_count=141.0, snow_count=0.0, lake_SR={blue=0.035516312056737595, green=0.03607446808510639, red=0.024137588652482257, nir=0.03901914893617024, swir1=0.020221985815602837, swir2=0.013036170212765971}}",0.294,32774.0,1985-05-18T01:18:02,138.05419381944444,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",28.24420928955078,"{lake_TIR=null, bkgd_BT=11.324544682990878, lake_BT=null, bkgd_TIR=7.315214185266199}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
LT51120381985154HAJ00,2.9300003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,33331.0,1985-06-03T01:18:02,154.05419487268517,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",27.25733184814453,"{lake_TIR=null, bkgd_BT=-34.48395929401022, lake_BT=null, bkgd_TIR=3.112940631945521}","{blue=33331, green=33331, red=33331, nir=33331, swir1=33331, swir2=33331, tir1=33331}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[130.836024,31.959093],[130.837877,31.91704],[130.907043,31.917929999999995],[130.903619,31.959488999999998],[130.836024,31.959093]]]}"
