system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50990242007204MGR00,2.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.31,17990.0,2007-07-23T00:15:36,204.0108427314815,4864.0,"{blue=46.51862499965845, green=28.871885887004044, red=11.390985319660487, nir=6.084966684593574, swir1=0.2687637940781363, swir2=0.050858317298422516, tir1=7.814973532864793}",35.05851364135742,"{lake_TIR=7.799941544374993, bkgd_BT=28.740697639771952, lake_BT=15.557044073592785, bkgd_TIR=9.47514658927891}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242007220MGR00,1.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.333,21181.0,2007-08-08T00:15:26,220.01072711805554,767.0,"{blue=54.909550620415374, green=31.99017329943382, red=16.701460896912266, nir=7.14972804997704, swir1=0.6264146159668945, swir2=0.17510652611083127, tir1=6.989317060245451}",38.64934158325195,"{lake_TIR=6.989317060245451, bkgd_BT=3.3257116402691675, lake_BT=8.566134257608784, bkgd_TIR=6.4176749366558035}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242009193MGR00,2.0,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.337,18024.0,2009-07-12T00:10:47,193.00749833333333,333.0,"{blue=43.91675482748507, green=26.837002709105207, red=13.464480394715661, nir=6.284769124096936, swir1=0.3893527101736527, swir2=0.08366142956165222, tir1=6.943851618415064}",33.7327995300293,"{lake_TIR=6.881777933847747, bkgd_BT=23.182968139648438, lake_BT=7.5357103849712175, bkgd_TIR=8.741179073229432}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242009209MGR00,2.0399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.317,18431.0,2009-07-28T00:11:02,209.00767121527778,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",36.55207443237305,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242009225MGR00,1.529998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.312,26205.0,2009-08-13T00:11:16,225.00783064814814,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.43288040161133,"{lake_TIR=null, bkgd_BT=3.601959228515625, lake_BT=null, bkgd_TIR=6.443157445639372}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242009241MGR00,3.4300003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.277,27419.0,2009-08-29T00:11:31,241.00800732638888,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.16664505004883,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242011183MGR00,2.9899993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.307,26616.0,2011-07-02T00:11:13,183.00779453703703,4.0,"{blue=67.02149525284767, green=42.05385971069336, red=23.88543426990509, nir=9.659301668405533, swir1=1.0140748210251331, swir2=0.25969490222632885, tir1=6.553905475884676}",32.554588317871094,"{lake_TIR=6.553905475884676, bkgd_BT=8.171857075682723, lake_BT=4.6260833740234375, bkgd_TIR=6.944237994249253}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT50990242011215MGR00,2.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,18122.0,2011-08-03T00:10:57,215.0076073611111,218.0,"{blue=43.53379924882442, green=27.625114060323174, red=12.444793526732594, nir=6.137124010729133, swir1=0.2919488288462162, swir2=0.0553736654921956, tir1=7.7670536237093835}",37.81590270996094,"{lake_TIR=7.7670536237093835, bkgd_BT=27.875598329004365, lake_BT=15.27144377822176, bkgd_TIR=9.35622307809226}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT51000242007195MGR00,1.729998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.328,27407.0,2007-07-14T00:21:52,195.0151938425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.52524948120117,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
LT51000242007275MGR00,1.4100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.339,27419.0,2007-10-02T00:21:08,275.0146766203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",56.63047790527344,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=27419, green=27419, red=27419, nir=27419, swir1=27419, swir2=27419, tir1=27419}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[157.56438900000003,51.8376],[157.508369,51.83567300000001],[157.504784,51.780183999999984],[157.562845,51.780239],[157.56438900000003,51.8376]]]}"
