system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81080342013347LGN00,1.0100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.29635686274509804,107.0,2013-12-13T01:23:10,347.0577630208333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",62.95736503601074,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=107, green=107, red=107, nir=107, swir1=107, swir2=107, tir1=107, tir2=107}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080342013363LGN00,0.4100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3140611111111111,53.0,2013-12-29T01:23:01,363.0576617476852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",63.58662223815918,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=54, green=54, red=54, nir=54, swir1=54, swir2=54, tir1=54, tir2=54}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080342014030LGN00,0.979998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3333228070175438,91.0,2014-01-30T01:22:41,30.05742974537037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.34955596923828,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=91, green=91, red=91, nir=91, swir1=91, swir2=91, tir1=91, tir2=91}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080342014078LGN00,0.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3511888888888889,153.0,2014-03-19T01:22:03,78.05698778935185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",43.26776123046875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=153, green=153, red=153, nir=153, swir1=153, swir2=153, tir1=153, tir2=153}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080342014110LGN00,0.5600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3485106837606838,12.0,2014-04-20T01:21:31,110.05660978009259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.67584228515625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=12, green=12, red=12, nir=12, swir1=12, swir2=12, tir1=12, tir2=12}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080342014126LGN00,0.7600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3285666666666667,4.0,2014-05-06T01:21:14,126.05641813657408,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.219409942626953,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=4, green=4, red=4, nir=4, swir1=4, swir2=4, tir1=4, tir2=4}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080342015113LGN00,0.6699999809265137,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3335470588235294,508.0,2015-04-23T01:20:57,113.0562222800926,69.0,"{blue=291.7910301165412, green=250.79413306931764, red=152.79015972999775, nir=29.5600995345824, swir1=1.275633169439338, swir2=0.3275848850472898, tir1=7.812869134278077, tir2=7.359853633451681}",30.902782440185547,"{lake_TIR=7.812869134278077, bkgd_BT=null, lake_BT=13.754222040591033, bkgd_TIR=null}","{blue=514, green=514, red=514, nir=514, swir1=514, swir2=514, tir1=514, tir2=514}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080352013107LGN01,1.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3632450980392157,859.0,2013-04-17T01:23:49,107.05820989583333,49.0,"{blue=254.28816675573435, green=213.26535250596245, red=126.9299199398683, nir=36.99946358381789, swir1=3.2133973737636925, swir2=0.82666574139148, tir1=6.386456550585999, tir2=5.66886755210414}",31.390216827392578,"{lake_TIR=6.386456550585999, bkgd_BT=null, lake_BT=1.8379030811543366, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859, tir2=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080352013123LGN01,0.829998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3435047619047619,812.0,2013-05-03T01:23:48,123.05820020833333,61.0,"{blue=307.1669920238926, green=250.91622277352286, red=138.17313106405382, nir=24.965476957256676, swir1=1.85095211659123, swir2=0.5072435656902151, tir1=6.9966750737016286, tir2=6.602291562201333}",26.741363525390625,"{lake_TIR=6.9966750737016286, bkgd_BT=null, lake_BT=7.109467553310707, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859, tir2=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
LC81080352013139LGN01,1.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3405758928571429,859.0,2013-05-19T01:24:01,139.0583472222222,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.531814575195312,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=859, green=859, red=859, nir=859, swir1=859, swir2=859, tir1=859, tir2=859}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[138.53186500000004,36.645621],[138.531346,36.635583000000004],[138.539336,36.635653],[138.53939199999996,36.64572],[138.53186500000004,36.645621]]]}"
