system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51920301984248XXX03,2.169999694824219,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.312,80.0,1984-09-04T09:29:14,248.39530350694446,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.02227020263672,"{lake_TIR=null, bkgd_BT=23.126876659607618, lake_BT=null, bkgd_TIR=8.73447649836525}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301984296XXX02,1.0100006103515624,"{shadow_count=0.0, cloud_count=0.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.039380000000000005, green=0.06414, red=0.04884, nir=0.052000000000000005, swir1=0.0204, swir2=0.01094}}",0.321,73.0,1984-10-22T09:29:12,296.3952825231481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",58.21858596801758,"{lake_TIR=null, bkgd_BT=14.247490924337637, lake_BT=null, bkgd_TIR=7.643730295255132}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301984312XXX02,1.55,"{shadow_count=85.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.291,0.0,1984-11-07T09:29:05,312.3952003125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",63.07050323486328,"{lake_TIR=null, bkgd_BT=10.148065639614646, lake_BT=null, bkgd_TIR=7.167618176361681}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301985106XXX03,0.620001220703125,"{shadow_count=0.0, cloud_count=85.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.375,85.0,1985-04-16T09:29:27,106.39545579861111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.285457611083984,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301985122XXX04,1.5399993896484374,"{shadow_count=0.0, cloud_count=0.0, water_count=11.0, snow_count=0.0, lake_SR={blue=0.07088181818181817, green=0.1258181818181818, red=0.08676363636363636, nir=0.0761909090909091, swir1=0.04613636363636364, swir2=0.02866363636363636}}",0.373,74.0,1985-05-02T09:29:19,122.3953703125,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.46842575073242,"{lake_TIR=null, bkgd_BT=22.579951677368758, lake_BT=null, bkgd_TIR=8.665567067166492}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301985314FUI00,2.15,"{shadow_count=0.0, cloud_count=0.0, water_count=12.0, snow_count=0.0, lake_SR={blue=0.06508333333333333, green=0.089675, red=0.06721666666666666, nir=0.0502, swir1=0.04231666666666667, swir2=0.025475}}",0.265,70.0,1985-11-10T09:27:45,314.3942806365741,6.0,"{blue=35.29173096021017, green=28.452178080876667, red=17.099587500095367, nir=5.498189330101013, swir1=0.9538976550102234, swir2=0.19960631678501764, tir1=7.753675803542137}",63.981027603149414,"{lake_TIR=7.753675803542137, bkgd_BT=null, lake_BT=15.174540201822916, bkgd_TIR=null}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301986109XXX03,0.5399993896484375,"{shadow_count=0.0, cloud_count=85.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.446,85.0,1986-04-19T09:24:29,109.39201243055555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.085731506347656,"{lake_TIR=null, bkgd_BT=-20.894150226328172, lake_BT=null, bkgd_TIR=4.124328407981908}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301986125XXX04,1.85,"{shadow_count=13.0, cloud_count=69.0, water_count=0.0, snow_count=1.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.357,85.0,1986-05-05T09:24:06,125.39173752314815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.564327239990234,"{lake_TIR=null, bkgd_BT=9.29507107204861, lake_BT=null, bkgd_TIR=7.0707296170294285}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301986141XXX02,2.35,"{shadow_count=0.0, cloud_count=0.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.319,85.0,1986-05-21T09:23:39,141.39143493055556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.450992584228516,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
LT51920301986157XXX03,0.95,"{shadow_count=0.0, cloud_count=85.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.385,85.0,1986-06-06T09:23:11,157.39110619212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.928775787353516,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=85, green=85, red=85, nir=85, swir1=85, swir2=85, tir1=85}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[10.904263,43.275821],[10.899781999999998,43.275760999999996],[10.89969,43.273837],[10.904467999999998,43.273982000000004],[10.904263,43.275821]]]}"
