system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT40420341982319XXX03,0.5399993896484375,"{shadow_count=141320.0, cloud_count=222698.0, water_count=21018.0, snow_count=2489.0, lake_SR={blue=0.07213558378532645, green=0.07587974117423404, red=0.05629583214387574, nir=0.04631664287753693, swir1=0.012181706156627425, swir2=0.007798063564562574}}",0.294,221439.0,1982-11-15T18:01:50,319.75127597222223,8179.0,"{blue=36.45492519727764, green=31.034115657623918, red=16.61579260946792, nir=6.569896463441855, swir1=0.33818819254239596, swir2=0.070136082239439, tir1=6.635405951987682}",60.65736389160156,"{lake_TIR=6.635405951987682, lake_BT=4.543255568221111, bkgd_BT=null, bkgd_TIR=null}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341982351XXX02,0.85,"{shadow_count=0.0, cloud_count=387590.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.288,387590.0,1982-12-17T18:02:01,351.7514057638889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",66.1049976348877,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341983002XXX01,0.9,"{shadow_count=0.0, cloud_count=387590.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.28,387590.0,1983-01-02T18:02:22,2.7516452314814814,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",66.4336051940918,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341983018XXX05,1.1899993896484375,"{shadow_count=1934.0, cloud_count=385656.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.322,387330.0,1983-01-18T18:02:48,18.75194894675926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",64.94584655761719,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341983034XXX01,0.279998779296875,"{shadow_count=0.0, cloud_count=387590.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.337,387590.0,1983-02-03T18:02:59,34.752079421296294,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",61.7459716796875,"{lake_TIR=null, lake_BT=null, bkgd_BT=-16.774727344945248, bkgd_TIR=4.4997955912442125}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341983322XXX01,0.729998779296875,"{shadow_count=50117.0, cloud_count=329869.0, water_count=6712.0, snow_count=109.0, lake_SR={blue=0.05116869785458889, green=0.06723323897497034, red=0.0437671185935637, nir=0.03412903754469632, swir1=0.017087902264600833, swir2=0.01427809892729416}}",0.243,237435.0,1983-11-18T18:02:27,322.75170945601855,21340.0,"{blue=33.98272666332313, green=27.2379915404789, red=14.835486451643252, nir=5.909641300375035, swir1=0.4402980390813938, swir2=0.11869602414108149, tir1=6.669204866135844}",61.27255821228027,"{lake_TIR=6.669204866135844, lake_BT=4.85089850814519, bkgd_BT=null, bkgd_TIR=null}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341987317XXX03,1.579998779296875,"{shadow_count=470.0, cloud_count=387120.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.303,385170.0,1987-11-13T17:54:55,317.74647413194447,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",60.71341323852539,"{lake_TIR=null, lake_BT=null, bkgd_BT=-28.903893241229703, bkgd_TIR=3.564357522808719}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341989146XXX01,0.5899993896484375,"{shadow_count=1242.0, cloud_count=2515.0, water_count=181178.0, snow_count=0.0, lake_SR={blue=0.03324628707679805, green=0.05671086169402559, red=0.027582939981674697, nir=0.014376514256697039, swir1=0.005217131770965472, swir2=0.003961482630341462}}",0.346,204997.0,1989-05-26T18:07:07,146.75495099537036,178188.0,"{blue=41.774499189637716, green=36.346865661478574, red=16.075858892231896, nir=5.221023722284557, swir1=0.2692873437303559, swir2=0.06573088241882682, tir1=7.662270206284824}",28.12835693359375,"{lake_TIR=7.662270206284824, lake_BT=13.366799974130037, bkgd_BT=35.32690407102504, bkgd_TIR=10.60284191788437}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341989210XXX01,0.629998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=180737.0, snow_count=0.0, lake_SR={blue=0.04266010501447216, green=0.03978358111510328, red=0.022704909896705632, nir=0.016113790756731187, swir1=0.005437015110354487, swir2=0.0039975765891866475}}",0.294,206647.0,1989-07-29T18:07:13,210.75501206018518,171973.0,"{blue=44.0704074808584, green=27.75306968328494, red=13.363887405213616, nir=5.233644685161133, swir1=0.25069522167633934, swir2=0.061123463986420754, tir1=8.718558617556804}",31.478694915771484,"{lake_TIR=8.718558617556804, lake_BT=21.754216360822493, bkgd_BT=43.60847089152415, bkgd_TIR=11.843721726925335}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
LT40420341989226XXX01,0.45,"{shadow_count=0.0, cloud_count=0.0, water_count=179983.0, snow_count=0.0, lake_SR={blue=0.03613537667446424, green=0.03340706011122697, red=0.017160075673811503, nir=0.01108120378035532, swir1=0.004318972902996765, swir2=0.003283352316607342}}",0.296,207161.0,1989-08-14T18:07:11,226.7549970023148,174584.0,"{blue=39.99340975046955, green=24.354867162270413, red=10.988403198716075, nir=3.8488408798746296, swir1=0.18571428674508894, swir2=0.046425339838609636, tir1=8.579180644977647}",34.32637405395508,"{lake_TIR=8.579180644977647, lake_BT=20.682215135573728, bkgd_BT=40.4328995545971, bkgd_TIR=11.360280801988392}","{blue=387590, green=387590, red=387590, nir=387590, swir1=387590, swir2=387590, tir1=387590}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-119.146526,38.076980999999996],[-119.15273700000003,37.93133999999999],[-118.90689299999998,37.92850899999999],[-118.90747600000003,38.078012],[-119.146526,38.076980999999996]]]}"
