system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80440302013154LGN00,1.570001220703125,"{shadow_count=3494.0, cloud_count=0.0, water_count=8728.0, snow_count=0.0, lake_SR={blue=0.027210563703024583, green=0.02513583868010984, red=0.00931689963336395, nir=0.007483868010999141, swir1=0.005070061869844167, swir2=0.003800332263978011}}",0.313,19144.0,2013-06-03T18:46:32,154.78231502314816,10275.0,"{blue=44.15969184677296, green=26.066605735652495, red=10.747836019740488, nir=3.61790655118905, swir1=0.39218827400474365, swir2=0.09275526006176384, tir1=7.521169452929978, tir2=7.139626550453334}",25.560501098632812,"{lake_TIR=7.521169452929978, lake_BT=11.413064555889788, bkgd_BT=21.676897394953546, bkgd_TIR=8.862242872415703}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013170LGN00,1.470001220703125,"{shadow_count=934.0, cloud_count=26876.0, water_count=1414.0, snow_count=0.0, lake_SR={blue=0.035308840169731265, green=0.031010537482319626, red=0.02038783592644979, nir=0.01950565770862799, swir1=0.01677899575671852, swir2=0.016057991513437078}}",0.392,26392.0,2013-06-19T18:46:24,170.7822328125,210.0,"{blue=53.54708271708251, green=32.33714043167198, red=17.15866614197425, nir=6.674502054402339, swir1=1.0087235481566972, swir2=0.2840724798265867, tir1=7.079545271529683, tir2=6.653182332470481}",25.100425720214844,"{lake_TIR=7.079545271529683, lake_BT=7.804134841192337, bkgd_BT=4.030784700463824, bkgd_TIR=6.641316013181527}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013186LGN00,1.15,"{shadow_count=0.0, cloud_count=0.0, water_count=10436.0, snow_count=0.0, lake_SR={blue=0.02628111345343056, green=0.0235149770026831, red=0.008371569566883893, nir=0.005601571483326963, swir1=0.004089536220774272, swir2=0.0034636163280950512}}",0.319,19211.0,2013-07-05T18:46:28,186.78227293981482,10246.0,"{blue=42.612018914540776, green=24.741003979721913, red=10.097436814674921, nir=2.994649556929336, swir1=0.30938608373835536, swir2=0.08080482250183475, tir1=8.30372395918735, tir2=7.825314754626034}",26.107959747314453,"{lake_TIR=8.30372395918735, lake_BT=17.553073380436953, bkgd_BT=26.213928407641983, bkgd_TIR=9.494163332747608}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013202LGN00,1.320001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=10406.0, snow_count=0.0, lake_SR={blue=0.01943128964059205, green=0.015983374975975184, red=0.005244205266192681, nir=0.003282913703632648, swir1=0.0020916202191043755, swir2=0.0017085335383433178}}",0.305,19218.0,2013-07-21T18:46:26,202.78224900462962,10219.0,"{blue=38.432551582411406, green=20.919113413962165, red=8.600225581372491, nir=2.284123995688499, swir1=0.17307996415033788, swir2=0.04207392863612846, tir1=8.688344338674115, tir2=8.22057840027403}",28.32874298095703,"{lake_TIR=8.688344338674115, lake_BT=20.43976773468176, bkgd_BT=33.34515431033588, bkgd_TIR=10.535017375703767}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013218LGN00,1.329998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=10380.0, snow_count=0.0, lake_SR={blue=0.0312889402697493, green=0.02704349710982668, red=0.012694768786127289, nir=0.010334354527938412, swir1=0.002339576107899782, swir2=0.001301483622350699}}",0.309,19241.0,2013-08-06T18:46:29,218.7822901388889,9808.0,"{blue=49.275427702847004, green=29.797362886737275, red=14.873579513170297, nir=5.71594501646683, swir1=0.338071894015339, swir2=0.058301792843932485, tir1=8.455499770932047, tir2=7.948809110915392}",31.55917739868164,"{lake_TIR=8.455499770932047, lake_BT=18.704866633329654, bkgd_BT=27.814237624221214, bkgd_TIR=9.720691198100273}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013234LGN00,1.979998779296875,"{shadow_count=0.0, cloud_count=29908.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.307,29908.0,2013-08-22T18:46:31,234.78230921296296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.66419219970703,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013250LGN00,1.929998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=10410.0, snow_count=0.0, lake_SR={blue=0.018415417867435488, green=0.01662249759846295, red=0.006791431316042337, nir=0.004090470701248778, swir1=0.0018851681075888888, swir2=0.0014118635926994064}}",0.272,18986.0,2013-09-07T18:46:30,250.78229744212962,10194.0,"{blue=33.778989925848464, green=18.747257317802823, red=8.097596929649617, nir=2.131931813793222, swir1=0.12432547460869467, swir2=0.026461932218467044, tir1=8.10964160832995, tir2=7.585784984122255}",40.50700378417969,"{lake_TIR=8.10964160832995, lake_BT=16.068543258825656, bkgd_BT=20.841771077933075, bkgd_TIR=8.74804000908189}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013266LGN00,1.75,"{shadow_count=0.0, cloud_count=29908.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.342,29898.0,2013-09-23T18:46:23,266.78221127314816,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.87922286987305,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013282LGN00,0.8899993896484375,"{shadow_count=0.0, cloud_count=29908.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.305,29908.0,2013-10-09T18:46:22,282.7822034259259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",51.4925537109375,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
LC80440302013298LGN00,0.9600006103515625,"{shadow_count=21.0, cloud_count=0.0, water_count=10567.0, snow_count=1.0, lake_SR={blue=0.02324276521245405, green=0.019302167124065406, red=0.007559922399924468, nir=0.004647345509605461, swir1=0.002215624112804035, swir2=0.0016720071922022785}}",0.26,17210.0,2013-10-25T18:46:14,298.78211025462963,10281.0,"{blue=28.539287474842713, green=15.630845313125404, red=6.654098727984116, nir=1.7219700398043707, swir1=0.08827687688637932, swir2=0.017737378471434452, tir1=7.107689369638984, tir2=6.756668839758872}",56.95842742919922,"{lake_TIR=7.107689369638984, lake_BT=8.037796669091687, bkgd_BT=10.528128743469269, bkgd_TIR=7.412086135172347}","{blue=29908, green=29908, red=29908, nir=29908, swir1=29908, swir2=29908, tir1=29908, tir2=29908}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-121.192264,43.739738],[-121.277743,43.737876],[-121.28182299999997,43.702574000000006],[-121.193374,43.705635],[-121.192264,43.739738]]]}"
