system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT50720862003211HOA00,2.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.365,41710.0,2003-07-30T21:36:33,211.90038738425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",67.7756290435791,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862003227HOA00,0.9600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.33,27063.0,2003-08-15T21:36:48,227.9005613773148,167.0,"{blue=25.38023830780726, green=14.304129983136754, red=7.394357550643875, nir=3.1586291625828085, swir1=0.2036649625369175, swir2=0.061176870085165175, tir1=6.987281749928426}",63.77726173400879,"{lake_TIR=6.987281749928426, lake_BT=8.555252897525262, bkgd_BT=4.794407130673142, bkgd_TIR=6.572553618853873}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862003243HOA00,1.9709991455078124,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.361,33773.0,2003-08-31T21:37:06,243.90077069444445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",58.72305107116699,"{lake_TIR=null, lake_BT=null, bkgd_BT=1.2975326851953435, bkgd_TIR=6.198990457280114}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862003291HOA00,1.2,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.352,31932.0,2003-10-18T21:37:48,291.90125469907406,29.0,"{blue=39.5177513792597, green=23.477090210750184, red=12.041701711457351, nir=5.437773905951401, swir1=0.39362748866451197, swir2=0.09186126702818377, tir1=7.401700741900452}",42.02927017211914,"{lake_TIR=7.401700741900452, lake_BT=12.181369123787716, bkgd_BT=11.744493235101578, bkgd_TIR=7.3513728759935875}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862003323HOA00,0.9899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.316,30200.0,2003-11-19T21:38:14,323.9015555787037,116.0,"{blue=41.56435738041483, green=23.8516218538942, red=11.645710653272168, nir=5.354702697745685, swir1=0.35627614424146453, swir2=0.07603856741354384, tir1=7.61269483400573}",35.34236145019531,"{lake_TIR=7.61269483400573, lake_BT=13.985103212553879, bkgd_BT=14.25566595719589, bkgd_TIR=7.646641698445246}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862004022HOA00,1.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.284,32410.0,2004-01-22T21:38:40,22.90185650462963,244.0,"{blue=41.570309962649816, green=24.105812182191944, red=12.12358510836226, nir=5.487418547516963, swir1=0.3116790472117604, swir2=0.07351879323603677, tir1=8.100292930990213}",40.09543991088867,"{lake_TIR=8.100292930990213, lake_BT=18.046221498583183, bkgd_BT=16.341469947801045, bkgd_TIR=7.894834153567914}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862004038HOA00,2.7199996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.286,41836.0,2004-02-07T21:38:44,38.901899444444446,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",43.213661193847656,"{lake_TIR=null, lake_BT=null, bkgd_BT=-16.20294491269789, bkgd_TIR=4.527119000739919}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862004182HOA00,0.7899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.295,23710.0,2004-06-30T21:41:46,182.90401016203703,542.0,"{blue=20.566048256695492, green=12.208340605246624, red=6.02419183548966, nir=2.4676647100501397, swir1=0.15471824361664344, swir2=0.03443829628649233, tir1=7.142279928082744}",70.70029067993164,"{lake_TIR=7.142279928082744, lake_BT=9.926197066078327, bkgd_BT=5.750866359932737, bkgd_TIR=6.676689329438391}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862004246HOA00,0.920001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.339,31869.0,2004-09-02T21:43:21,246.9051098263889,910.0,"{blue=32.77304921431856, green=18.846232808553257, red=9.68276596724332, nir=4.564405878821572, swir1=0.2248942724296025, swir2=0.06070023615445409, tir1=6.966959118360019}",56.87578201293945,"{lake_TIR=6.966959118360019, lake_BT=8.374427745106455, bkgd_BT=6.026386951498705, bkgd_TIR=6.70675201320231}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
LT50720862004262HOA00,1.0899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.368,28874.0,2004-09-18T21:43:46,262.90540329861113,239.0,"{blue=33.72725689436103, green=19.45847537527523, red=10.305004525882929, nir=4.614834938089219, swir1=0.23277881205331333, swir2=0.05131619037070534, tir1=7.028870877564327}",51.08246994018555,"{lake_TIR=7.028870877564327, lake_BT=8.925009116966853, bkgd_BT=7.023980450100369, bkgd_TIR=6.8167628493377315}","{blue=41836, green=41836, red=41836, nir=41836, swir1=41836, swir2=41836, tir1=41836}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[176.37137799999996,-38.095298],[176.373421,-38.150498000000006],[176.443441,-38.15324700000001],[176.439915,-38.09655000000001],[176.37137799999996,-38.095298]]]}"
