system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71070311999246EDC00,2.3800003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.302,1818.0,1999-09-03T01:07:10,246.04665344907409,1529.0,"{blue=48.81705056474909, green=26.040719577851366, red=12.225373604938515, nir=5.877241743554314, swir1=0.3184220422475926, swir2=0.05885952423607469, tir1=8.48779497775106, tir2=8.479688561775468}",38.84368133544922,"{lake_TIR=8.487591070289485, lake_BT=20.15820990668403, bkgd_BT=20.331903410195117, bkgd_TIR=8.51032089957254}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070311999294EDC00,1.229998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.326,4575.0,1999-10-21T01:07:05,294.04659228009257,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",54.68025588989258,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.212117572859222, bkgd_TIR=7.383605427353405}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070311999326EDC01,1.029998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,1968.0,1999-11-22T01:07:02,326.04655618055557,147.0,"{blue=36.87969412284644, green=22.11837785706228, red=12.304805132807518, nir=5.192798144152375, swir1=0.46055127893175396, swir2=0.10390751474365896, tir1=6.939129088656838, tir2=6.933380170896346}",63.93424606323242,"{lake_TIR=6.933598939548521, lake_BT=7.348650764016544, bkgd_BT=9.48044325041291, bkgd_TIR=7.180068752459632}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000025EDC01,0.179998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.401,4652.0,2000-01-25T01:07:02,25.046556064814816,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",64.9799861907959,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000057EDC00,0.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.416,4652.0,2000-02-26T01:06:52,57.04643641203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.61888885498047,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000121SGS01,0.75,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.405,1697.0,2000-04-30T01:06:32,121.04620591435186,196.0,"{blue=47.37017178900388, green=27.82286850925611, red=14.49645109079322, nir=6.615567353915195, swir1=0.4219123566029023, swir2=0.08404906025650549, tir1=6.991041350007361, tir2=6.9939327570894845}",32.41337585449219,"{lake_TIR=6.971790077702867, lake_BT=7.679611884223091, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000137HAJ00,1.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.394,1737.0,2000-05-16T01:06:20,137.04607563657407,132.0,"{blue=57.379415000929974, green=34.26714350418611, red=17.54436042814544, nir=8.014805625785481, swir1=0.4936090235908826, swir2=0.10859725912186233, tir1=7.288554098174879, tir2=7.282372904772108}",28.639286041259766,"{lake_TIR=7.288554098174879, lake_BT=10.326965794418797, bkgd_BT=13.036932890080223, bkgd_TIR=7.611855609360049}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000169EDC00,1.929998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,1879.0,2000-06-17T01:06:05,169.04589387731482,20.0,"{blue=72.84212696552277, green=59.02326698899269, red=31.553229141235352, nir=13.752716571092606, swir1=0.7923308253288269, swir2=0.1306791003793478, tir1=8.348929195478558, tir2=8.336112150363624}",25.88916015625,"{lake_TIR=8.3019685652107, lake_BT=18.701934814453125, bkgd_BT=22.267300845242808, bkgd_TIR=8.761107976834198}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000185HIJ00,3.4699996948242187,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.341,2847.0,2000-07-03T01:05:52,185.04574217592594,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.736541748046875,"{lake_TIR=null, lake_BT=null, bkgd_BT=19.885455821295203, bkgd_TIR=8.452702484017461}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000233HAJ01,4.160000610351562,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.292,2489.0,2000-08-20T01:05:16,233.04533096064816,1.0,"{blue=59.9929141998291, green=35.1385822892189, red=16.757874488830566, nir=8.470078825950623, swir1=1.0195276886224747, swir2=0.22066925466060638, tir1=8.385826833546162, tir2=8.334251914173365}",35.404083251953125,"{lake_TIR=8.385826833546162, lake_BT=19.362701416015625, bkgd_BT=19.177027259323474, bkgd_TIR=8.36334504467334}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000249SGS00,1.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.294,2631.0,2000-09-05T01:05:01,249.04515216435186,867.0,"{blue=46.63037962814516, green=26.86661462944684, red=12.283689719995413, nir=5.5264293792751005, swir1=0.36527759017210104, swir2=0.0723185347438271, tir1=8.458716788583766, tir2=8.45976958099018}",39.902931213378906,"{lake_TIR=8.45461184352259, lake_BT=19.9007939205894, bkgd_BT=18.45002467725311, bkgd_TIR=8.270112754857394}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000265EDC01,2.05,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.279,3934.0,2000-09-21T01:04:41,265.04492793981484,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",44.98043441772461,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.060644598878982, bkgd_TIR=7.848204738710725}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000281EDC00,1.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.297,1745.0,2000-10-07T01:04:38,281.0448852314815,2248.0,"{blue=38.012210856553075, green=19.96741968653168, red=8.74053466701847, nir=4.165760224665187, swir1=0.20426017798987148, swir2=0.03660381019937398, tir1=7.890854150766103, tir2=7.8924954694188685}",50.39250946044922,"{lake_TIR=7.890435936360255, lake_BT=15.407824972401494, bkgd_BT=13.69386141907935, bkgd_TIR=7.681252951551156}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000297HAJ00,0.979998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.281,1921.0,2000-10-23T01:04:28,297.0447790509259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.75107955932617,"{lake_TIR=null, lake_BT=null, bkgd_BT=7.186634519401264, bkgd_TIR=6.915279081433299}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000313EDC00,0.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.295,4557.0,2000-11-08T01:04:31,313.0448146412037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",60.67682075500488,"{lake_TIR=null, lake_BT=null, bkgd_BT=-3.7187688095764546, bkgd_TIR=5.734850733160223}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000329EDC00,0.620001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,1764.0,2000-11-24T01:04:32,329.04482552083334,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",64.68132781982422,"{lake_TIR=null, lake_BT=null, bkgd_BT=3.1513267813180117, bkgd_TIR=6.46346185182096}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312000361EDC00,0.2100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.422,4652.0,2000-12-26T01:04:41,361.0449252199074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",68.26179504394531,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001027HAJ00,0.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.353,4652.0,2001-01-27T01:04:45,27.044971423611113,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",64.57536315917969,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001043EDC00,0.220001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.432,4652.0,2001-02-12T01:04:39,43.04490217592593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",60.280290603637695,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001075EDC00,0.479998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.432,4643.0,2001-03-16T01:04:30,75.04479646990741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.75595474243164,"{lake_TIR=null, lake_BT=null, bkgd_BT=-1.8982548511533666, bkgd_TIR=5.923028692565952}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001091EDC00,0.7,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.475,4652.0,2001-04-01T01:04:22,91.04470021990741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",42.563419342041016,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001107EDC01,1.1899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.399,1789.0,2001-04-17T01:04:21,107.044691875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.786781311035156,"{lake_TIR=null, lake_BT=null, bkgd_BT=11.119684463892227, bkgd_TIR=7.372646935093097}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001123HAJ00,1.1600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.359,4652.0,2001-05-03T01:04:18,123.0446588425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.93155288696289,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001139HAJ00,2.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.38,4652.0,2001-05-19T01:04:05,139.04450909722223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.438095092773438,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001155EDC00,1.879998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.363,1853.0,2001-06-04T01:03:55,155.04438899305555,60.0,"{blue=55.25557818015417, green=46.40192858576775, red=24.84973162015279, nir=10.085564374923706, swir1=0.8912035343547662, swir2=0.20823159106075764, tir1=7.880441003044447, tir2=7.880974362480144}",26.56317901611328,"{lake_TIR=7.844342015151467, lake_BT=15.028444562639509, bkgd_BT=17.865546818337695, bkgd_TIR=8.196616855747886}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001187HIJ00,3.2800003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.348,1991.0,2001-07-06T01:03:36,187.0441700462963,67.0,"{blue=76.6951473470944, green=57.14783100672622, red=31.909520134997013, nir=12.303843039185253, swir1=1.2455942192629201, swir2=0.32549943074361604, tir1=8.229625163572049, tir2=8.234854219231144}",27.329891204833984,"{lake_TIR=8.229625163572049, lake_BT=18.130003060867537, bkgd_BT=16.9112926781064, bkgd_TIR=8.077049508432546}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001203HAJ00,3.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.288,2767.0,2001-07-22T01:03:31,203.0441140509259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.478225708007812,"{lake_TIR=null, lake_BT=null, bkgd_BT=12.271315375843797, bkgd_TIR=7.509960501528693}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001235HAJ03,4.380000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.292,3410.0,2001-08-23T01:03:01,235.0437715162037,250.0,"{blue=60.868218148231506, green=34.457988598108294, red=17.384501274108885, nir=7.667505605220795, swir1=0.6772177479267121, swir2=0.16325114646553993, tir1=8.429030613392591, tir2=8.429793644905091}",36.39411926269531,"{lake_TIR=8.429030613392591, lake_BT=19.700918823242187, bkgd_BT=20.594264157371377, bkgd_TIR=8.543722706092629}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001251EDC00,3.0300003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.304,4652.0,2001-09-08T01:02:49,251.04363086805554,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.97379684448242,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001267EDC00,2.2600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.289,1644.0,2001-09-24T01:02:41,267.0435396875,1108.0,"{blue=40.14698810504232, green=21.65671119405905, red=9.792885992070827, nir=4.7871216989596395, swir1=0.2886336478623242, swir2=0.05316094599583519, tir1=7.925665938708971, tir2=7.931379823726921}",46.1009521484375,"{lake_TIR=7.922038340269712, lake_BT=15.664037275443555, bkgd_BT=16.469300166365322, bkgd_TIR=8.022010961690775}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001299EDC00,0.85,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.333,1681.0,2001-10-26T01:02:32,299.04342600694446,1069.0,"{blue=38.67772495334008, green=20.62458862390777, red=10.37153271049735, nir=4.495858153692465, swir1=0.2825134381916726, swir2=0.06532336328913944, tir1=7.301960676448495, tir2=7.301081258531789}",56.791934967041016,"{lake_TIR=7.30465620397606, lake_BT=10.544952809200351, bkgd_BT=7.602519444056919, bkgd_TIR=6.962632222367184}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001315EDC00,0.9399993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,2472.0,2001-11-11T01:02:41,315.04354140046297,1330.0,"{blue=34.28160725213531, green=17.786794601526477, red=8.531014147736972, nir=3.6445606523438503, swir1=0.23458814964930813, swir2=0.05415528864228636, tir1=7.095140896603129, tir2=7.097236807865644}",61.57155990600586,"{lake_TIR=7.095140896603129, lake_BT=8.752070193183153, bkgd_BT=6.812583738400611, bkgd_TIR=6.872587346379954}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001331HAJ00,0.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.38,4652.0,2001-11-27T01:02:47,331.0436104050926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",65.3571891784668,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312001363HAJ00,0.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.365,4576.0,2001-12-29T01:02:52,363.0436620138889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",68.35079383850098,"{lake_TIR=null, lake_BT=null, bkgd_BT=-5.875433140793445, bkgd_TIR=5.524245611287744}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
LE71070312002014EDC00,0.520001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.345,4616.0,2002-01-14T01:03:00,14.043754155092593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",67.1089096069336,"{lake_TIR=null, lake_BT=null, bkgd_BT=-3.773438094498275, bkgd_TIR=5.7293711436259285}","{blue=4652, green=4652, red=4652, nir=4652, swir1=4652, swir2=4652, tir1=4652, tir2=4652}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[141.099999,41.32710500000001],[141.074825,41.326831000000006],[141.074996,41.308896],[141.099837,41.308924000000005],[141.099999,41.32710500000001]]]}"
