system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71150662012146ASA00,3.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,0.0,2012-05-25T02:12:12,146.09181114583333,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.06027603149414,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=3337, green=1044, red=88, nir=0, swir1=0, swir2=0, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160661999181EDC00,4.089999389648438,"{shadow_count=0.0, cloud_count=0.0, water_count=14463.0, snow_count=0.0, lake_SR={blue=0.02942687547535072, green=0.03198682845882592, red=0.01766253889234598, nir=0.016957975523750314, swir1=0.01145518218903513, swir2=0.011065097144437229}}",0.252,11858.0,1999-06-30T02:16:29,181.09478163194444,11130.0,"{blue=34.15952103292203, green=22.187668295176525, red=9.256420674885273, nir=3.51950917678809, swir1=0.21909932643175126, swir2=0.05322718379712812, tir1=8.296546785345992, tir2=8.301085223284318}",43.91558837890625,"{lake_TIR=8.296546785345992, lake_BT=18.658450588832967, bkgd_BT=18.8867119972501, bkgd_TIR=8.342916493924266}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160661999325SGS00,5.069999694824219,"{shadow_count=7408.0, cloud_count=21937.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.2601098039215686,19676.0,1999-11-21T02:16:37,325.09488074074073,1344.0,"{blue=67.66906728063312, green=49.20052874048373, red=25.362503296562604, nir=11.394385809921438, swir1=1.331134497653693, swir2=0.3621934048132971, tir1=7.989796178204761, tir2=7.992045965006885}",27.852371215820312,"{lake_TIR=7.989796178204761, lake_BT=16.21113159542992, bkgd_BT=null, bkgd_TIR=null}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160661999341SGS00,4.589999389648438,"{shadow_count=2949.0, cloud_count=26396.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.257,23387.0,1999-12-07T02:16:41,341.09492712962964,247.0,"{blue=70.43812138735042, green=55.25458825141312, red=29.065104824328714, nir=12.755366808489748, swir1=1.581132170763093, swir2=0.42913859596981213, tir1=7.9966957859152, tir2=7.997835041329204}",30.035625457763672,"{lake_TIR=7.9966957859152, lake_BT=16.267000514968686, bkgd_BT=18.80207061767578, bkgd_TIR=8.314557093195617}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160662000120SGS00,4.969999694824219,"{shadow_count=0.0, cloud_count=29345.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,29098.0,2000-04-29T02:16:06,120.0945216087963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.31523513793945,"{lake_TIR=null, lake_BT=null, bkgd_BT=10.436366154597355, bkgd_TIR=7.291798963569677}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160662000184SGS00,4.880000305175781,"{shadow_count=0.0, cloud_count=0.0, water_count=13740.0, snow_count=0.0, lake_SR={blue=0.031246513828238606, green=0.03234785298398813, red=0.017177510917030632, nir=0.01868711062590955, swir1=0.012756513828239167, swir2=0.011514956331878125}}",0.258,12335.0,2000-07-02T02:15:26,184.09405876157408,10400.0,"{blue=35.269336576347165, green=22.732694556764685, red=9.846999717125525, nir=4.353107105482083, swir1=0.37588819871584955, swir2=0.09248393592854531, tir1=8.14630181663598, tir2=8.144364727675342}",44.08006286621094,"{lake_TIR=8.142924443808942, lake_BT=17.43950123666477, bkgd_BT=18.358975361668787, bkgd_TIR=8.270219434780437}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160662000232SGS00,4.430000305175781,"{shadow_count=263.0, cloud_count=160.0, water_count=13186.0, snow_count=0.0, lake_SR={blue=0.037454952222053625, green=0.039126035188836096, red=0.02246101926285461, nir=0.023172925830425704, swir1=0.014903534051267733, swir2=0.013246958895798088}}",0.258,13095.0,2000-08-19T02:14:51,232.09364859953703,7375.0,"{blue=41.33451096748093, green=28.444209236128856, red=12.648217653177552, nir=5.570484885765334, swir1=0.5094258045948158, swir2=0.1282729146914967, tir1=8.307742562317243, tir2=8.301027465226792}",37.7747917175293,"{lake_TIR=8.300386017760335, lake_BT=18.68819896376139, bkgd_BT=20.503874514860843, bkgd_TIR=8.547830503202212}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160662000312SGS00,4.330000305175782,"{shadow_count=3401.0, cloud_count=13307.0, water_count=8650.0, snow_count=0.0, lake_SR={blue=0.05311974566473995, green=0.04683423121387238, red=0.03437216184971058, nir=0.03463408092485508, swir1=0.028225248554914182, swir2=0.02698630057803394}}",0.259,14057.0,2000-11-07T02:14:07,312.0931377314815,2442.0,"{blue=55.72132347696243, green=37.46863426586627, red=18.905150390471913, nir=8.308927196249622, swir1=0.8514404651647118, swir2=0.22356340676289813, tir1=8.214154329425506, tir2=8.2164674261562}",26.983448028564453,"{lake_TIR=8.214154329425506, lake_BT=18.007116831686535, bkgd_BT=21.39605361476089, bkgd_TIR=8.654579877763084}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160662000344DKI01,4.510000610351563,"{shadow_count=0.0, cloud_count=29345.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.251,29345.0,2000-12-09T02:14:09,344.0931604976852,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.909725189208984,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
LE71160662000360EDC00,4.65,"{shadow_count=0.0, cloud_count=29345.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25661666666666666,29345.0,2000-12-25T02:14:15,360.0932362615741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.77374267578125,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=29345, green=29345, red=29345, nir=29345, swir1=29345, swir2=29345, tir1=29345, tir2=29345}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[116.434105,-8.386234999999994],[116.381508,-8.388297000000003],[116.386291,-8.429428],[116.433033,-8.432510000000004],[116.434105,-8.386234999999994]]]}"
