system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80960642013135LGN01,4.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,546.0,2013-05-15T00:21:22,135.01483855324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.767784118652344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013151LGN00,3.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,546.0,2013-05-31T00:21:27,151.01489988425925,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.035762786865234,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013167LGN00,4.930000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,546.0,2013-06-16T00:21:22,167.0148382060185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.52650451660156,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013183LGN00,4.539999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,546.0,2013-07-02T00:21:22,183.01484247685184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.87211990356445,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013199LGN00,4.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.251,546.0,2013-07-18T00:21:22,199.01484055555557,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.924930572509766,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013215LGN00,4.6100006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.259,546.0,2013-08-03T00:21:24,215.01486631944445,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.72893142700195,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013247LGN00,3.1800003051757812,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.271,546.0,2013-09-04T00:21:26,247.01488787037036,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.90966033935547,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013279LGN00,4.780000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,546.0,2013-10-06T00:21:17,279.0147836574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.216720581054688,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013295LGN00,3.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,546.0,2013-10-22T00:21:12,295.01472341435186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",23.74652862548828,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
LC80960642013343LGN00,4.369999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,429.0,2013-12-09T00:21:00,343.0145873032407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.85690689086914,"{lake_TIR=null, lake_BT=null, bkgd_BT=14.994930126048901, bkgd_TIR=7.970847566592663}","{blue=546, green=546, red=546, nir=546, swir1=546, swir2=546, tir1=546, tir2=546}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[148.082504,-5.409341],[148.082481,-5.4153730000000015],[148.089067,-5.415355],[148.088865,-5.409314999999997],[148.082504,-5.409341]]]}"
