system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC82140342013161LGN00,3.480000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.316,11157.0,2013-06-10T12:18:43,161.5130083564815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",22.29741668701172,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=11131, green=11168, red=11159, nir=11157, swir1=11205, swir2=11203, tir1=6889, tir2=6536}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342013177LGN01,1.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.306,251.0,2013-06-26T12:18:39,177.51296181712962,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",22.656875610351562,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=238, green=252, red=251, nir=251, swir1=268, swir2=267, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342013209LGN00,3.6199996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.309,2337.0,2013-07-28T12:18:42,209.5129925462963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",26.443851470947266,"{lake_TIR=null, lake_BT=null, bkgd_BT=20.642575449288174, bkgd_TIR=8.714561698015645}","{blue=2310, green=2347, red=2340, nir=2337, swir1=2380, swir2=2377, tir1=0, tir2=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342013225LGN00,2.5399993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.312,5341.0,2013-08-13T12:18:43,225.51300244212962,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.601253509521484,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=5315, green=5355, red=5346, nir=5341, swir1=5396, swir2=5390, tir1=1125, tir2=862}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342013241LGN00,2.7800003051757813,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.313,13117.0,2013-08-29T12:18:45,241.5130320486111,166.0,"{blue=59.84777422620163, green=41.864184219255506, red=20.38552523902561, nir=6.9699467488014735, swir1=0.9326392948860303, swir2=0.24086039871852621, tir1=8.518830519518815, tir2=7.814336708630435}",33.56062316894531,"{lake_TIR=8.518830519518815, lake_BT=19.185355050223215, bkgd_BT=null, bkgd_TIR=null}","{blue=13522, green=13560, red=13553, nir=13552, swir1=13597, swir2=13595, tir1=9218, tir2=8876}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342013289LGN00,1.4600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.307,8883.0,2013-10-16T12:18:34,289.5128993634259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",48.85588836669922,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=8857, green=8896, red=8885, nir=8883, swir1=8932, swir2=8927, tir1=4538, tir2=4168}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342013305LGN00,3.9,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.316,4356.0,2013-11-01T12:18:27,305.512816412037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",54.01573944091797,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.618017260469912, bkgd_TIR=7.795417752781222}","{blue=4331, green=4370, red=4360, nir=4356, swir1=4408, swir2=4404, tir1=479, tir2=320}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342014004LGN00,2.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.305,18529.0,2014-01-04T12:18:04,4.512550983796297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",63.31292915344238,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=18516, green=18547, red=18537, nir=18535, swir1=18581, swir2=18577, tir1=14282, tir2=13934}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342014068LGN00,1.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.327,14995.0,2014-03-09T12:17:16,68.51199975694445,76.0,"{blue=42.87796370595694, green=24.337293128237913, red=12.152672116301561, nir=4.733458471135236, swir1=0.5691767530040938, swir2=0.14759737842465065, tir1=null, tir2=null}",46.92315673828125,"{lake_TIR=null, lake_BT=null, bkgd_BT=9.254639172163166, bkgd_TIR=7.254447445947082}","{blue=15357, green=15394, red=15385, nir=15385, swir1=15428, swir2=15425, tir1=11059, tir2=10702}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
LC82140342014084LGN00,1.079998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,13868.0,2014-03-25T12:17:01,84.51182391203703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.78714370727539,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=13844, green=13879, red=13871, nir=13868, swir1=13915, swir2=13912, tir1=9509, tir2=9152}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-25.758367000000003,37.837439],[-25.754306,37.881925],[-25.816631,37.879807],[-25.819213,37.835392],[-25.758367000000003,37.837439]]]}"
