system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51100662007025ASA00,5.2,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.249,0.0,2007-01-25T01:41:39,25.0705975,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.246559143066406,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=421, green=58, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51100662007041ASA00,4.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.252,0.0,2007-02-10T01:41:42,41.07062765046296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.91748809814453,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=505, green=171, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51100662007105ASA00,5.419999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.247,0.0,2007-04-15T01:41:30,105.07049711805556,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",34.700523376464844,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=514, green=331, red=0, nir=0, swir1=0, swir2=0, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987249ASA00,3.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,926.0,1987-09-06T01:19:31,249.05522796296296,145.0,"{blue=100.5049411806567, green=88.15503990896816, red=57.26388055620522, nir=16.463588813255573, swir1=0.9738183720358486, swir2=0.26771927131661055, tir1=9.046499935922952}",39.20507049560547,"{lake_TIR=9.046499935922952, lake_BT=25.554644775390624, bkgd_BT=28.718803047953504, bkgd_TIR=9.465439357258008}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987265ASA00,3.5,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.273,900.0,1987-09-22T01:19:54,265.0554924537037,236.0,"{blue=116.16337354708526, green=106.96461900361514, red=68.12172351247173, nir=16.81225748991562, swir1=1.0064251812774752, swir2=0.2552507541505462, tir1=9.14264068286866}",35.77202606201172,"{lake_TIR=9.14264068286866, lake_BT=26.29117157499669, bkgd_BT=28.462904254209647, bkgd_TIR=9.431602688342323}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987281ASA00,2.7899993896484374,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.276,923.0,1987-10-08T01:20:14,281.0557213425926,180.0,"{blue=112.61874388853708, green=101.34238545828396, red=71.2587645398246, nir=23.578344109985565, swir1=1.7161417578657467, swir2=0.4920374325993988, tir1=9.162944488413633}",33.15351486206055,"{lake_TIR=9.162944488413633, lake_BT=26.44692145453559, bkgd_BT=28.93123927058152, bkgd_TIR=9.493601468193084}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987297ASA00,2.7600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.268,922.0,1987-10-24T01:20:29,297.05590166666667,218.0,"{blue=126.96742508170802, green=115.73992779550203, red=77.87050881899825, nir=21.580054687797478, swir1=1.1841167213241441, swir2=0.303746500727507, tir1=9.565185059733484}",31.94057846069336,"{lake_TIR=9.565185059733484, lake_BT=29.48736292287844, bkgd_BT=32.13928962476326, bkgd_TIR=9.9301483768845}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987313ASA00,3.980000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.264,999.0,1987-11-09T01:20:51,313.05614711805555,22.0,"{blue=123.37948723272844, green=106.84289060397582, red=72.28797766295347, nir=24.213240038264882, swir1=2.3543844277208503, swir2=0.6634306044063785, tir1=8.768866080790758}",32.279457092285156,"{lake_TIR=8.768866080790758, lake_BT=23.394710193980824, bkgd_BT=22.505292010563675, bkgd_TIR=8.67379743117158}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987329ASA00,4.130000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.256,921.0,1987-11-25T01:21:09,329.0563590625,217.0,"{blue=134.58229122073968, green=121.94078446753014, red=80.49589789298273, nir=21.827754606299685, swir1=1.2872292381895851, swir2=0.33755581331555196, tir1=8.936519204917866}",33.793460845947266,"{lake_TIR=8.936519204917866, lake_BT=24.706160866170435, bkgd_BT=25.856017424545144, bkgd_TIR=9.086622578659973}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
LT51110661987345ASA00,4.789999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.255,904.0,1987-12-11T01:21:22,345.0565082638889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",35.763999938964844,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.627149309430804, bkgd_TIR=7.807731389733298}","{blue=1138, green=1138, red=1138, nir=1138, swir1=1138, swir2=1138, tir1=1138}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[124.135081,-8.492944],[124.12577200000001,-8.492389],[124.124868,-8.501354],[124.13561599999998,-8.500764000000004],[124.135081,-8.492944]]]}"
