system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81210652013134LGN01,5.569999694824219,"{shadow_count=0.0, cloud_count=310.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,310.0,2013-05-14T02:56:15,134.12240363425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.781761169433594,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013150LGN00,5.060000610351563,"{shadow_count=0.0, cloud_count=307.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.249,307.0,2013-05-30T02:56:21,150.12247351851852,5.0,"{blue=204.0370462834835, green=190.91471370812505, red=131.13169108703732, nir=30.922267806716263, swir1=3.0466172724263743, swir2=0.7815048090997152, tir1=8.027355852397159, tir2=7.237774696038104}",39.131168365478516,"{lake_TIR=8.027355852397159, lake_BT=15.434521484375, bkgd_BT=14.616011186079545, bkgd_TIR=7.922374486425807}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013166LGN00,5.1,"{shadow_count=0.0, cloud_count=310.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,310.0,2013-06-15T02:56:16,166.12241716435184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.68973922729492,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013182LGN00,4.930000305175781,"{shadow_count=0.0, cloud_count=310.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.252,310.0,2013-07-01T02:56:16,182.12241324074074,5.0,"{blue=167.07024450507015, green=152.31003396958113, red=103.6851868569851, nir=32.647265690565106, swir1=3.5988053251057863, swir2=0.9585271627409384, tir1=6.953504090942443, tir2=6.1800982194254175}",41.09065628051758,"{lake_TIR=6.953504090942443, lake_BT=6.746954345703125, bkgd_BT=null, bkgd_TIR=null}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013198LGN00,4.989999389648437,"{shadow_count=0.0, cloud_count=310.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.259,310.0,2013-07-17T02:56:16,198.12241655092592,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.1753044128418,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013214LGN00,4.75,"{shadow_count=0.0, cloud_count=310.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.256,303.0,2013-08-02T02:56:18,214.1224382175926,13.0,"{blue=149.7348827412352, green=131.70276561150183, red=90.1967948358506, nir=24.669537086899464, swir1=2.781595191094451, swir2=0.726757136975021, tir1=8.147739869972261, tir2=7.456177032185503}",37.975914001464844,"{lake_TIR=8.147739869972261, lake_BT=16.364830603966347, bkgd_BT=null, bkgd_TIR=null}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013230LGN00,4.530000305175781,"{shadow_count=85.0, cloud_count=225.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.265,236.0,2013-08-18T02:56:19,230.12244681712963,66.0,"{blue=142.14844979616728, green=120.45763771269809, red=77.60629094459794, nir=16.40379267886535, swir1=1.0912455148839701, swir2=0.2716366881240075, tir1=8.481086162765594, tir2=7.779397607262416}",34.74777603149414,"{lake_TIR=8.481086162765594, lake_BT=18.90080214991714, bkgd_BT=16.6232590109615, bkgd_TIR=8.181383297318432}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013246LGN00,4.569999694824219,"{shadow_count=50.0, cloud_count=229.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.267,250.0,2013-09-03T02:56:20,246.12246293981482,94.0,"{blue=194.64035641475323, green=176.80153685426737, red=117.81048142478029, nir=26.18665383476764, swir1=1.655396392623438, swir2=0.36348323773919666, tir1=8.46722149130383, tir2=7.738633275330512}",30.94884490966797,"{lake_TIR=8.46722149130383, lake_BT=18.797327569190493, bkgd_BT=16.88250178663229, bkgd_TIR=8.2151352583193}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013262LGN00,4.6399993896484375,"{shadow_count=38.0, cloud_count=272.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.262,264.0,2013-09-19T02:56:15,262.12239694444446,12.0,"{blue=111.25516461301595, green=83.58261411132601, red=51.7843940006569, nir=15.165041837375611, swir1=1.4564711531468977, swir2=0.35815615018752095, tir1=8.76903499441687, tir2=8.287257700198097}",27.27090072631836,"{lake_TIR=8.76903499441687, lake_BT=21.045486450195312, bkgd_BT=20.20958578510649, bkgd_TIR=8.656627926054732}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
LC81210652013310LGN00,4.910000610351562,"{shadow_count=0.0, cloud_count=310.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.269,310.0,2013-11-06T02:56:03,310.1222588657407,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.547340393066406,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.376189607014588, bkgd_TIR=7.148101681706571}","{blue=310, green=310, red=310, nir=310, swir1=310, swir2=310, tir1=310, tir2=310}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[108.067907,-7.208237000000002],[108.063369,-7.208324000000001],[108.062913,-7.213352000000002],[108.067798,-7.212888000000002],[108.067907,-7.208237000000002]]]}"
