system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51000262009168MGR00,1.7600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.369,48290.0,2009-06-17T00:17:20,168.01204098379628,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",30.20599365234375,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51000262011190MGR00,3.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.312,75081.0,2011-07-09T00:18:09,190.01261489583334,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",31.45069122314453,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010251987050HAJ00,0.279998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.464,7553.0,1987-02-19T23:55:44,50.99704582175926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",66.84289169311523,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=7552, green=7555, red=7551, nir=7553, swir1=7666, swir2=7671, tir1=2105}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010252007186MGR00,2.95,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.344,10674.0,2007-07-05T00:28:31,186.01981214120372,14.0,"{blue=46.2347688632352, green=28.296064019203186, red=14.937064903123039, nir=6.374212980270386, swir1=0.7991563709718841, swir2=0.173073694642101, tir1=null}",31.446151733398438,"{lake_TIR=null, lake_BT=null, bkgd_BT=22.826480006040793, bkgd_TIR=8.697076843793802}","{blue=12169, green=12171, red=12163, nir=12160, swir1=12197, swir2=12199, tir1=4798}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010252007202MGR00,2.230000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,9475.0,2007-07-21T00:28:23,202.01971635416666,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.70624923706055,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=9485, green=9485, red=9476, nir=9475, swir1=9507, swir2=9509, tir1=2948}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010252009191MGR00,1.729998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.325,11038.0,2009-07-10T00:23:31,191.01633628472223,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",32.54119110107422,"{lake_TIR=null, lake_BT=null, bkgd_BT=3.54479482542861, bkgd_TIR=6.437086755341914}","{blue=11047, green=11051, red=11038, nir=11038, swir1=11073, swir2=11075, tir1=4084}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010252009271MGR00,1.620001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,8908.0,2009-09-28T00:24:41,271.0171450578704,4.0,"{blue=35.62259802222252, green=18.882835388183594, red=9.530758410692215, nir=4.622165679931641, swir1=0.4123031608760357, swir2=0.07942914590239525, tir1=null}",54.31190872192383,"{lake_TIR=null, lake_BT=null, bkgd_BT=8.491365051269531, bkgd_TIR=6.980362300683434}","{blue=10025, green=10026, red=10017, nir=10017, swir1=10048, swir2=10051, tir1=3541}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010252010258MGR00,2.2,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.304,948.0,2010-09-15T00:24:58,258.01734193287035,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",49.62928771972656,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=952, green=952, red=948, nir=948, swir1=982, swir2=982, tir1=0}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010261985189HAJ00,1.079998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.395,47349.0,1985-07-08T00:05:08,189.00357224537038,5068.0,"{blue=45.15617767928996, green=26.230501962606606, red=13.335051354194308, nir=6.21501452292903, swir1=0.22597717644313045, swir2=0.04285086084218974, tir1=6.230151047688286}",33.56000518798828,"{lake_TIR=6.230151047688286, lake_BT=1.5907184025765218, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LT51010261985269HAJ00,1.220001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,75081.0,1985-09-26T00:04:19,269.0030050115741,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",53.84556198120117,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
