system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71100591999283EDC01,4.580000305175782,"{shadow_count=133.0, cloud_count=234.0, water_count=872.0, snow_count=0.0, lake_SR={blue=0.024873279816513775, green=0.0268246559633028, red=0.017994380733944947, nir=0.02891605504587167, swir1=0.016919380733944944, swir2=0.013439220183486244}}",0.258843137254902,1729.0,1999-10-10T01:36:57,283.0673359837963,1.0,"{blue=49.09055185317993, green=28.748031198978424, red=14.892913818359375, nir=7.055511713027954, swir1=0.6408662497997284, swir2=0.22066925466060638, tir1=8.5200000628829, tir2=8.5574802570045}",26.471317291259766,"{lake_TIR=null, lake_BT=null, bkgd_BT=19.94736328125, bkgd_TIR=8.460580489890916}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592000126EDC00,5.210000610351562,"{shadow_count=560.0, cloud_count=1138.0, water_count=156.0, snow_count=0.0, lake_SR={blue=0.028362179487179492, green=0.03497435897435897, red=0.020932692307692305, nir=0.034553205128205144, swir1=0.018442948717948694, swir2=0.013922435897435895}}",0.258,2287.0,2000-05-05T01:36:09,126.06677488425926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.201663970947266,"{lake_TIR=null, lake_BT=null, bkgd_BT=16.93158078661152, bkgd_TIR=8.079333084178906}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592000158SGS00,4.910000610351562,"{shadow_count=635.0, cloud_count=878.0, water_count=478.0, snow_count=0.0, lake_SR={blue=0.02509205020920502, green=0.031486610878661093, red=0.01830920502092047, nir=0.030172803347280206, swir1=0.016944142259414197, swir2=0.013136820083681965}}",0.253,1870.0,2000-06-06T01:35:46,158.06651217592594,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",34.82362747192383,"{lake_TIR=null, lake_BT=null, bkgd_BT=17.938745498657227, bkgd_TIR=8.20553155662492}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592000302EDC00,5.480000305175781,"{shadow_count=214.0, cloud_count=214.0, water_count=5.0, snow_count=0.0, lake_SR={blue=0.04834, green=0.055299999999999995, red=0.04606, nir=0.0619, swir1=0.040179999999999993, swir2=0.03132}}",0.239,1842.0,2000-10-28T01:34:15,302.0654568287037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.88007354736328,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.129341867499221, bkgd_TIR=7.612908729386895}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592000318EDC00,5.119999694824219,"{shadow_count=396.0, cloud_count=2145.0, water_count=160.0, snow_count=0.0, lake_SR={blue=0.019601875, green=0.030380624999999974, red=0.01169687500000001, nir=0.012753124999999973, swir1=0.005308125000000005, swir2=0.003896875}}",0.242,2143.0,2000-11-13T01:34:16,318.0654645833333,328.0,"{blue=45.325058237808506, green=31.16884209215641, red=13.530203734956137, nir=6.073446910919213, swir1=0.45153553038835526, swir2=0.10517029103073405, tir1=8.660513795435246, tir2=8.649698063265532}",31.530616760253906,"{lake_TIR=8.661796771159226, lake_BT=21.50830008766868, bkgd_BT=21.535808054606118, bkgd_TIR=8.665354394664368}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592000350DKI01,5.3,"{shadow_count=190.0, cloud_count=2655.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.228,2836.0,2000-12-15T01:34:20,350.065511712963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.71172332763672,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592001032EDC00,5.319999694824219,"{shadow_count=1736.0, cloud_count=1109.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.24564705882352939,1775.0,2001-02-01T01:34:24,32.0655633912037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.0498046875,"{lake_TIR=null, lake_BT=null, bkgd_BT=9.137193003008443, bkgd_TIR=7.142560377837189}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592001048DKI01,5.319999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.233,2845.0,2001-02-17T01:34:21,48.06552186342593,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.09922409057617,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592001064EDC00,4.760000610351563,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.238,2680.0,2001-03-05T01:34:16,64.06546446759259,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",32.8744010925293,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
LE71100592001080DKI01,5.480000305175781,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.236,2845.0,2001-03-21T01:34:07,80.0653598611111,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",31.005844116210938,"{lake_TIR=null, lake_BT=null, bkgd_BT=9.467681884765625, bkgd_TIR=7.178267769515514}","{blue=2845, green=2845, red=2845, nir=2845, swir1=2845, swir2=2845, tir1=2845, tir2=2845}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[127.48774400000002,1.246632],[127.489238,1.262324],[127.47549,1.2613709999999996],[127.47487300000002,1.2456329999999998],[127.48774400000002,1.246632]]]}"
